variant,sample,r,ic1,ic2,ic3
drop_eua__credito,full,15,-0.07310026256630209,0.05619692254324948,-0.4129073726317207
drop_eua__credito,full,16,-0.05241057282895811,0.08550642462123004,-0.4148714902320715
drop_eua__credito,full,17,-0.030750269990831303,0.11578653979999376,-0.41586499473163896
drop_eua__credito,full,18,-0.01042145123440652,0.14473517089705523,-0.41818998331290913
drop_eua__credito,full,19,0.009929235377281076,0.17370566984937974,-0.42049310403891593
drop_eua__credito,full,20,0.030063950078514257,0.2024601968912494,-0.42301219667537726
drop_eua__credito,pre_covid,1,-0.06826723300862103,-0.0571119347026377,-0.09520538821812563
drop_eua__credito,pre_covid,2,-0.10581993346481328,-0.08350933685284662,-0.15969624388382248
drop_eua__credito,pre_covid,3,-0.10750876520288827,-0.07404287028493828,-0.188323230831402
drop_eua__credito,pre_covid,4,-0.09947331697392042,-0.0548521237499871,-0.2072259378119388
drop_eua__credito,pre_covid,5,-0.09173080801909028,-0.03595431648917363,-0.22642158406661322
drop_eua__credito,pre_covid,6,-0.08599618750862581,-0.01906439767272583,-0.2476251187656533
drop_eua__credito,pre_covid,7,-0.06771257993724689,0.010374508204636479,-0.25627966640377897
drop_eua__credito,pre_covid,8,-0.04954906296408512,0.03969332348378152,-0.26505430464012186
drop_eua__credito,pre_covid,9,-0.02697197447869637,0.073425710275153655,-0.26941537136423765
drop_eua__credito,pre_covid,10,-0.0044117060112290885,0.10714127704860421,-0.273793258106275
