sample,variable,adf_statistic,adf_p_value,adf_reject_5pct,pp_statistic,pp_p_value,pp_reject_5pct
pre_covid,price_ipc,-4.753991840848684,0.01,TRUE,-109.96097889895536,0.01,TRUE
pre_covid,price_core_ipc,-4.071915314544153,0.010355333791114996,TRUE,-104.13965658749937,0.01,TRUE
pre_covid,price_incc,-7.162882666870255,0.01,TRUE,-107.812023302478,0.01,TRUE
pre_covid,price_inpc,-5.062118062982172,0.01,TRUE,-95.5909132110978,0.01,TRUE
pre_covid,price_ipp,-6.594655435125423,0.01,TRUE,-64.6690138652373,0.01,TRUE
pre_covid,commodity_agro,-3.3679649431953997,0.06628174752679042,FALSE,-55.4080728038209,0.01,TRUE
pre_covid,commodity_metal,-5.465927867958865,0.01,TRUE,-62.15653090576002,0.01,TRUE
pre_covid,commodity_energia,-4.3349705295633925,0.01,TRUE,-59.275024589100944,0.01,TRUE
pre_covid,asset_ibov,-7.502489382680669,0.01,TRUE,-87.93617989804243,0.01,TRUE
pre_covid,asset_idiv,-7.39244217671398,0.01,TRUE,-89.36877558643654,0.01,TRUE
pre_covid,asset_ifix,-5.67980749265677,0.01,TRUE,-87.75584478859322,0.01,TRUE
pre_covid,asset_ifnc,-7.578143441140232,0.01,TRUE,-91.34778638832542,0.01,TRUE
pre_covid,asset_imat,-6.31529539331527,0.01,TRUE,-96.46041923407128,0.01,TRUE
pre_covid,asset_imob,-7.455507571038465,0.01,TRUE,-88.2218242368252,0.01,TRUE
pre_covid,asset_mlcx,-7.568196226581327,0.01,TRUE,-88.11037577158025,0.01,TRUE
pre_covid,asset_smll,-7.575098714891663,0.01,TRUE,-86.02497606378063,0.01,TRUE
pre_covid,embi_perc,-3.6136034301696864,0.03732560670528495,TRUE,-89.14381940819445,0.01,TRUE
pre_covid,cds_5y,-3.779093054410465,0.02389520401924483,TRUE,-88.23834593802532,0.01,TRUE
pre_covid,msci,-5.428692493196913,0.01,TRUE,-94.6822947705179,0.01,TRUE
