variant,sample,q,aw_ic2
drop_fiscal__setor_externo__eua,full,3,-0.49026489096685
drop_fiscal__setor_externo__eua,full,4,-0.48661678931631186
drop_fiscal__setor_externo__eua,pre_covid,1,-0.3351085752471633
drop_fiscal__setor_externo__eua,pre_covid,2,-0.34960389347100307
drop_fiscal__setor_externo__eua__credito,full,1,-0.5123444396221319
drop_fiscal__setor_externo__eua__credito,full,2,-0.5636636877389278
drop_fiscal__setor_externo__eua__credito,full,3,-0.5625689854132885
drop_fiscal__setor_externo__eua__credito,full,4,-0.5594689744070473
drop_fiscal__setor_externo__eua__credito,full,5,-0.5451299569119921
drop_fiscal__setor_externo__eua__credito,pre_covid,1,-0.334137340321393
drop_fiscal__setor_externo__eua__credito,pre_covid,2,-0.34846139887032934
drop_fiscal__setor_externo__eua__credito__imoveis,full,1,-0.5133403083552271
drop_fiscal__setor_externo__eua__credito__imoveis,full,2,-0.5637326400423592
drop_fiscal__setor_externo__eua__credito__imoveis,full,3,-0.5630804987660181
drop_fiscal__setor_externo__eua__credito__imoveis,full,4,-0.5603425657995326
drop_fiscal__setor_externo__eua__credito__imoveis,full,5,-0.5462890319453918
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,1,-0.33085966588398247
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,2,-0.3457679093164461
drop_fiscal__setor_externo__eua__imoveis,full,1,-0.5127578236166639
drop_fiscal__setor_externo__eua__imoveis,full,2,-0.5648335446430671
drop_fiscal__setor_externo__eua__imoveis,full,3,-0.5631019383734005
drop_fiscal__setor_externo__eua__imoveis,full,4,-0.5585076628643024
drop_fiscal__setor_externo__eua__imoveis,full,5,-0.5433838606865984
drop_fiscal__setor_externo__eua__imoveis,pre_covid,1,-0.3316449324134436
drop_fiscal__setor_externo__eua__imoveis,pre_covid,2,-0.34680204502399126
drop_fiscal__setor_externo__expectativas,full,1,-0.4254640244903044
drop_fiscal__setor_externo__expectativas,full,2,-0.489222805855244
drop_fiscal__setor_externo__expectativas,full,3,-0.49125860071559246
drop_fiscal__setor_externo__expectativas,full,4,-0.4876809426861982
drop_fiscal__setor_externo__expectativas,pre_covid,1,-0.329604848220796
drop_fiscal__setor_externo__expectativas,pre_covid,2,-0.34208589772347364
drop_fiscal__setor_externo__expectativas__credito,full,1,-0.4262602302215066
drop_fiscal__setor_externo__expectativas__credito,full,2,-0.4887913077868449
drop_fiscal__setor_externo__expectativas__credito,full,3,-0.4921616576971739
drop_fiscal__setor_externo__expectativas__credito,full,4,-0.48942291524407916
drop_fiscal__setor_externo__expectativas__credito,pre_covid,1,-0.32833500694015744
drop_fiscal__setor_externo__expectativas__credito,pre_covid,2,-0.3407778015296231
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,1,-0.51748328726991
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,2,-0.5626833628137509
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,3,-0.5616629200529467
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,4,-0.5569958555238659
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,5,-0.542643716109455
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,1,-0.32497127197549996
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,2,-0.33800381158614434
drop_fiscal__setor_externo__expectativas__eua,full,1,-0.5162987463152198
drop_fiscal__setor_externo__expectativas__eua,full,2,-0.5745660707052415
drop_fiscal__setor_externo__expectativas__eua,full,3,-0.5736184525701239
drop_fiscal__setor_externo__expectativas__eua,full,4,-0.5666346639724875
drop_fiscal__setor_externo__expectativas__eua,full,5,-0.5533634924012878
drop_fiscal__setor_externo__expectativas__eua,pre_covid,1,-0.3376947235587892
drop_fiscal__setor_externo__expectativas__eua,pre_covid,2,-0.3546383865838676
drop_fiscal__setor_externo__expectativas__eua__credito,full,1,-0.5170884312247896
drop_fiscal__setor_externo__expectativas__eua__credito,full,2,-0.5739103824869365
drop_fiscal__setor_externo__expectativas__eua__credito,full,3,-0.5744175728361298
drop_fiscal__setor_externo__expectativas__eua__credito,full,4,-0.5691115655573173
drop_fiscal__setor_externo__expectativas__eua__credito,full,5,-0.556803161396699
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,1,-0.3365851344847642
