variant,sample,component,eigenvalue
drop_fiscal__setor_externo__expectativas__eua__credito,full,2,7.275620590126319
drop_fiscal__setor_externo__expectativas__eua__credito,full,3,3.775954638136317
drop_fiscal__setor_externo__expectativas__eua__credito,full,4,3.2414058409171815
drop_fiscal__setor_externo__expectativas__eua__credito,full,5,2.7307521435806303
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,1,10.803677507743538
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,2,7.4680784869523285
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,1,9.007991876601677
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,2,7.323751448254379
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,3,3.754204674710668
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,4,3.1983589439015723
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,5,2.7200840789409013
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,1,10.808528521345428
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,2,7.582961863271012
drop_fiscal__setor_externo__expectativas__imoveis,full,1,10.147996836070035
drop_fiscal__setor_externo__expectativas__imoveis,full,2,8.73144740587988
drop_fiscal__setor_externo__expectativas__imoveis,full,3,4.333334123613139
drop_fiscal__setor_externo__expectativas__imoveis,full,4,3.7732073395314236
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,1,11.349538689070824
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,2,7.598226122438535
drop_fiscal__setor_externo__imoveis,full,1,10.207020477467621
drop_fiscal__setor_externo__imoveis,full,2,8.878448577492382
drop_fiscal__setor_externo__imoveis,full,3,4.319485850801215
drop_fiscal__setor_externo__imoveis,full,4,3.9782025932115532
drop_fiscal__setor_externo__imoveis,pre_covid,1,11.600922517232258
drop_fiscal__setor_externo__imoveis,pre_covid,2,7.651764890729788
drop_imoveis,full,1,10.75441243467511
drop_imoveis,full,2,9.171547503768549
drop_imoveis,full,3,4.447326873796744
drop_imoveis,full,4,4.051699792087447
drop_imoveis,pre_covid,1,12.426918086631234
drop_imoveis,pre_covid,2,7.802854815178201
drop_setor_externo,full,1,10.505342248328763
drop_setor_externo,full,2,9.182269516104636
drop_setor_externo,full,3,4.464786377785852
drop_setor_externo,full,4,4.008759340051004
drop_setor_externo,pre_covid,1,12.31390528682194
drop_setor_externo,pre_covid,2,7.696913128492059
drop_setor_externo__credito,full,1,10.407419081448033
drop_setor_externo__credito,full,2,8.919957457726722
drop_setor_externo__credito,full,3,4.474434936059144
drop_setor_externo__credito,full,4,4.011324872189399
drop_setor_externo__credito,pre_covid,1,12.316187108146206
drop_setor_externo__credito,pre_covid,2,7.608944678175494
drop_setor_externo__credito__imoveis,full,1,10.417192186528103
drop_setor_externo__credito__imoveis,full,2,8.863686279663193
drop_setor_externo__credito__imoveis,full,3,4.442364369571143
drop_setor_externo__credito__imoveis,full,4,4.00831852315103
drop_setor_externo__credito__imoveis,pre_covid,1,12.322285827123968
drop_setor_externo__credito__imoveis,pre_covid,2,7.620175805205784
drop_setor_externo__eua,full,1,10.101717775366406
drop_setor_externo__eua,full,2,9.374863004895307
drop_setor_externo__eua,full,3,4.429540472664038
drop_setor_externo__eua,full,4,3.78633890567621
drop_setor_externo__eua,pre_covid,1,11.8117020097373
drop_setor_externo__eua,pre_covid,2,7.686948951361939
drop_setor_externo__eua__credito,full,1,9.9318248996707
drop_setor_externo__eua__credito,full,2,9.202590405991792
drop_setor_externo__eua__credito,full,3,4.4363050575928344
drop_setor_externo__eua__credito,full,4,3.784516689972329
drop_setor_externo__eua__credito,pre_covid,1,11.817007740181396
drop_setor_externo__eua__credito,pre_covid,2,7.595066730874122
drop_setor_externo__eua__credito__imoveis,full,1,9.354450361401454
drop_setor_externo__eua__credito__imoveis,full,2,7.409595297071344
drop_setor_externo__eua__credito__imoveis,full,3,3.8427999156052093
drop_setor_externo__eua__credito__imoveis,full,4,3.485423865964988
drop_setor_externo__eua__credito__imoveis,full,5,2.794172713615383
drop_setor_externo__eua__credito__imoveis,pre_covid,1,11.822686135655694
drop_setor_externo__eua__credito__imoveis,pre_covid,2,7.6059771827145815
drop_setor_externo__eua__imoveis,full,1,10.115615364103004
drop_setor_externo__eua__imoveis,full,2,9.312142533700927
drop_setor_externo__eua__imoveis,full,3,4.3991123689505525
