sample,r,q,variable,h,reproduced,cached,absolute_difference,tolerance,passed
full,7,6,yield_6m,29,-0.010618867926410886,-0.010618867926410886,0,1.1061886792641089e-10,TRUE
full,7,6,yield_6m,30,-0.010736426998100606,-0.010736426998100606,0,1.1073642699810061e-10,TRUE
full,7,6,yield_6m,31,-0.010836091875428914,-0.010836091875428914,0,1.1083609187542892e-10,TRUE
full,7,6,yield_6m,32,-0.010869527034992929,-0.010869527034992929,0,1.1086952703499294e-10,TRUE
full,7,6,yield_6m,33,-0.010832497883618264,-0.010832497883618264,0,1.1083249788361827e-10,TRUE
full,7,6,yield_6m,34,-0.010759343921063258,-0.010759343921063258,0,1.1075934392106326e-10,TRUE
full,7,6,yield_6m,35,-0.010630322779727863,-0.010630322779727863,0,1.1063032277972787e-10,TRUE
full,7,6,yield_6m,36,-0.010444582321379728,-0.010444582321379728,0,1.1044458232137973e-10,TRUE
full,7,6,yield_6m,37,-0.010223975417219202,-0.010223975417219202,0,1.1022397541721921e-10,TRUE
full,7,6,yield_6m,38,-0.009960687495192893,-0.009960687495192893,0,1.0996068749519289e-10,TRUE
full,7,6,yield_6m,39,-0.009653154448492123,-0.009653154448492123,0,1.0965315444849212e-10,TRUE
full,7,6,yield_6m,40,-0.009319592565591669,-0.009319592565591669,0,1.0931959256559167e-10,TRUE
full,7,6,yield_6m,41,-0.008954557309212064,-0.008954557309212064,0,1.0895455730921206e-10,TRUE
full,7,6,yield_6m,42,-0.008557695983293789,-0.008557695983293789,0,1.085576959832938e-10,TRUE
full,7,6,yield_6m,43,-0.008143481535642722,-0.008143481535642722,0,1.0814348153564273e-10,TRUE
full,7,6,yield_6m,44,-0.007708178580227819,-0.007708178580227819,0,1.0770817858022782e-10,TRUE
full,7,6,yield_6m,45,-0.007254704928945891,-0.007254704928945891,0,1.072547049289459e-10,TRUE
full,7,6,yield_6m,46,-0.006793409587321795,-0.006793409587321795,0,1.067934095873218e-10,TRUE
full,7,6,yield_6m,47,-0.006322750977557903,-0.006322750977557903,0,1.0632275097755791e-10,TRUE
full,7,6,yield_6m,48,-0.005846353984665359,-0.005846353984665359,0,1.0584635398466537e-10,TRUE
