variant,sample,r,ic1,ic2,ic3
drop_credito__imoveis,pre_covid,7,-0.059064718804162974,0.015939290204380452,-0.24182641191708765
drop_credito__imoveis,pre_covid,8,-0.037864627143956886,0.04785424029437857,-0.24673513355872795
drop_credito__imoveis,pre_covid,9,-0.017299003814670533,0.07913472205345684,-0.2522783235312881
drop_credito__imoveis,pre_covid,10,0.006356092875795083,0.11350467717371426,-0.2547320401426688
drop_credito__imoveis,pre_covid,11,0.03216099380764992,0.15002443653536113,-0.2550359525126603
drop_credito__imoveis,pre_covid,12,0.05784835644440556,0.18642665760190857,-0.2554574031777511
drop_credito__imoveis,pre_covid,13,0.08177670442475382,0.22106986401204887,-0.2576378684992494
drop_credito__imoveis,pre_covid,14,0.10694439858441362,0.2569524166015005,-0.2585789876414357
drop_credito__imoveis,pre_covid,15,0.13016034180035718,0.29088321824723606,-0.2614718577273387
drop_credito__imoveis,pre_covid,16,0.15457729412392562,0.32601502900059653,-0.2631637187056165
drop_credito__imoveis,pre_covid,17,0.1783270308544871,0.3604796241609498,-0.2655227952769015
drop_credito__imoveis,pre_covid,18,0.20432743232028372,0.39719488405653847,-0.2656312071129514
drop_credito__imoveis,pre_covid,19,0.22914960783031368,0.43273191799636024,-0.2669178449047678
drop_credito__imoveis,pre_covid,20,0.25321617603746094,0.4675133446332993,-0.26896008999946686
drop_eua,full,1,-0.09774128110293996,-0.08909240798178325,-0.12047849103747842
drop_eua,full,2,-0.1558177283870201,-0.13851998214470668,-0.201292148256097
drop_eua,full,3,-0.19342456820110704,-0.16747794883763692,-0.26163619800472243
drop_eua,full,4,-0.20370319517356977,-0.16910770268894293,-0.2946520349117236
drop_eua,full,5,-0.20882655682111134,-0.1655821912153278,-0.32251260649380364
drop_eua,full,6,-0.20436907129696935,-0.1524758325700291,-0.34079233090420014
drop_eua,full,7,-0.1964184199837219,-0.135876308135625,-0.35557888952549116
drop_eua,full,8,-0.1877979357663221,-0.1186069507970684,-0.3696956152426297
drop_eua,full,9,-0.17680675531100887,-0.0989668972205986,-0.3814416447218551
drop_eua,full,10,-0.1613024274099878,-0.07481369619842071,-0.3886745267553724
drop_eua,full,11,-0.14524336620774236,-0.050105761875018695,-0.39535267548766545
drop_eua,full,12,-0.12801167542691994,-0.02422519797303946,-0.4008581946413815
drop_eua,full,13,-0.11018640950381076,0.002248941071226418,-0.40577013865281075
