sample,r,q,variable,h,point
full,5,4,cambio_usd,21,-0.0013972325405132754
full,5,4,cambio_usd,22,-0.015590129322401643
full,5,4,cambio_usd,23,-0.02930584239279876
full,5,4,cambio_usd,24,-0.04248705031642858
full,5,4,cambio_usd,25,-0.05511934927767106
full,5,4,cambio_usd,26,-0.06626860600360555
full,5,4,cambio_usd,27,-0.0758292465756659
full,5,4,cambio_usd,28,-0.0843166576785823
full,5,4,cambio_usd,29,-0.09151393589359785
full,5,4,cambio_usd,30,-0.09747728913858376
full,5,4,cambio_usd,31,-0.10244263582918002
full,5,4,cambio_usd,32,-0.10609101315875927
full,5,4,cambio_usd,33,-0.10837728109994017
full,5,4,cambio_usd,34,-0.10964448050712139
full,5,4,cambio_usd,35,-0.10994007235161904
full,5,4,cambio_usd,36,-0.10922096937905604
full,5,4,cambio_usd,37,-0.10759633484975173
full,5,4,cambio_usd,38,-0.10512668511424002
full,5,4,cambio_usd,39,-0.10186612968632254
full,5,4,cambio_usd,40,-0.09793131646835114
full,5,4,cambio_usd,41,-0.09340613285443278
full,5,4,cambio_usd,42,-0.08835522011254235
full,5,4,cambio_usd,43,-0.08285629280821682
full,5,4,cambio_usd,44,-0.07697921059577036
full,5,4,cambio_usd,45,-0.07080518461342596
full,5,4,cambio_usd,46,-0.06442164100997977
full,5,4,cambio_usd,47,-0.057893721584103136
full,5,4,cambio_usd,48,-0.051283738237275306
full,5,4,yield_2y,0,0.011409985878999003
full,5,4,yield_2y,1,0.013003142930857574
full,5,4,yield_2y,2,0.011414645708796326
full,5,4,yield_2y,3,0.012313699617179168
full,5,4,yield_2y,4,0.012834448217351673
full,5,4,yield_2y,5,0.01324220574164461
full,5,4,yield_2y,6,0.014533101377243656
full,5,4,yield_2y,7,0.014784402232530167
full,5,4,yield_2y,8,0.014061023472471132
full,5,4,yield_2y,9,0.014098881088751593
full,5,4,yield_2y,10,0.014330695752431564
full,5,4,yield_2y,11,0.014803985197571515
full,5,4,yield_2y,12,0.015258730612701195
full,5,4,yield_2y,13,0.01519346829861062
full,5,4,yield_2y,14,0.015007162081387443
full,5,4,yield_2y,15,0.015013757056473592
full,5,4,yield_2y,16,0.014923077588211594
full,5,4,yield_2y,17,0.0146827283448894
full,5,4,yield_2y,18,0.014433158985372377
full,5,4,yield_2y,19,0.014008861612992241
full,5,4,yield_2y,20,0.013443687265843465
full,5,4,yield_2y,21,0.012893515058504055
full,5,4,yield_2y,22,0.012280030291154485
full,5,4,yield_2y,23,0.01156108721314303
full,5,4,yield_2y,24,0.010787027040237108
full,5,4,yield_2y,25,0.009956553248304688
full,5,4,yield_2y,26,0.009084580500077894
full,5,4,yield_2y,27,0.008196516398388034
full,5,4,yield_2y,28,0.007280645983393941
full,5,4,yield_2y,29,0.006341026686276492
full,5,4,yield_2y,30,0.00539309980113803
full,5,4,yield_2y,31,0.004439638852642695
full,5,4,yield_2y,32,0.0034919521822755427
full,5,4,yield_2y,33,0.002561996609095957
full,5,4,yield_2y,34,0.0016493306641412791
full,5,4,yield_2y,35,7.582519831532144e-4
full,5,4,yield_2y,36,-1.0090351758443793e-4
full,5,4,yield_2y,37,-9.2360142126297e-4
full,5,4,yield_2y,38,-0.0017061507784287909
full,5,4,yield_2y,39,-0.002442991697892707
full,5,4,yield_2y,40,-0.003131362423543918
full,5,4,yield_2y,41,-0.0037688731038860173
full,5,4,yield_2y,42,-0.004352078038747475
full,5,4,yield_2y,43,-0.004878985276872709
full,5,4,yield_2y,44,-0.005348446012523048
full,5,4,yield_2y,45,-0.005759562709575341
full,5,4,yield_2y,46,-0.006112314261499681
full,5,4,yield_2y,47,-0.006406906677416392
full,5,4,yield_2y,48,-0.006643771610194625
full,5,4,yield_5y,0,0.01409983081292384
full,5,4,yield_5y,1,0.015394374353652906
full,5,4,yield_5y,2,0.0120833280810317
full,5,4,yield_5y,3,0.01296518561828603
full,5,4,yield_5y,4,0.013289212544991059
full,5,4,yield_5y,5,0.013625426321186298
full,5,4,yield_5y,6,0.014649758206273067
full,5,4,yield_5y,7,0.014543258717439864
full,5,4,yield_5y,8,0.013321608344782883
full,5,4,yield_5y,9,0.013046877775355471
full,5,4,yield_5y,10,0.013041486278652117
full,5,4,yield_5y,11,0.013290683132342124
full,5,4,yield_5y,12,0.013539748800813399
full,5,4,yield_5y,13,0.013156195248625435
full,5,4,yield_5y,14,0.012714324990010281
full,5,4,yield_5y,15,0.01256589493188151
full,5,4,yield_5y,16,0.012338479949764782
full,5,4,yield_5y,17,0.011953483553063875
full,5,4,yield_5y,18,0.011580290922417677
full,5,4,yield_5y,19,0.01105646634123861
full,5,4,yield_5y,20,0.0104100607759418
full,5,4,yield_5y,21,0.009818156180002017
full,5,4,yield_5y,22,0.009196123191004182
full,5,4,yield_5y,23,0.008485044971423435
full,5,4,yield_5y,24,0.007738602183314587
full,5,4,yield_5y,25,0.006962568352443296
full,5,4,yield_5y,26,0.006171626658450092
full,5,4,yield_5y,27,0.0053880691624189824
full,5,4,yield_5y,28,0.004595627458723067
full,5,4,yield_5y,29,0.0037967455301968944
full,5,4,yield_5y,30,0.0030067152120832868
full,5,4,yield_5y,31,0.0022258333990786802
full,5,4,yield_5y,32,0.001463749838290238
full,5,4,yield_5y,33,7.306414480968538e-4
full,5,4,yield_5y,34,2.267180231771675e-5
full,5,4,yield_5y,35,-6.583733340323615e-4
full,5,4,yield_5y,36,-0.0013033488411715358
full,5,4,yield_5y,37,-0.0019094692397193258
full,5,4,yield_5y,38,-0.0024754233176472033
full,5,4,yield_5y,39,-0.002997621549702809
full,5,4,yield_5y,40,-0.003474997611169806
full,5,4,yield_5y,41,-0.003906846382276604
full,5,4,yield_5y,42,-0.004291184438968705
full,5,4,yield_5y,43,-0.004627333005284621
full,5,4,yield_5y,44,-0.004915416374097931
full,5,4,yield_5y,45,-0.00515568559161056
full,5,4,yield_5y,46,-0.005349092166893942
full,5,4,yield_5y,47,-0.005496604449140787
full,5,4,yield_5y,48,-0.0055992577240374835
full,5,4,yield_6m,0,0.005
full,5,4,yield_6m,1,0.006177855856194976
full,5,4,yield_6m,2,0.006147767936668892
full,5,4,yield_6m,3,0.006685517359043438
full,5,4,yield_6m,4,0.007131002573130622
full,5,4,yield_6m,5,0.007669286624126517
full,5,4,yield_6m,6,0.008928275374812418
