variant,sample,q,aw_ic2
drop_fiscal__setor_externo__expectativas__credito,full,2,-0.4887913077868449
drop_fiscal__setor_externo__expectativas__credito,full,3,-0.4921616576971738
drop_fiscal__setor_externo__expectativas__credito,full,4,-0.48942291524407905
drop_fiscal__setor_externo__expectativas__credito,pre_covid,1,-0.32833500694015777
drop_fiscal__setor_externo__expectativas__credito,pre_covid,2,-0.34077780152962356
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,1,-0.5174832872699098
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,2,-0.562683362813751
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,3,-0.5616629200529467
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,4,-0.5569958555238659
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,5,-0.542643716109455
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,1,-0.32497127197549946
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,2,-0.3380038115861439
drop_fiscal__setor_externo__expectativas__eua,full,1,-0.5162987463152198
drop_fiscal__setor_externo__expectativas__eua,full,2,-0.5745660707052415
drop_fiscal__setor_externo__expectativas__eua,full,3,-0.5736184525701237
drop_fiscal__setor_externo__expectativas__eua,full,4,-0.5666346639724871
drop_fiscal__setor_externo__expectativas__eua,full,5,-0.5533634924012876
drop_fiscal__setor_externo__expectativas__eua,pre_covid,1,-0.3376947235587897
drop_fiscal__setor_externo__expectativas__eua,pre_covid,2,-0.3546383865838679
drop_fiscal__setor_externo__expectativas__eua__credito,full,1,-0.5170884312247894
drop_fiscal__setor_externo__expectativas__eua__credito,full,2,-0.5739103824869363
drop_fiscal__setor_externo__expectativas__eua__credito,full,3,-0.5744175728361297
drop_fiscal__setor_externo__expectativas__eua__credito,full,4,-0.5691115655573173
drop_fiscal__setor_externo__expectativas__eua__credito,full,5,-0.5568031613966988
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,1,-0.3365851344847642
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,2,-0.35352805357460715
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,1,-0.5175205243542347
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,2,-0.5742203320018161
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,3,-0.5737679563572098
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,4,-0.5669643480255397
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,5,-0.5538344554981194
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,1,-0.3340075394170903
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,2,-0.3516840363336553
drop_fiscal__setor_externo__expectativas__imoveis,full,1,-0.42515178100266077
drop_fiscal__setor_externo__expectativas__imoveis,full,2,-0.4883294731016301
drop_fiscal__setor_externo__expectativas__imoveis,full,3,-0.4898351950172303
drop_fiscal__setor_externo__expectativas__imoveis,full,4,-0.48657646047420416
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,1,-0.3260445669635502
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,2,-0.33918948711993935
drop_fiscal__setor_externo__imoveis,full,1,-0.41979588134861956
drop_fiscal__setor_externo__imoveis,full,2,-0.4802577965885195
drop_fiscal__setor_externo__imoveis,full,3,-0.4789460065909476
drop_fiscal__setor_externo__imoveis,full,4,-0.4768974088647188
drop_fiscal__setor_externo__imoveis,pre_covid,1,-0.323753442678906
drop_fiscal__setor_externo__imoveis,pre_covid,2,-0.3346464045308427
drop_imoveis,full,1,-0.4182932227659299
drop_imoveis,full,2,-0.47605389799924835
drop_imoveis,full,3,-0.4734889327198108
drop_imoveis,full,4,-0.469251861855184
drop_imoveis,pre_covid,1,-0.3262179464551051
drop_imoveis,pre_covid,2,-0.3350239095209129
drop_setor_externo,full,1,-0.42207194199792886
drop_setor_externo,full,2,-0.48352383227587264
drop_setor_externo,full,3,-0.4831096648023867
drop_setor_externo,full,4,-0.48009456761436164
drop_setor_externo,pre_covid,1,-0.3313926950671714
drop_setor_externo,pre_covid,2,-0.34115390950200497
drop_setor_externo__credito,full,1,-0.4229945891348545
drop_setor_externo__credito,full,2,-0.4824938275348247
drop_setor_externo__credito,full,3,-0.4830916482566271
drop_setor_externo__credito,full,4,-0.4810290826481567
drop_setor_externo__credito,pre_covid,1,-0.33031590262306165
drop_setor_externo__credito,pre_covid,2,-0.33999551219136537
drop_setor_externo__credito__imoveis,full,1,-0.42309426346176715
drop_setor_externo__credito__imoveis,full,2,-0.48274143553619947
drop_setor_externo__credito__imoveis,full,3,-0.48328047246477934
drop_setor_externo__credito__imoveis,full,4,-0.4816436804931383
drop_setor_externo__credito__imoveis,pre_covid,1,-0.32747922799036744
drop_setor_externo__credito__imoveis,pre_covid,2,-0.3376623042527063
drop_setor_externo__eua,full,1,-0.42349862279803996
drop_setor_externo__eua,full,2,-0.4937493562853168
drop_setor_externo__eua,full,3,-0.49590044038017755
drop_setor_externo__eua,full,4,-0.49193256524389267
drop_setor_externo__eua,pre_covid,1,-0.33950988994482745
drop_setor_externo__eua,pre_covid,2,-0.35338383714119276
drop_setor_externo__eua__credito,full,1,-0.4231801534887579
drop_setor_externo__eua__credito,full,2,-0.49285919860226546
drop_setor_externo__eua__credito,full,3,-0.49608731768901937
drop_setor_externo__eua__credito,full,4,-0.4930336482020895
drop_setor_externo__eua__credito,pre_covid,1,-0.33860486882230556
drop_setor_externo__eua__credito,pre_covid,2,-0.3524242206252788
drop_setor_externo__eua__credito__imoveis,full,1,-0.5144242057514802
drop_setor_externo__eua__credito__imoveis,full,2,-0.566993594405314
drop_setor_externo__eua__credito__imoveis,full,3,-0.56528835408671
drop_setor_externo__eua__credito__imoveis,full,4,-0.5617427554349728
drop_setor_externo__eua__credito__imoveis,full,5,-0.5479847795050824
drop_setor_externo__eua__credito__imoveis,pre_covid,1,-0.33570210444389365
drop_setor_externo__eua__credito__imoveis,pre_covid,2,-0.35008028209115505
