variant,sample,component,eigenvalue
drop_expectativas__credito__imoveis,full,2,11.501512232822488
drop_expectativas__credito__imoveis,full,3,8.032911292999561
drop_expectativas__credito__imoveis,full,4,5.5522526197006234
drop_expectativas__credito__imoveis,full,5,4.943132121003387
drop_expectativas__credito__imoveis,full,6,3.8920415270031268
drop_expectativas__credito__imoveis,full,7,3.487412205141358
drop_expectativas__credito__imoveis,full,8,3.2810330289913368
drop_expectativas__credito__imoveis,full,9,2.8173410160481263
drop_expectativas__credito__imoveis,full,10,2.7261888041873115
drop_expectativas__credito__imoveis,full,11,2.4850447878042057
drop_expectativas__credito__imoveis,full,12,2.298764730902055
drop_expectativas__credito__imoveis,full,13,2.1481066335072936
drop_expectativas__credito__imoveis,full,14,2.0863201492977517
drop_expectativas__credito__imoveis,full,15,1.8719679319855922
drop_expectativas__credito__imoveis,full,16,1.831389845408224
drop_expectativas__credito__imoveis,full,17,1.7289079541454426
drop_expectativas__credito__imoveis,full,18,1.6626167718099891
drop_expectativas__credito__imoveis,full,19,1.5686059809127013
drop_expectativas__credito__imoveis,full,20,1.4796046762121682
drop_expectativas__credito__imoveis,pre_covid,1,14.703590849933939
drop_expectativas__credito__imoveis,pre_covid,2,11.238245072975525
drop_expectativas__credito__imoveis,pre_covid,3,6.9221157952989865
drop_expectativas__credito__imoveis,pre_covid,4,5.463058075621235
drop_expectativas__credito__imoveis,pre_covid,5,5.062603514740358
drop_expectativas__credito__imoveis,pre_covid,6,5.0281900007992
drop_expectativas__credito__imoveis,pre_covid,7,4.240699011325619
drop_expectativas__credito__imoveis,pre_covid,8,3.5774315621993273
drop_expectativas__credito__imoveis,pre_covid,9,3.4946847149033147
drop_expectativas__credito__imoveis,pre_covid,10,3.0481872471923666
drop_expectativas__credito__imoveis,pre_covid,11,2.767399773247498
drop_expectativas__credito__imoveis,pre_covid,12,2.7200439627107693
drop_expectativas__credito__imoveis,pre_covid,13,2.5629492528640476
drop_expectativas__credito__imoveis,pre_covid,14,2.4117780253270213
drop_expectativas__credito__imoveis,pre_covid,15,2.3122660971788624
drop_expectativas__credito__imoveis,pre_covid,16,2.182306615244296
drop_expectativas__credito__imoveis,pre_covid,17,2.0686493241938857
drop_expectativas__credito__imoveis,pre_covid,18,1.8940127277418646
drop_expectativas__credito__imoveis,pre_covid,19,1.836682159425537
drop_expectativas__credito__imoveis,pre_covid,20,1.7393643688868625
drop_expectativas__eua,full,1,16.69637388752965
drop_expectativas__eua,full,2,11.139738122997898
drop_expectativas__eua,full,3,8.397645776369696
drop_expectativas__eua,full,4,5.4081268142752705
drop_expectativas__eua,full,5,4.874297712255529
drop_expectativas__eua,full,6,3.9027765436018473
drop_expectativas__eua,full,7,3.4093187591585052
drop_expectativas__eua,full,8,3.276463898630281
drop_expectativas__eua,full,9,2.775376663982499
drop_expectativas__eua,full,10,2.56774321440361
drop_expectativas__eua,full,11,2.4586693853825468
drop_expectativas__eua,full,12,2.24030855197009
drop_expectativas__eua,full,13,2.1394178793287275
drop_expectativas__eua,full,14,2.0707839003427604
drop_expectativas__eua,full,15,1.821973068269347
drop_expectativas__eua,full,16,1.7478119566609742
drop_expectativas__eua,full,17,1.6918570555912456
drop_expectativas__eua,full,18,1.6021319040978992
drop_expectativas__eua,full,19,1.563137636375608
drop_expectativas__eua,full,20,1.45103081930767
drop_expectativas__eua,pre_covid,1,14.310855468163938
drop_expectativas__eua,pre_covid,2,11.43230984106945
drop_expectativas__eua,pre_covid,3,6.982628104105466
drop_expectativas__eua,pre_covid,4,5.613552551622202
drop_expectativas__eua,pre_covid,5,5.407512690812964
drop_expectativas__eua,pre_covid,6,4.9624466541767625
drop_expectativas__eua,pre_covid,7,3.889466308879684
drop_expectativas__eua,pre_covid,8,3.875624603699233
drop_expectativas__eua,pre_covid,9,3.179330180043435
drop_expectativas__eua,pre_covid,10,2.990941947141477
drop_expectativas__eua,pre_covid,11,2.7599105288764476
drop_expectativas__eua,pre_covid,12,2.621650911287228
drop_expectativas__eua,pre_covid,13,2.4627946377822734
drop_expectativas__eua,pre_covid,14,2.3696620713283063
drop_expectativas__eua,pre_covid,15,2.234007725634604
drop_expectativas__eua,pre_covid,16,2.0917290705820335
drop_expectativas__eua,pre_covid,17,1.9765470189915049
drop_expectativas__eua,pre_covid,18,1.938796247944931
drop_expectativas__eua,pre_covid,19,1.740244830364974
drop_expectativas__eua,pre_covid,20,1.7243296519335847
drop_expectativas__eua__credito,full,1,16.62537127154211
drop_expectativas__eua__credito,full,2,11.077362499967279
drop_expectativas__eua__credito,full,3,7.90777590802471
drop_expectativas__eua__credito,full,4,5.333870197934836
drop_expectativas__eua__credito,full,5,4.874265819383148
drop_expectativas__eua__credito,full,6,3.8773599744125473
drop_expectativas__eua__credito,full,7,3.3464989319324134
drop_expectativas__eua__credito,full,8,3.264687703616601
drop_expectativas__eua__credito,full,9,2.7285322086995105
drop_expectativas__eua__credito,full,10,2.4636845210970657
drop_expectativas__eua__credito,full,11,2.3987611169559777
drop_expectativas__eua__credito,full,12,2.2313943562017524
drop_expectativas__eua__credito,full,13,2.138022196776533
drop_expectativas__eua__credito,full,14,2.06015830976626
drop_expectativas__eua__credito,full,15,1.8015581961093958
drop_expectativas__eua__credito,full,16,1.7338518962139664
drop_expectativas__eua__credito,full,17,1.6393813283106866
drop_expectativas__eua__credito,full,18,1.590955726592063
drop_expectativas__eua__credito,full,19,1.539642082201893
drop_expectativas__eua__credito,full,20,1.439653541267839
drop_expectativas__eua__credito,pre_covid,1,14.287855568566728
drop_expectativas__eua__credito,pre_covid,2,11.232893917061514
drop_expectativas__eua__credito,pre_covid,3,6.792956804542015
