variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_credito__imoveis,5,5,6,120,153,147,5.63465622452226,5.63465622452226,TRUE,0,8.989930080510351,0.9667194964362334,TRUE
drop_credito__imoveis,6,1,6,120,153,147,3.8700701417628744,3.8700701417628744,FALSE,NA,4.209029655621956,0.9688548601452432,TRUE
drop_credito__imoveis,6,2,6,120,153,147,2.244722909069196,2.244722909069196,FALSE,NA,2.159381382139966,0.9688548601452432,TRUE
drop_credito__imoveis,6,3,6,120,153,147,3.5153879228897824,3.5153879228897824,TRUE,0,3.5962945320491846,0.9688548601452432,TRUE
drop_credito__imoveis,6,4,6,120,153,147,3.3852199720877554,3.3852199720877554,TRUE,0,3.418950057428454,0.9688548601452432,TRUE
drop_credito__imoveis,6,5,6,120,153,147,4.496210637040573,4.496210637040573,TRUE,0,4.8488983505440455,0.9688548601452432,TRUE
drop_credito__imoveis,6,6,6,120,153,147,6.490437773847828,6.490437773847828,TRUE,0,8.205356309141525,0.9688548601452432,TRUE
drop_credito__imoveis,7,1,6,120,153,147,3.613074958001064,3.613074958001064,FALSE,NA,3.3620096789140272,0.9750060409631846,TRUE
drop_credito__imoveis,7,2,6,120,153,147,2.112636253269511,2.112636253269511,FALSE,NA,1.8046520172534457,0.9750060409631846,TRUE
drop_credito__imoveis,7,3,6,120,153,147,5.739009600426398,5.739009600426398,TRUE,0,6.2054985709067605,0.9750060409631846,TRUE
drop_credito__imoveis,7,4,6,120,153,147,3.897489275284901,3.897489275284901,TRUE,4.440892098500626e-16,3.5549515813341146,0.9750060409631846,TRUE
drop_credito__imoveis,7,5,6,120,153,147,4.5895981396766095,4.5895981396766095,TRUE,0,4.3935358942142795,0.9750060409631846,TRUE
drop_credito__imoveis,7,6,6,120,153,147,4.922053924194258,4.922053924194258,TRUE,0,4.666084413721353,0.9750060409631846,TRUE
drop_credito__imoveis,7,7,6,120,153,147,7.304642133149067,7.304642133149067,TRUE,0,7.770671913587651,0.9750060409631846,TRUE
drop_credito__imoveis,8,1,6,120,153,147,4.050962914468666,4.050962914468666,FALSE,NA,3.5018101236842445,0.9853263284140134,TRUE
drop_credito__imoveis,8,2,6,120,153,147,2.2333091235137705,2.2333091235137705,FALSE,NA,1.8089742344734057,0.9853263284140134,TRUE
drop_credito__imoveis,8,3,6,120,153,147,5.058523879490095,5.058523879490095,TRUE,0,4.794959942965745,0.9853263284140134,TRUE
drop_credito__imoveis,8,4,6,120,153,147,5.104686652266217,5.104686652266217,TRUE,0,4.854473820726735,0.9853263284140134,TRUE
drop_credito__imoveis,8,5,6,120,153,147,5.7592905179351375,5.7592905179351375,TRUE,0,5.805001638133308,0.9853263284140134,TRUE
drop_credito__imoveis,8,6,6,120,153,147,5.742966034748527,5.742966034748527,TRUE,0,5.56174794498159,0.9853263284140134,TRUE
drop_credito__imoveis,8,7,6,120,153,147,5.668012720522286,5.668012720522286,TRUE,0,5.36649924581352,0.9853263284140134,TRUE
drop_credito__imoveis,8,8,6,120,153,147,8.04625080653778,8.04625080653778,TRUE,0,8.597754474121704,0.9853263284140134,TRUE
drop_eua,1,1,6,118,153,147,3.089635121123386,3.089635121123386,FALSE,NA,4.163746600336067,0.8848102593822791,TRUE
drop_eua,2,1,6,118,153,147,0.27662165173152875,0.27662165173152875,FALSE,NA,0.26672267250956766,0.9660908204625596,TRUE
drop_eua,2,2,6,118,153,147,6.419040846244492,6.419040846244492,FALSE,NA,16.954384106277026,0.9660908204625596,TRUE
drop_eua,3,1,6,118,153,147,1.8694478864414796,1.8694478864414796,FALSE,NA,1.6230203248094586,0.9753352993968468,TRUE
drop_eua,3,2,6,118,153,147,4.455091355073188,4.455091355073188,FALSE,NA,7.23154940849339,0.9753352993968468,TRUE
drop_eua,3,3,6,118,153,147,5.664052679799806,5.664052679799806,FALSE,NA,9.79070005324028,0.9753352993968468,TRUE
drop_eua,4,1,6,118,153,147,2.2347041767418303,2.2347041767418303,FALSE,NA,2.254156987203925,0.969411436395829,TRUE
drop_eua,4,2,6,118,153,147,3.6140307790719457,3.6140307790719457,FALSE,NA,4.925902329356368,0.969411436395829,TRUE
drop_eua,4,3,6,118,153,147,5.280589997627094,5.280589997627094,FALSE,NA,9.011265265275874,0.969411436395829,TRUE
drop_eua,4,4,6,118,153,147,5.999087790454852,5.999087790454852,FALSE,NA,11.099648874741534,0.969411436395829,TRUE
drop_eua,5,1,6,118,153,147,3.8889127312751746,3.8889127312751746,FALSE,NA,4.445500124883454,0.9623940229308536,TRUE
drop_eua,5,2,6,118,153,147,3.369019412508641,3.369019412508641,FALSE,NA,4.2159303567682445,0.9623940229308536,TRUE
drop_eua,5,3,6,118,153,147,2.851418971773677,2.851418971773677,TRUE,0,3.3143164774163463,0.9623940229308536,TRUE
drop_eua,5,4,6,118,153,147,4.291369891658352,4.291369891658352,TRUE,0,5.747711892027613,0.9623940229308536,TRUE
drop_eua,5,5,6,118,153,147,5.886715027021007,5.886715027021007,TRUE,0,9.359840580196725,0.9623940229308536,TRUE
drop_eua,6,1,6,118,153,147,4.175235219422148,4.175235219422148,FALSE,NA,4.49830451978587,0.9699801516968032,TRUE
drop_eua,6,2,6,118,153,147,2.730275379180334,2.730275379180334,FALSE,NA,2.639830010191295,0.9699801516968032,TRUE
