variant,r,q,variable,rmse,full_rms,normalized_rmse,sign_agreement
drop_expectativas__eua,3,3,yield_2y,5.917741265000625e-4,0.0077131924784103485,0.07672233360654113,1
drop_expectativas__eua,3,3,yield_5y,9.572655334734696e-4,0.009757496926210451,0.09810564540400483,1
drop_expectativas__eua,3,3,yield_6m,7.261771300896037e-4,0.003621777942591352,0.20050294126260818,1
drop_expectativas__eua__credito,3,3,asset_ibov,8.549352713477726,22.20716169899887,0.384981783325473,1
drop_expectativas__eua__credito,3,3,cambio_usd,0.07545147015319997,0.22154794712789963,0.34056497083966136,1
drop_expectativas__eua__credito,3,3,yield_2y,7.294492520790077e-4,0.007581183313077377,0.09621838992083512,1
drop_expectativas__eua__credito,3,3,yield_5y,0.001174867385027831,0.009528626025063897,0.12329871924215355,1
drop_expectativas__eua__credito,3,3,yield_6m,7.238333448829685e-4,0.003719019212063909,0.19463017091575324,1
drop_expectativas__eua__credito__imoveis,3,3,asset_ibov,12.043394937452096,21.255951929965367,0.5665893005936864,1
drop_expectativas__eua__credito__imoveis,3,3,cambio_usd,0.07830171729049008,0.22574325625152455,0.3468618225443059,1
drop_expectativas__eua__credito__imoveis,3,3,yield_2y,8.4211104133979e-4,0.007416419237724548,0.11354684981349036,1
drop_expectativas__eua__credito__imoveis,3,3,yield_5y,0.0012956297897115507,0.009413651939394994,0.13763306717231563,1
drop_expectativas__eua__credito__imoveis,3,3,yield_6m,8.439573933350654e-4,0.00354422322896351,0.23812196320994047,1
drop_expectativas__eua__imoveis,3,3,asset_ibov,9.974279806488294,22.215862596252357,0.4489710792580648,1
drop_expectativas__eua__imoveis,3,3,cambio_usd,0.08935294387137159,0.23459122894820167,0.38088782889278844,1
drop_expectativas__eua__imoveis,3,3,yield_2y,6.44484405667416e-4,0.007552779801327073,0.08533075538018145,1
drop_expectativas__eua__imoveis,3,3,yield_5y,0.0010072448470242112,0.00964588585325143,0.10442222335491247,1
drop_expectativas__eua__imoveis,3,3,yield_6m,8.386807040016139e-4,0.00344824669590588,0.2432194613562259,1
drop_expectativas__imoveis,4,3,asset_ibov,38.29524582824181,5.397122647195232,7.095492974973067,0.2857142857142857
drop_expectativas__imoveis,4,3,cambio_usd,0.21687917260091555,0.31520897789484964,0.6880488431813137,1
drop_expectativas__imoveis,4,3,yield_2y,0.005941870113961131,0.010417294670753826,0.5703851433369466,1
drop_expectativas__imoveis,4,3,yield_5y,0.005257791496099696,0.010828897840727051,0.48553339161861453,1
drop_expectativas__imoveis,4,3,yield_6m,0.0037344699159671067,0.0061397688952925964,0.6082427497931315,1
drop_fiscal,4,3,asset_ibov,27.800451675726865,3.673328465142603,7.568191066912286,0.2857142857142857
drop_fiscal,4,3,cambio_usd,0.14717740279375857,0.22263851725629713,0.6610599307231767,1
drop_fiscal,4,3,yield_2y,0.002107782713921419,0.010440854422739673,0.2018783739892753,1
drop_fiscal,4,3,yield_5y,0.0017801770822735818,0.009929718296626321,0.17927770245792443,1
drop_fiscal,4,3,yield_6m,0.0010309569154927397,0.007397560599289519,0.13936444340743293,1
drop_fiscal__credito,4,1,asset_ibov,20.18368949818276,37.47961896567931,0.5385244048682909,1
drop_fiscal__credito,4,1,cambio_usd,1.6579959247245777,1.7963336719892669,0.9229888358594908,1
drop_fiscal__credito,4,1,yield_2y,0.014258790637484964,0.02179999663997412,0.654073065834284,1
drop_fiscal__credito,4,1,yield_5y,0.028491098136037864,0.037819389668846355,0.75334632275960145,1
drop_fiscal__credito,4,1,yield_6m,0.013039531031885687,0.011925913265786027,1.0933779863462945,0.2857142857142857
drop_fiscal__credito__imoveis,4,1,asset_ibov,26.41180869787895,44.00426649552323,0.6002101796326034,1
drop_fiscal__credito__imoveis,4,1,cambio_usd,2.175058633805562,2.299943393726516,0.9457009419181367,1
drop_fiscal__credito__imoveis,4,1,yield_2y,0.018174974958369172,0.025356220588544184,0.716785646145567,1
drop_fiscal__credito__imoveis,4,1,yield_5y,0.037563540011440126,0.046448465215454274,0.8087143425988171,1
drop_fiscal__credito__imoveis,4,1,yield_6m,0.018886753805402053,0.01748110408206939,1.0804096650150636,0.2857142857142857
drop_fiscal__eua,4,2,asset_ibov,24.77744767406236,17.160473550422132,1.44386736189182,1
