block,other_blocks,excluded_variant,included_variant,bll_distance_full_included,max_companion_root_included,xi_gt_3_84_pre_covid_included,normalized_rmse_included,sign_errors_full_included,parsimony_included,bll_distance_full_excluded,max_companion_root_excluded,xi_gt_3_84_pre_covid_excluded,normalized_rmse_excluded,sign_errors_full_excluded,parsimony_excluded,distance_cmp,root_cmp,pre_relevance_cmp,rmse_cmp,sign_errors_cmp,parsimony_cmp,exclusion_improvements,exclusion_worsenings,exclusion_wins,inclusion_wins
expectativas,credito;eua;fiscal;imoveis,drop_fiscal__expectativas__eua__credito__imoveis,drop_fiscal__eua__credito__imoveis,0,0.9671624430075784,TRUE,0.6360846484909661,0,6,0,0.97045916960529,TRUE,0.27812195295477066,0,6,0,-1,0,1,0,0,1,1,FALSE,FALSE
expectativas,credito;eua;fiscal;imoveis;setor_externo,baseline,drop_fiscal__setor_externo__eua__credito__imoveis,0,0.9654452427230829,TRUE,0.4009045425208819,0,7,1,0.9614665554619068,TRUE,3.713039913488649,5,7,-1,1,0,-1,-1,0,1,3,FALSE,FALSE
expectativas,credito;eua;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__eua__credito,drop_fiscal__setor_externo__eua__credito,0,0.9726386024487456,TRUE,0.6244144251724459,0,7,1,0.969664016963238,TRUE,1.6031268418600662,4,9,-1,1,0,-1,-1,-1,1,4,FALSE,TRUE
expectativas,credito;eua;imoveis,drop_expectativas__eua__credito__imoveis,drop_eua__credito__imoveis,0,0.9574852068848736,TRUE,2.254187886259401,5,7,0,0.9689529278123772,FALSE,0.28055060066674775,0,6,0,-1,-1,1,1,1,3,2,FALSE,FALSE
expectativas,credito;eua;imoveis;setor_externo,drop_setor_externo__expectativas__eua__credito__imoveis,drop_setor_externo__eua__credito__imoveis,1,0.9648576865195532,TRUE,0.5486118665991587,1,6,1,0.9638244720150816,TRUE,0.6805656317173773,2,6,0,1,0,-1,-1,0,1,2,FALSE,FALSE
expectativas,credito;eua;setor_externo,drop_setor_externo__expectativas__eua__credito,drop_setor_externo__eua__credito,0,0.9641127527697232,TRUE,1.7975217887224526,5,7,1,0.9608650036505664,TRUE,0.6807706429323085,1,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
expectativas,credito;fiscal,drop_fiscal__expectativas__credito,drop_fiscal__credito,1,0.9660129447569344,TRUE,0.7924621231335923,5,5,0,0.975639863038002,FALSE,0.6432086887619102,5,5,1,-1,-1,1,0,0,2,2,FALSE,FALSE
expectativas,credito;fiscal;imoveis,drop_fiscal__expectativas__credito__imoveis,drop_fiscal__credito__imoveis,1,0.9607926050444754,TRUE,0.8303641550620375,5,5,0,0.9624681336589764,TRUE,2.5361469199846467,5,7,1,-1,0,-1,0,-1,1,3,FALSE,FALSE
expectativas,credito;fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__expectativas__credito__imoveis,drop_fiscal__setor_externo__credito__imoveis,1,0.963621845294528,TRUE,0.7859897817462954,5,5,1,0.968766693226692,TRUE,0.5347003604971458,0,6,0,-1,0,1,1,-1,2,2,FALSE,FALSE
expectativas,credito;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__credito,drop_fiscal__setor_externo__credito,0,0.96345760002706,TRUE,2.9478757969059775,5,7,0,0.9594563510738922,TRUE,2.0741554604575287,5,7,0,1,0,1,0,0,2,0,FALSE,FALSE
expectativas,credito;imoveis,drop_expectativas__credito__imoveis,drop_credito__imoveis,1,0.9644990984625078,TRUE,0.7821082310026338,5,5,0,0.9642017336567056,TRUE,2.0428975886776684,5,7,1,0,0,-1,0,-1,1,2,FALSE,FALSE
expectativas,credito;imoveis;setor_externo,drop_setor_externo__expectativas__credito__imoveis,drop_setor_externo__credito__imoveis,0,0.9663421226331856,TRUE,4.190940566595036,5,7,0,0.9660994894978552,TRUE,2.2585552660481643,5,7,0,0,0,1,0,0,1,0,FALSE,FALSE
expectativas,credito;setor_externo,drop_setor_externo__expectativas__credito,drop_setor_externo__credito,0,0.9635669668620168,TRUE,2.1166328227151556,5,7,0,0.9634154477790688,TRUE,1.4390028576025229,5,7,0,0,0,1,0,0,1,0,FALSE,FALSE
expectativas,eua,drop_expectativas__eua,drop_eua,1,0.969411436395829,TRUE,1.1807621035280569,5,7,0,0.9749404859500748,FALSE,0.20814561717501145,0,6,1,-1,-1,1,1,1,4,2,FALSE,FALSE
expectativas,eua;fiscal,drop_fiscal__expectativas__eua,drop_fiscal__eua,0,0.9764317170621224,TRUE,0.5377608218582723,0,6,0,0.9759564651824476,TRUE,0.2170555056880724,0,6,0,0,0,1,0,0,1,0,FALSE,FALSE
expectativas,eua;fiscal;imoveis,drop_fiscal__expectativas__eua__imoveis,drop_fiscal__eua__imoveis,0,0.9701970090404308,TRUE,0.6403688696511449,0,6,0,0.972645345896619,TRUE,0.258749444942399,0,6,0,-1,0,1,0,0,1,1,FALSE,FALSE
expectativas,eua;fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__expectativas__eua__imoveis,drop_fiscal__setor_externo__eua__imoveis,0,0.9653477002074417,FALSE,0.5409969210625952,0,7,0,0.965575971118077,TRUE,0.5645926638913339,0,7,0,0,1,0,0,0,1,0,FALSE,FALSE
expectativas,eua;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__eua,drop_fiscal__setor_externo__eua,0,0.9753143377515132,TRUE,1.9512660784745444,5,7,1,0.969537103663611,TRUE,0.9673131352645945,0,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
expectativas,eua;imoveis,drop_expectativas__eua__imoveis,drop_eua__imoveis,0,0.9607886804312348,TRUE,0.607009695226632,0,6,0,0.9715139710584744,FALSE,0.2525662696484346,0,6,0,-1,-1,1,0,0,1,2,FALSE,FALSE
expectativas,eua;imoveis;setor_externo,drop_setor_externo__expectativas__eua__imoveis,drop_setor_externo__eua__imoveis,0,0.9579991855921876,TRUE,2.80078180373254,5,7,1,0.9660723908625618,TRUE,0.7600925858891476,1,6,-1,-1,0,1,1,1,3,2,FALSE,FALSE
expectativas,eua;setor_externo,drop_setor_externo__expectativas__eua,drop_setor_externo__eua,0,0.967482284267226,TRUE,1.2242183564372164,5,7,0,0.96510387438142,FALSE,1.5484872221607642,5,7,0,1,-1,-1,0,0,1,2,FALSE,FALSE
expectativas,fiscal,drop_fiscal__expectativas,drop_fiscal,1,0.9687228510996831,TRUE,1.7499543034980192,5,7,0,0.9770500082738032,FALSE,0.5806540605838555,4,5,1,-1,-1,1,1,1,4,2,FALSE,FALSE
expectativas,fiscal;imoveis,drop_fiscal__expectativas__imoveis,drop_fiscal__imoveis,0,0.9611000122060668,TRUE,0.6064302151897054,0,6,1,0.9634391163871584,TRUE,0.8402367346549664,5,5,-1,-1,0,-1,-1,1,1,4,FALSE,TRUE
expectativas,fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__expectativas__imoveis,drop_fiscal__setor_externo__imoveis,0,0.9650608116930608,TRUE,0.543944831812363,0,6,0,0.9661208610569956,TRUE,3.1253785203263877,5,7,0,-1,0,-1,-1,-1,0,4,FALSE,TRUE
expectativas,fiscal;setor_externo,drop_fiscal__setor_externo__expectativas,drop_fiscal__setor_externo,1,0.9637926309811332,FALSE,0.5881654393871345,0,7,0,0.9598993791642038,FALSE,2.222914971066318,5,7,1,1,0,-1,-1,0,2,2,FALSE,FALSE
expectativas,imoveis,drop_expectativas__imoveis,drop_imoveis,1,0.9661458014093424,TRUE,2.999611787095951,5,7,1,0.9659255498696028,TRUE,1.8895406205806147,5,7,0,0,0,1,0,0,1,0,FALSE,FALSE
expectativas,imoveis;setor_externo,drop_setor_externo__expectativas__imoveis,drop_setor_externo__imoveis,1,0.9680429523482948,TRUE,0.7810693966695851,4,5,0,0.9677370429187756,TRUE,2.0273704856930306,5,7,1,0,0,-1,-1,-1,1,3,FALSE,FALSE
expectativas,setor_externo,drop_setor_externo__expectativas,drop_setor_externo,1,0.96521200900006765,TRUE,0.7690826703179668,4,5,0,0.965162110792472,FALSE,1.4727193088784232,5,7,1,0,-1,-1,-1,-1,1,4,FALSE,TRUE
fiscal,,drop_fiscal,conjunto_completo_sem_duplicatas,1,0.9625695997704398,TRUE,1.5176355735611287,5,7,1,0.9687228510996831,TRUE,1.7499543034980192,5,7,0,-1,0,-1,0,0,0,2,FALSE,FALSE
fiscal,credito,drop_fiscal__credito,drop_credito,1,0.9615442418633688,TRUE,0.7516840788248458,4,5,1,0.9660129447569344,TRUE,0.7924621231335923,5,5,0,-1,0,-1,-1,0,0,3,FALSE,FALSE
