variant,r,q,xi_mp,xi_mp_reestimated,old_grid_xi_difference
drop_fiscal__credito__imoveis,6,6,7.313317017259504,7.313317017259504,0
drop_fiscal__credito__imoveis,7,3,7.554570124936954,7.554570124936954,0
drop_fiscal__credito__imoveis,7,4,4.900446640877048,4.900446640877048,0
drop_fiscal__credito__imoveis,7,5,5.109289376682799,5.109289376682799,0
drop_fiscal__credito__imoveis,7,6,5.372682618193024,5.372682618193024,0
drop_fiscal__credito__imoveis,7,7,8.041106830477732,8.041106830477732,0
drop_fiscal__credito__imoveis,8,3,6.139649659893333,6.139649659893333,0
drop_fiscal__credito__imoveis,8,4,5.962542937033006,5.962542937033006,0
drop_fiscal__credito__imoveis,8,5,6.16120043463686,6.16120043463686,0
drop_fiscal__credito__imoveis,8,6,6.395742991838887,6.395742991838887,0
drop_fiscal__credito__imoveis,8,7,6.394478997507531,6.394478997507531,0
drop_fiscal__credito__imoveis,8,8,8.729741075414994,8.729741075414994,0
drop_fiscal__eua,5,3,3.7582522162199608,3.7582522162199608,0
drop_fiscal__eua,5,4,5.219353684648621,5.219353684648621,0
drop_fiscal__eua,5,5,6.10603389301858,6.10603389301858,0
drop_fiscal__eua,6,3,4.9738486556748995,4.9738486556748995,0
drop_fiscal__eua,6,4,4.703204644913135,4.703204644913135,0
drop_fiscal__eua,6,5,5.023439254888565,5.023439254888565,0
drop_fiscal__eua,6,6,7.096916189597336,7.096916189597336,0
drop_fiscal__eua,7,3,8.256703216332488,8.256703216332488,0
drop_fiscal__eua,7,4,6.827633336718229,6.827633336718229,0
drop_fiscal__eua,7,5,7.307915428003788,7.307915428003788,0
drop_fiscal__eua,7,6,7.448957388407374,7.448957388407374,0
drop_fiscal__eua,7,7,9.18645730322435,9.18645730322435,0
drop_fiscal__eua,8,3,8.609246772192037,8.609246772192037,0
drop_fiscal__eua,8,4,7.980144327749335,7.980144327749335,0
drop_fiscal__eua,8,5,8.37230311568783,8.37230311568783,0
drop_fiscal__eua,8,6,8.359040053931214,8.359040053931214,0
drop_fiscal__eua,8,7,8.547506155309572,8.547506155309572,0
drop_fiscal__eua,8,8,10.166402875114848,10.166402875114848,0
drop_fiscal__eua__credito,5,3,3.639844863233906,3.639844863233906,4.440892098500626e-16
drop_fiscal__eua__credito,5,4,5.430654743399559,5.430654743399559,0
drop_fiscal__eua__credito,5,5,6.630068679458204,6.630068679458204,0
drop_fiscal__eua__credito,6,3,4.346807414570585,4.346807414570585,0
drop_fiscal__eua__credito,6,4,4.536428325104488,4.536428325104488,0
drop_fiscal__eua__credito,6,5,5.261560032304253,5.261560032304253,0
drop_fiscal__eua__credito,6,6,7.918460252309096,7.918460252309096,0
drop_fiscal__eua__credito,7,3,8.721594452089297,8.721594452089297,0
drop_fiscal__eua__credito,7,4,6.894750960621871,6.894750960621871,0
drop_fiscal__eua__credito,7,5,7.272208895363511,7.272208895363511,0
drop_fiscal__eua__credito,7,6,7.551453939103822,7.551453939103822,0
drop_fiscal__eua__credito,7,7,9.751812827551946,9.751812827551946,0
drop_fiscal__eua__credito,8,3,8.860392401618506,8.860392401618506,0
drop_fiscal__eua__credito,8,4,8.146768594661737,8.146768594661737,0
drop_fiscal__eua__credito,8,5,8.55689154045382,8.55689154045382,0
drop_fiscal__eua__credito,8,6,8.578861146804755,8.578861146804755,0
drop_fiscal__eua__credito,8,7,8.525685762563489,8.525685762563489,0
drop_fiscal__eua__credito,8,8,10.703485686222928,10.703485686222928,0
drop_fiscal__eua__credito__imoveis,5,3,4.06685511453509,4.06685511453509,0
drop_fiscal__eua__credito__imoveis,5,4,5.804286871181602,5.804286871181602,0
drop_fiscal__eua__credito__imoveis,5,5,6.617383288725693,6.617383288725693,0
drop_fiscal__eua__credito__imoveis,6,3,4.91193612055606,4.91193612055606,0
drop_fiscal__eua__credito__imoveis,6,4,4.364340545314649,4.364340545314649,0
drop_fiscal__eua__credito__imoveis,6,5,5.790238389150628,5.790238389150628,0
drop_fiscal__eua__credito__imoveis,6,6,8.380488147338555,8.380488147338555,0
drop_fiscal__eua__credito__imoveis,7,3,8.820307154846496,8.820307154846496,0
drop_fiscal__eua__credito__imoveis,7,4,6.885029797018493,6.885029797018493,0
drop_fiscal__eua__credito__imoveis,7,5,7.378679084509105,7.378679084509105,0
drop_fiscal__eua__credito__imoveis,7,6,7.909539617713836,7.909539617713836,0
drop_fiscal__eua__credito__imoveis,7,7,10.136752789330997,10.136752789330997,0
drop_fiscal__eua__credito__imoveis,8,3,9.079849670316223,9.079849670316223,1.7763568394002505e-15
drop_fiscal__eua__credito__imoveis,8,4,8.17822669542735,8.17822669542735,0
drop_fiscal__eua__credito__imoveis,8,5,8.690345919375481,8.690345919375481,0
drop_fiscal__eua__credito__imoveis,8,6,8.725445118053452,8.725445118053452,0
drop_fiscal__eua__credito__imoveis,8,7,8.717715891339514,8.717715891339514,0
