variant,r,q,variable,h,point_pre_covid
drop_eua__credito__imoveis,4,3,asset_ibov,4,-40.25935075136719
drop_eua__credito__imoveis,4,3,asset_ibov,5,-45.13617908488552
drop_eua__credito__imoveis,4,3,asset_ibov,6,-50.1861959620087
drop_eua__credito__imoveis,4,3,cambio_usd,0,0.1530892128703308
drop_eua__credito__imoveis,4,3,cambio_usd,1,0.17802963815335002
drop_eua__credito__imoveis,4,3,cambio_usd,2,0.10849020049807459
drop_eua__credito__imoveis,4,3,cambio_usd,3,0.12788501476258682
drop_eua__credito__imoveis,4,3,cambio_usd,4,0.1007096984667501
drop_eua__credito__imoveis,4,3,cambio_usd,5,0.04009378868715971
drop_eua__credito__imoveis,4,3,cambio_usd,6,0.016070213741617906
drop_eua__imoveis,4,2,yield_6m,0,0.005
drop_eua__imoveis,4,2,yield_6m,1,0.00557308132023489
drop_eua__imoveis,4,2,yield_6m,2,0.005150662129440038
drop_eua__imoveis,4,2,yield_6m,3,0.006171128871067179
drop_eua__imoveis,4,2,yield_6m,4,0.004102242698240151
drop_eua__imoveis,4,2,yield_6m,5,0.002299061132217498
drop_eua__imoveis,4,2,yield_6m,6,0.002910057557841646
drop_eua__imoveis,4,2,yield_2y,0,0.008999464883205301
drop_eua__imoveis,4,2,yield_2y,1,0.01052947148371547
drop_eua__imoveis,4,2,yield_2y,2,0.008163127954866603
drop_eua__imoveis,4,2,yield_2y,3,0.009898145373843127
drop_eua__imoveis,4,2,yield_2y,4,0.007314734844188964
drop_eua__imoveis,4,2,yield_2y,5,0.0038237381149319617
drop_eua__imoveis,4,2,yield_2y,6,0.0044777806449001626
drop_eua__imoveis,4,2,yield_5y,0,0.01129336410298537
drop_eua__imoveis,4,2,yield_5y,1,0.012737172959229078
drop_eua__imoveis,4,2,yield_5y,2,0.009115038287292801
drop_eua__imoveis,4,2,yield_5y,3,0.011160137577747493
drop_eua__imoveis,4,2,yield_5y,4,0.00893054540979097
drop_eua__imoveis,4,2,yield_5y,5,0.004787188254301867
drop_eua__imoveis,4,2,yield_5y,6,0.005251494170780027
drop_eua__imoveis,4,2,asset_ibov,0,-8.062171783820977
drop_eua__imoveis,4,2,asset_ibov,1,-19.345400194936825
drop_eua__imoveis,4,2,asset_ibov,2,-25.46052725812978
drop_eua__imoveis,4,2,asset_ibov,3,-34.25528114489978
drop_eua__imoveis,4,2,asset_ibov,4,-44.03683682889653
drop_eua__imoveis,4,2,asset_ibov,5,-51.05744902036464
drop_eua__imoveis,4,2,asset_ibov,6,-59.19829191090366
drop_eua__imoveis,4,2,cambio_usd,0,0.16663518461477972
drop_eua__imoveis,4,2,cambio_usd,1,0.20228289462550617
drop_eua__imoveis,4,2,cambio_usd,2,0.1236392755192745
drop_eua__imoveis,4,2,cambio_usd,3,0.15089467818804014
drop_eua__imoveis,4,2,cambio_usd,4,0.12718637865898202
drop_eua__imoveis,4,2,cambio_usd,5,0.05660713216023754
drop_eua__imoveis,4,2,cambio_usd,6,0.05604598218032371
drop_expectativas,3,2,yield_6m,0,0.005
drop_expectativas,3,2,yield_6m,1,0.004788494985796001
drop_expectativas,3,2,yield_6m,2,0.00335378525396586
drop_expectativas,3,2,yield_6m,3,0.004266375408821821
drop_expectativas,3,2,yield_6m,4,0.00274958095399058
drop_expectativas,3,2,yield_6m,5,0.0010153239600071222
drop_expectativas,3,2,yield_6m,6,0.0013908589413492599
drop_expectativas,3,2,yield_2y,0,0.009567819954374602
drop_expectativas,3,2,yield_2y,1,0.009814280263609703
drop_expectativas,3,2,yield_2y,2,0.006060769731011352
drop_expectativas,3,2,yield_2y,3,0.00786531140266086
drop_expectativas,3,2,yield_2y,4,0.005710516172602994
drop_expectativas,3,2,yield_2y,5,0.002080924014061883
drop_expectativas,3,2,yield_2y,6,0.0028167505010849147
drop_expectativas,3,2,yield_5y,0,0.012413048434117604
drop_expectativas,3,2,yield_5y,1,0.012561455955532912
drop_expectativas,3,2,yield_5y,2,0.007542271086633292
drop_expectativas,3,2,yield_5y,3,0.00993309953422183
drop_expectativas,3,2,yield_5y,4,0.007590322101274721
drop_expectativas,3,2,yield_5y,5,0.003041574651829908
drop_expectativas,3,2,yield_5y,6,0.004023007282395413
drop_expectativas,3,2,asset_ibov,0,-10.160836284017265
drop_expectativas,3,2,asset_ibov,1,-21.36856816103582
drop_expectativas,3,2,asset_ibov,2,-25.840575193173905
drop_expectativas,3,2,asset_ibov,3,-32.5395757620017
drop_expectativas,3,2,asset_ibov,4,-40.25433273464282
drop_expectativas,3,2,asset_ibov,5,-44.02945137860974
drop_expectativas,3,2,asset_ibov,6,-48.72261218482156
drop_expectativas,3,2,cambio_usd,0,0.1908373730522772
drop_expectativas,3,2,cambio_usd,1,0.20840091162288615
drop_expectativas,3,2,cambio_usd,2,0.11654252254212917
drop_expectativas,3,2,cambio_usd,3,0.15326113514983206
drop_expectativas,3,2,cambio_usd,4,0.12075079683352236
drop_expectativas,3,2,cambio_usd,5,0.041826801597169914
drop_expectativas,3,2,cambio_usd,6,0.05664235233629681
drop_expectativas__credito,3,2,yield_6m,0,0.005
drop_expectativas__credito,3,2,yield_6m,1,0.004768533242362003
drop_expectativas__credito,3,2,yield_6m,2,0.0035224729020448824
drop_expectativas__credito,3,2,yield_6m,3,0.004540061499597484
drop_expectativas__credito,3,2,yield_6m,4,0.0029226894411377956
