variant,r,q,variable,h,point
baseline,8,1,yield_6m,6,1.3127121837035134e-4
baseline,8,1,yield_2y,0,0.017634769186567912
baseline,8,1,yield_2y,1,0.02333219129203331
baseline,8,1,yield_2y,2,0.017949887486630862
baseline,8,1,yield_2y,3,0.02009512401503411
baseline,8,1,yield_2y,4,0.013555587432881185
baseline,8,1,yield_2y,5,0.010596900685998889
baseline,8,1,yield_2y,6,0.013795172800494653
baseline,8,1,yield_5y,0,0.026241727726998506
baseline,8,1,yield_5y,1,0.03158647119332405
baseline,8,1,yield_5y,2,0.02434335840999787
baseline,8,1,yield_5y,3,0.026670271264140146
baseline,8,1,yield_5y,4,0.020385315414860338
baseline,8,1,yield_5y,5,0.016553846489187687
baseline,8,1,yield_5y,6,0.020056886236173615
baseline,8,1,asset_ibov,0,-31.14876523560759
baseline,8,1,asset_ibov,1,-41.05186002188318
baseline,8,1,asset_ibov,2,-35.56510284296577
baseline,8,1,asset_ibov,3,-32.926640447440334
baseline,8,1,asset_ibov,4,-29.193076340845575
baseline,8,1,asset_ibov,5,-24.993613190819154
baseline,8,1,asset_ibov,6,-27.784567808893968
baseline,8,1,cambio_usd,0,0.5155412191601916
baseline,8,1,cambio_usd,1,0.9600808484997141
baseline,8,1,cambio_usd,2,0.973752055818895
baseline,8,1,cambio_usd,3,0.9411718954035112
baseline,8,1,cambio_usd,4,0.8838376197909068
baseline,8,1,cambio_usd,5,0.7766959543161674
baseline,8,1,cambio_usd,6,0.774639828966305
baseline,8,5,yield_6m,0,0.005
baseline,8,5,yield_6m,1,0.005943034815965574
baseline,8,5,yield_6m,2,0.006661604615492607
baseline,8,5,yield_6m,3,0.006915350769428004
baseline,8,5,yield_6m,4,0.005542137365948948
baseline,8,5,yield_6m,5,0.004347029590121252
baseline,8,5,yield_6m,6,0.004172141291256105
baseline,8,5,yield_2y,0,0.010200224680968636
baseline,8,5,yield_2y,1,0.012928245871897712
baseline,8,5,yield_2y,2,0.01228603486303401
baseline,8,5,yield_2y,3,0.012352158960978018
baseline,8,5,yield_2y,4,0.009603044930085456
baseline,8,5,yield_2y,5,0.006943857915397311
baseline,8,5,yield_2y,6,0.006559371630377353
baseline,8,5,yield_5y,0,0.010763683739846912
baseline,8,5,yield_5y,1,0.013567688526931295
baseline,8,5,yield_5y,2,0.01200161999869957
baseline,8,5,yield_5y,3,0.01220707668138586
baseline,8,5,yield_5y,4,0.009611653427415202
baseline,8,5,yield_5y,5,0.00654436373719864
baseline,8,5,yield_5y,6,0.006166933709791374
baseline,8,5,asset_ibov,0,-2.0040338055767175
baseline,8,5,asset_ibov,1,-5.7077601950548145
baseline,8,5,asset_ibov,2,-4.780116336857064
baseline,8,5,asset_ibov,3,-4.070298409303056
baseline,8,5,asset_ibov,4,-2.847309920534571
baseline,8,5,asset_ibov,5,-0.7957371840421168
baseline,8,5,asset_ibov,6,0.11414257450200177
baseline,8,5,cambio_usd,0,0.16880907638090037
baseline,8,5,cambio_usd,1,0.24267844333484254
baseline,8,5,cambio_usd,2,0.22066758618767224
baseline,8,5,cambio_usd,3,0.21632397565608938
baseline,8,5,cambio_usd,4,0.18875836189845488
baseline,8,5,cambio_usd,5,0.0929322313689241
baseline,8,5,cambio_usd,6,0.07510532920708063
conjunto_completo_sem_duplicatas,1,1,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,1,1,yield_6m,1,0.0057258006920435965
conjunto_completo_sem_duplicatas,1,1,yield_6m,2,0.004631576871874784
conjunto_completo_sem_duplicatas,1,1,yield_6m,3,0.0038469307579333833
conjunto_completo_sem_duplicatas,1,1,yield_6m,4,0.0035366908392151964
conjunto_completo_sem_duplicatas,1,1,yield_6m,5,0.0030404481412537074
conjunto_completo_sem_duplicatas,1,1,yield_6m,6,0.002611320998776645
conjunto_completo_sem_duplicatas,1,1,yield_2y,0,0.018527049999397145
conjunto_completo_sem_duplicatas,1,1,yield_2y,1,0.021216439141614897
conjunto_completo_sem_duplicatas,1,1,yield_2y,2,0.01716189125625511
conjunto_completo_sem_duplicatas,1,1,yield_2y,3,0.01425445569929011
conjunto_completo_sem_duplicatas,1,1,yield_2y,4,0.013104889602109957
conjunto_completo_sem_duplicatas,1,1,yield_2y,5,0.011266106946716306
conjunto_completo_sem_duplicatas,1,1,yield_2y,6,0.00967601494176212
conjunto_completo_sem_duplicatas,1,1,yield_5y,0,0.03456242212731692
conjunto_completo_sem_duplicatas,1,1,yield_5y,1,0.039579508107058826
conjunto_completo_sem_duplicatas,1,1,yield_5y,2,0.03201570299217086
conjunto_completo_sem_duplicatas,1,1,yield_5y,3,0.026591848950050567
conjunto_completo_sem_duplicatas,1,1,yield_5y,4,0.02444732034375406
conjunto_completo_sem_duplicatas,1,1,yield_5y,5,0.02101705042284534
conjunto_completo_sem_duplicatas,1,1,yield_5y,6,0.018050715733929048
conjunto_completo_sem_duplicatas,1,1,asset_ibov,0,61.15470797807448
conjunto_completo_sem_duplicatas,1,1,asset_ibov,1,131.18664183059104
conjunto_completo_sem_duplicatas,1,1,asset_ibov,2,187.8351880460923
conjunto_completo_sem_duplicatas,1,1,asset_ibov,3,234.88677346875005
conjunto_completo_sem_duplicatas,1,1,asset_ibov,4,278.1438325649373
conjunto_completo_sem_duplicatas,1,1,asset_ibov,5,315.3313762051073
conjunto_completo_sem_duplicatas,1,1,asset_ibov,6,347.2702908285472
conjunto_completo_sem_duplicatas,1,1,cambio_usd,0,1.827486699046997
conjunto_completo_sem_duplicatas,1,1,cambio_usd,1,2.0927649212207524
conjunto_completo_sem_duplicatas,1,1,cambio_usd,2,1.6928290257929726
conjunto_completo_sem_duplicatas,1,1,cambio_usd,3,1.4060429584556078
conjunto_completo_sem_duplicatas,1,1,cambio_usd,4,1.292651093461426
conjunto_completo_sem_duplicatas,1,1,cambio_usd,5,1.1112757074566626
conjunto_completo_sem_duplicatas,1,1,cambio_usd,6,0.9544308784412874
conjunto_completo_sem_duplicatas,3,2,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,3,2,yield_6m,1,0.003661288735340989
conjunto_completo_sem_duplicatas,3,2,yield_6m,2,7.582755052619605e-4
conjunto_completo_sem_duplicatas,3,2,yield_6m,3,1.4770113719435798e-4
conjunto_completo_sem_duplicatas,3,2,yield_6m,4,-0.0015060854153112987
conjunto_completo_sem_duplicatas,3,2,yield_6m,5,-0.0017237993603105147
conjunto_completo_sem_duplicatas,3,2,yield_6m,6,-0.001264100773692341
conjunto_completo_sem_duplicatas,3,2,yield_2y,0,0.011166421862925387
conjunto_completo_sem_duplicatas,3,2,yield_2y,1,0.011169724391779831
conjunto_completo_sem_duplicatas,3,2,yield_2y,2,0.007761874985404978
conjunto_completo_sem_duplicatas,3,2,yield_2y,3,0.007704554510961456
conjunto_completo_sem_duplicatas,3,2,yield_2y,4,0.005973546796344007
conjunto_completo_sem_duplicatas,3,2,yield_2y,5,0.005714291810886674
conjunto_completo_sem_duplicatas,3,2,yield_2y,6,0.006389805028513088
conjunto_completo_sem_duplicatas,3,2,yield_5y,0,0.013993940620168493
conjunto_completo_sem_duplicatas,3,2,yield_5y,1,0.015233034924514903
conjunto_completo_sem_duplicatas,3,2,yield_5y,2,0.01172308794730301
conjunto_completo_sem_duplicatas,3,2,yield_5y,3,0.0118247877371686
conjunto_completo_sem_duplicatas,3,2,yield_5y,4,0.010081211025603696
conjunto_completo_sem_duplicatas,3,2,yield_5y,5,0.009755663817612071
conjunto_completo_sem_duplicatas,3,2,yield_5y,6,0.010409592978172424
conjunto_completo_sem_duplicatas,3,2,asset_ibov,0,-8.512725336758498
conjunto_completo_sem_duplicatas,3,2,asset_ibov,1,-14.09391731721222
conjunto_completo_sem_duplicatas,3,2,asset_ibov,2,-18.22563220092966
conjunto_completo_sem_duplicatas,3,2,asset_ibov,3,-24.027406284801476
conjunto_completo_sem_duplicatas,3,2,asset_ibov,4,-29.731706340947962
conjunto_completo_sem_duplicatas,3,2,asset_ibov,5,-35.78845564252864
conjunto_completo_sem_duplicatas,3,2,asset_ibov,6,-43.09568776019786
conjunto_completo_sem_duplicatas,3,2,cambio_usd,0,0.32619263245162083
conjunto_completo_sem_duplicatas,3,2,cambio_usd,1,0.44639400441575006
conjunto_completo_sem_duplicatas,3,2,cambio_usd,2,0.40964281516833045
conjunto_completo_sem_duplicatas,3,2,cambio_usd,3,0.4167938771452744
conjunto_completo_sem_duplicatas,3,2,cambio_usd,4,0.3991748037934456
conjunto_completo_sem_duplicatas,3,2,cambio_usd,5,0.389461325872622
conjunto_completo_sem_duplicatas,3,2,cambio_usd,6,0.3894075741153366
conjunto_completo_sem_duplicatas,4,3,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,4,3,yield_6m,1,0.005964378890783232
conjunto_completo_sem_duplicatas,4,3,yield_6m,2,0.0068054843871918295
conjunto_completo_sem_duplicatas,4,3,yield_6m,3,0.007566130067531077
conjunto_completo_sem_duplicatas,4,3,yield_6m,4,0.00791017645293737
conjunto_completo_sem_duplicatas,4,3,yield_6m,5,0.00845505317185188
conjunto_completo_sem_duplicatas,4,3,yield_6m,6,0.009166790226988068
conjunto_completo_sem_duplicatas,4,3,yield_2y,0,0.008213803426274268
conjunto_completo_sem_duplicatas,4,3,yield_2y,1,0.009784129561863855
conjunto_completo_sem_duplicatas,4,3,yield_2y,2,0.00983594149671675
conjunto_completo_sem_duplicatas,4,3,yield_2y,3,0.011096559499620373
conjunto_completo_sem_duplicatas,4,3,yield_2y,4,0.011464483794004492
conjunto_completo_sem_duplicatas,4,3,yield_2y,5,0.011771489183565092
conjunto_completo_sem_duplicatas,4,3,yield_2y,6,0.012353825334121667
conjunto_completo_sem_duplicatas,4,3,yield_5y,0,0.008696994398496258
conjunto_completo_sem_duplicatas,4,3,yield_5y,1,0.010215867371827631
conjunto_completo_sem_duplicatas,4,3,yield_5y,2,0.009090189739255954
conjunto_completo_sem_duplicatas,4,3,yield_5y,3,0.010520028403531688
conjunto_completo_sem_duplicatas,4,3,yield_5y,4,0.010840033614052209
conjunto_completo_sem_duplicatas,4,3,yield_5y,5,0.011005564779998906
conjunto_completo_sem_duplicatas,4,3,yield_5y,6,0.011384979456707365
conjunto_completo_sem_duplicatas,4,3,asset_ibov,0,-0.4755590719402173
conjunto_completo_sem_duplicatas,4,3,asset_ibov,1,-0.13225403702294244
conjunto_completo_sem_duplicatas,4,3,asset_ibov,2,3.6314694722013643
conjunto_completo_sem_duplicatas,4,3,asset_ibov,3,4.595486181477103
conjunto_completo_sem_duplicatas,4,3,asset_ibov,4,5.6429212635568735
conjunto_completo_sem_duplicatas,4,3,asset_ibov,5,6.945891269400299
conjunto_completo_sem_duplicatas,4,3,asset_ibov,6,8.390253599252995
conjunto_completo_sem_duplicatas,4,3,cambio_usd,0,0.2188325627799344
conjunto_completo_sem_duplicatas,4,3,cambio_usd,1,0.268395971438505
conjunto_completo_sem_duplicatas,4,3,cambio_usd,2,0.2513114686588
conjunto_completo_sem_duplicatas,4,3,cambio_usd,3,0.2541299711313072
conjunto_completo_sem_duplicatas,4,3,cambio_usd,4,0.25844663443827737
conjunto_completo_sem_duplicatas,4,3,cambio_usd,5,0.25076646937772046
conjunto_completo_sem_duplicatas,4,3,cambio_usd,6,0.24770061806337842
conjunto_completo_sem_duplicatas,5,3,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,5,3,yield_6m,1,0.007602734773922167
conjunto_completo_sem_duplicatas,5,3,yield_6m,2,0.006416459934884389
conjunto_completo_sem_duplicatas,5,3,yield_6m,3,0.005077223031955644
conjunto_completo_sem_duplicatas,5,3,yield_6m,4,0.002133106174023206
conjunto_completo_sem_duplicatas,5,3,yield_6m,5,7.301806703221398e-4
conjunto_completo_sem_duplicatas,5,3,yield_6m,6,0.0015525863677987742
conjunto_completo_sem_duplicatas,5,3,yield_2y,0,0.015472815502724708
conjunto_completo_sem_duplicatas,5,3,yield_2y,1,0.019189415058867194
conjunto_completo_sem_duplicatas,5,3,yield_2y,2,0.01714089083721006
conjunto_completo_sem_duplicatas,5,3,yield_2y,3,0.01590812810414135
conjunto_completo_sem_duplicatas,5,3,yield_2y,4,0.012714796418736882
conjunto_completo_sem_duplicatas,5,3,yield_2y,5,0.010948014782328003
conjunto_completo_sem_duplicatas,5,3,yield_2y,6,0.01248618831063312
conjunto_completo_sem_duplicatas,5,3,yield_5y,0,0.021791743478430017
conjunto_completo_sem_duplicatas,5,3,yield_5y,1,0.024767479616917307
conjunto_completo_sem_duplicatas,5,3,yield_5y,2,0.021109044856820178
conjunto_completo_sem_duplicatas,5,3,yield_5y,3,0.01994078700348733
conjunto_completo_sem_duplicatas,5,3,yield_5y,4,0.016646084812844002
conjunto_completo_sem_duplicatas,5,3,yield_5y,5,0.01496989144543389
conjunto_completo_sem_duplicatas,5,3,yield_5y,6,0.016513597004009502
conjunto_completo_sem_duplicatas,5,3,asset_ibov,0,-23.863212057674858
conjunto_completo_sem_duplicatas,5,3,asset_ibov,1,-30.264355726787795
conjunto_completo_sem_duplicatas,5,3,asset_ibov,2,-26.79313007029947
conjunto_completo_sem_duplicatas,5,3,asset_ibov,3,-23.641495809998602
conjunto_completo_sem_duplicatas,5,3,asset_ibov,4,-21.43029637128315
conjunto_completo_sem_duplicatas,5,3,asset_ibov,5,-20.993042816368334
conjunto_completo_sem_duplicatas,5,3,asset_ibov,6,-22.05041265363669
conjunto_completo_sem_duplicatas,5,3,cambio_usd,0,0.5132321415705781
conjunto_completo_sem_duplicatas,5,3,cambio_usd,1,0.7649975782268704
conjunto_completo_sem_duplicatas,5,3,cambio_usd,2,0.7729597896439491
conjunto_completo_sem_duplicatas,5,3,cambio_usd,3,0.7282754334152532
conjunto_completo_sem_duplicatas,5,3,cambio_usd,4,0.6352152869213099
conjunto_completo_sem_duplicatas,5,3,cambio_usd,5,0.6009527675713551
conjunto_completo_sem_duplicatas,5,3,cambio_usd,6,0.6318977797760049
conjunto_completo_sem_duplicatas,6,2,yield_6m,0,0.005
conjunto_completo_sem_duplicatas,6,2,yield_6m,1,0.007525377499041998
conjunto_completo_sem_duplicatas,6,2,yield_6m,2,0.006549057771478677
conjunto_completo_sem_duplicatas,6,2,yield_6m,3,0.005675241420067942
conjunto_completo_sem_duplicatas,6,2,yield_6m,4,0.0024711774600616777
conjunto_completo_sem_duplicatas,6,2,yield_6m,5,0.0012508322347002923
conjunto_completo_sem_duplicatas,6,2,yield_6m,6,0.0017059779615153927
conjunto_completo_sem_duplicatas,6,2,yield_2y,0,0.014642722113683207
conjunto_completo_sem_duplicatas,6,2,yield_2y,1,0.018204806372647996
conjunto_completo_sem_duplicatas,6,2,yield_2y,2,0.015804667098859068
conjunto_completo_sem_duplicatas,6,2,yield_2y,3,0.014882126304949162
conjunto_completo_sem_duplicatas,6,2,yield_2y,4,0.010618272894904182
conjunto_completo_sem_duplicatas,6,2,yield_2y,5,0.008929408122244386
conjunto_completo_sem_duplicatas,6,2,yield_2y,6,0.010009967614119689
conjunto_completo_sem_duplicatas,6,2,yield_5y,0,0.019961361161685082
conjunto_completo_sem_duplicatas,6,2,yield_5y,1,0.02267114755078292
