sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,8,7,5,ok,0.9829725022706615,NA,calendario,permute,TRUE,98,50,0.969140479556952,0.7972544856137382,2.143535776501375,-0.752356937699852,0.2662096763812883,1.310112693278049,3.708689103733604,0.0979020979020979,51.24527945097501,0.0032577187109733303,0.17365269461077845,0.18087937381452415,1,1,FALSE,NA,FALSE,fails
full,8,7,5,ok,0.9829725022706615,NA,episodio_s2,rotate,TRUE,69,79,1.2509654138056419,0.9743751743711054,2.7821936258940605,-0.9303669457411206,0.2871960837206846,1.5116716095377616,3.994680290141073,0.017982017982017984,64.31414496935074,6.980415880852053e-5,0.059880239520958084,0.18596357402906105,1,1,FALSE,NA,FALSE,fails
full,8,7,5,ok,0.9829725022706615,NA,intensidade_z,permute,FALSE,49,99,1.382174938610011,0.8796091624587304,3.618483073894459,-0.8572309481557363,0.3116555391086756,1.8056748899083233,3.5030668067383934,0.13186813186813187,61.742624956418204,1.5518581839471375e-4,0.05788423153692615,0.1450819960411543,1,1,FALSE,NA,FALSE,fails
full,8,7,5,ok,0.9829725022706615,NA,volatilidade_juros,permute,TRUE,37,111,1.917958902690911,0.9577625026443846,5.516601133596336,-0.6786491848998897,0.36333543013623165,1.7908037195899529,4.613149231695676,0.03296703296703297,61.88667805805867,1.484672340925831e-4,0.11177644710578842,0.10001075360640316,1,1,FALSE,NA,FALSE,fails
full,8,7,5,ok,0.9829725022706615,2021-07-01,quebra_livre,rotate,TRUE,51,97,1.2707520599100692,0.8674809285496811,2.0092660597929344,-0.8154327493353306,0.3573469238469924,4.922654664067155,3.2376662547133863,0.3646353646353646,56.904129338002235,6.614364386419458e-4,0.04790419161676647,0.1703831521823805,1,1,FALSE,NA,FALSE,fails
full,8,7,6,ok,0.9784795064156645,NA,calendario,permute,TRUE,98,49,0.8342887416192764,0.753671169126172,2.032392744724255,-0.6890185246905937,0.23957736488542025,1.0171995509363394,2.8723596102030733,0.3936063936063936,42.2072700171518,0.031398848473442195,0.3393213572854291,0.028597114209120686,1,1,FALSE,NA,FALSE,fails
full,8,7,6,ok,0.9784795064156645,NA,episodio_s2,rotate,TRUE,69,78,1.1817631515491411,0.9420378173336252,2.6930917381833783,-0.9079064119978315,0.2829233388347267,1.374227168317369,3.641973445652924,0.016983016983016984,62.049773616078326,1.412006767719866e-4,0.0499001996007984,0.2309684808101286,1,1,FALSE,NA,FALSE,fails
full,8,7,6,ok,0.9784795064156645,NA,intensidade_z,permute,FALSE,49,98,1.3223771078821083,0.9420645720858081,3.2373142449359347,-0.8931159225807699,0.2799980434693294,1.4972472565107309,3.323449853123438,0.16683316683316685,61.496407286574346,1.6735732640142762e-4,0.06187624750499002,0.20961514267603312,1,1,FALSE,NA,FALSE,fails
full,8,7,6,ok,0.9784795064156645,NA,volatilidade_juros,permute,TRUE,37,110,1.8105012491618608,0.9993898272155313,4.9976032249882305,-0.6323653921638214,0.3509255555569145,1.6037402212142213,4.263174368975066,0.06293706293706294,54.78456315275212,0.0012184362124199734,0.15169660678642716,0.12702373595377198,1,1,FALSE,NA,FALSE,fails
full,8,7,6,ok,0.9784795064156645,2021-07-01,quebra_livre,rotate,TRUE,51,96,1.4015392827821476,0.9883289344677003,2.1366597794565387,-0.8479859776934259,0.37358670243841385,4.528589244426926,3.678357556277692,0.03996003996003996,63.56076640274001,8.83819780497589e-5,0.015968063872255488,0.020968506149351137,1,1,FALSE,NA,FALSE,fails
