r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,2,yield_5y,6,0.00428711390772456,0.0021702730241106487,0.006614184489270423,2.582189793251911e-4,0.009152588832160817,q=5
5,5,2,yield_5y,7,0.003665823463205375,0.001763587121505778,0.005845048167646885,1.1818855056523774e-4,0.008315695241922836,q=5
5,5,2,yield_5y,8,0.0030738544234585486,0.0013542016878029548,0.005130010999109182,-6.696516526984412e-5,0.007553744485572539,q=5
5,5,2,yield_5y,9,0.002509028586109946,9.28466974699552e-4,0.0044770687332595736,-3.2176434194893834e-4,0.006881738736530217,q=5
5,5,2,yield_5y,10,0.001955253441234677,4.737010876222575e-4,0.0038661578859417356,-6.539645245717835e-4,0.006273018649413369,q=5
5,5,2,yield_5y,11,0.0014133007540471927,-6.611145515196316e-6,0.00329532912619883,-0.0010553790435870055,0.005720909117009167,q=5
5,5,2,yield_5y,12,8.811324260223005e-4,-5.083418421710744e-4,0.0027564309869331106,-0.0015142738197241967,0.005209809227138829,q=5
5,5,2,yield_5y,13,3.611809474260455e-4,-0.001023266841696834,0.0022464570454903262,-0.0020156652887139475,0.0047310041455791855,q=5
5,5,2,yield_5y,14,-1.448913193954569e-4,-0.001544328473798118,0.0017620103394584813,-0.00254676155421744,0.004276363699302913,q=5
5,5,2,yield_5y,15,-6.343078548621425e-4,-0.002064350153548815,0.0013019149267280963,-0.0030959889175599742,0.0038416484056171545,q=5
5,5,2,yield_5y,16,-0.00110461894690508,-0.002577405146059436,8.655938972355157e-4,-0.0036541738940046083,0.003424376511144194,q=5
5,5,2,yield_5y,17,-0.0015532409692128768,-0.003078232833604975,4.5345833401708705e-4,-0.004213672148658444,0.003024078315187131,q=5
5,5,2,yield_5y,18,-0.0019778441324040507,-0.0035624619517533075,6.631418408308534e-5,-0.004768367221050878,0.0026413567836677007,q=5
5,5,2,yield_5y,19,-0.002376235497681751,-0.004026327912675301,-2.946709845120718e-4,-0.005313164040855728,0.002277676562726088,q=5
5,5,2,yield_5y,20,-0.002746464477244322,-0.0044666456848400414,-6.282207972113981e-4,-0.005843809877011256,0.0019349154566051536,q=5
5,5,2,yield_5y,21,-0.0030867964943862504,-0.004880674029225191,-9.33029134048944e-4,-0.006356629709993841,0.0016151684882878333,q=5
5,5,2,yield_5y,22,-0.0033957446968539673,-0.005266064932423337,-0.0012078801645416795,-0.006848386726955567,0.0013205209274589284,q=5
5,5,2,yield_5y,23,-0.0036720660204564376,-0.005620798513171093,-0.0014517062505564227,-0.007316149892824199,0.0010529210197634318,q=5
5,5,2,yield_5y,24,-0.0039147710959649635,-0.005943148829561559,-0.0016636461743327342,-0.007757215465601732,8.140648896860094e-4,q=5
5,5,2,yield_5y,25,-0.004123123343685488,-0.006231653351031522,-0.0018430767212530368,-0.008169049063927172,6.05329015659782e-4,q=5
5,5,2,yield_5y,26,-0.004296640243670985,-0.0064850954045389325,-0.001989636901079652,-0.008549255942122141,4.277215419026128e-4,q=5
5,5,2,yield_5y,27,-0.004435090353484451,-0.006702491698972028,-0.002103238298627361,-0.008895568698433066,2.818606721525711e-4,q=5
5,5,2,yield_5y,28,-0.004538489542495883,-0.006883085942748312,-0.002184068195726764,-0.00920585112613472,1.679690564497911e-4,q=5
5,5,2,yield_5y,29,-0.0046070948354707195,-0.007026345743937776,-0.0022325845424250954,-0.009478113064716416,8.58843049110137e-5,q=5
5,5,2,yield_5y,30,-0.004641396864821084,-0.007131962163590713,-0.0022495055639249815,-0.009710533336237082,3.508008435796926e-5,q=5
5,5,2,yield_5y,31,-0.004642110605198944,-0.0071998505896714365,-0.0022357944848815,-0.00990148743607831,1.4695908922765012e-5,q=5
5,5,2,yield_5y,32,-0.004610164751073274,-0.007230152212882833,-0.0021926408166768815,-0.010049577470856986,2.3572373744073522e-5,q=5
5,5,2,yield_5y,33,-0.004546689752208063,-0.0072232353750046035,-0.002121438874517119,-0.01015366221368104,6.0290039663202465e-5,q=5
5,5,2,yield_5y,34,-0.004453004703540136,-0.007179696312324306,-0.002023764366363882,-0.010212885708528956,1.2321012073873298e-4,q=5
5,5,2,yield_5y,35,-0.004330603196187134,-0.007100358931113766,-0.0019013495782204614,-0.010226703317321485,2.105158615718611e-4,q=5
5,5,2,yield_5y,36,-0.00418113828440648,-0.006986273400564879,-0.0017560576506558537,-0.01019490452014565,3.202537220293986e-4,q=5
5,5,2,yield_5y,37,-0.004006406699761517,-0.006838713456333698,-0.0015898562839427991,-0.010117632124924683,4.50373890436293e-4,q=5
