painel,escolhido,r,standardize_resid,q_hat,q,aw_ic2
completa_0.85,FALSE,5,FALSE,2,3,-0.3867498298598497
completa_0.85,FALSE,5,FALSE,2,4,-0.3712908830424874
completa_0.85,FALSE,5,FALSE,2,5,-0.35351692165689613
completa_0.85,FALSE,5,TRUE,2,1,-0.074128999393142
completa_0.85,TRUE,5,TRUE,2,2,-0.11025018991793276
completa_0.85,FALSE,5,TRUE,2,3,-0.0970816191765485
completa_0.85,FALSE,5,TRUE,2,4,-0.08226646351122774
completa_0.85,FALSE,5,TRUE,2,5,-0.06283764099414774
completa_0.85,FALSE,6,FALSE,2,1,-0.4194757723468476
completa_0.85,TRUE,6,FALSE,2,2,-0.4482753676849208
completa_0.85,FALSE,6,FALSE,2,3,-0.4373141929289068
completa_0.85,FALSE,6,FALSE,2,4,-0.4242137521861113
completa_0.85,FALSE,6,FALSE,2,5,-0.40906092673250344
completa_0.85,FALSE,6,FALSE,2,6,-0.3879063268917641
completa_0.85,FALSE,6,TRUE,2,1,-0.06384995300155775
completa_0.85,TRUE,6,TRUE,2,2,-0.09676950610527665
completa_0.85,FALSE,6,TRUE,2,3,-0.08471401553013508
completa_0.85,FALSE,6,TRUE,2,4,-0.07152114638599621
completa_0.85,FALSE,6,TRUE,2,5,-0.054020136403764074
completa_0.85,FALSE,6,TRUE,2,6,-0.029504049642499808
completa_0.85,FALSE,7,FALSE,2,1,-0.460208573608219
completa_0.85,TRUE,7,FALSE,2,2,-0.4902861036940471
completa_0.85,FALSE,7,FALSE,2,3,-0.47917452746172123
completa_0.85,FALSE,7,FALSE,2,4,-0.46627921558292457
completa_0.85,FALSE,7,FALSE,2,5,-0.44750677684193224
completa_0.85,FALSE,7,FALSE,2,6,-0.4242806104880684
completa_0.85,FALSE,7,FALSE,2,7,-0.40007075802100045
completa_0.85,FALSE,7,TRUE,2,1,-0.06468397416085069
completa_0.85,TRUE,7,TRUE,2,2,-0.0987731147288399
completa_0.85,FALSE,7,TRUE,2,3,-0.08672010011606396
completa_0.85,FALSE,7,TRUE,2,4,-0.07334307980115845
completa_0.85,FALSE,7,TRUE,2,5,-0.052656342173971915
completa_0.85,FALSE,7,TRUE,2,6,-0.028027940395490503
completa_0.85,FALSE,7,TRUE,2,7,-0.0017039710266923969
completa_0.85,FALSE,8,FALSE,2,1,-0.49543113838294917
completa_0.85,TRUE,8,FALSE,2,2,-0.5250767825895744
completa_0.85,FALSE,8,FALSE,2,3,-0.5148304329429367
completa_0.85,FALSE,8,FALSE,2,4,-0.5028315089488999
completa_0.85,FALSE,8,FALSE,2,5,-0.48508306911697113
completa_0.85,FALSE,8,FALSE,2,6,-0.46361365225906004
completa_0.85,FALSE,8,FALSE,2,7,-0.44055087716936914
completa_0.85,FALSE,8,FALSE,2,8,-0.41680254369974434
completa_0.85,FALSE,8,TRUE,2,1,-0.0637787126047948
completa_0.85,TRUE,8,TRUE,2,2,-0.09711503146887737
completa_0.85,FALSE,8,TRUE,2,3,-0.08535553513161204
completa_0.85,FALSE,8,TRUE,2,4,-0.07249743059617536
completa_0.85,FALSE,8,TRUE,2,5,-0.05306351187486763
completa_0.85,FALSE,8,TRUE,2,6,-0.030129155538611896
completa_0.85,FALSE,8,TRUE,2,7,-0.004017748973098589
completa_0.85,FALSE,8,TRUE,2,8,0.02029884931675463
completa_0.95,FALSE,4,FALSE,2,1,-0.3407774682490299
completa_0.95,TRUE,4,FALSE,2,2,-0.40165503868745894
completa_0.95,FALSE,4,FALSE,2,3,-0.4009387635637267
completa_0.95,FALSE,4,FALSE,2,4,-0.3945088308008967
completa_0.95,FALSE,4,TRUE,2,1,-0.07767055468111192
completa_0.95,TRUE,4,TRUE,2,2,-0.14428335732826858
completa_0.95,FALSE,4,TRUE,2,3,-0.14122169278162663
completa_0.95,FALSE,4,TRUE,2,4,-0.13767776877859517
completa_0.95,FALSE,5,FALSE,2,1,-0.3897897974736101
completa_0.95,TRUE,5,FALSE,2,2,-0.4473393735021663
completa_0.95,FALSE,5,FALSE,2,3,-0.44665591583410746
completa_0.95,FALSE,5,FALSE,2,4,-0.43994186830978843
completa_0.95,FALSE,5,FALSE,2,5,-0.4273351952174052
completa_0.95,FALSE,5,TRUE,2,1,-0.07147556104059191
completa_0.95,TRUE,5,TRUE,2,2,-0.13720015327137924
completa_0.95,FALSE,5,TRUE,2,3,-0.1365124887490254
completa_0.95,FALSE,5,TRUE,2,4,-0.13373133134962473
completa_0.95,FALSE,5,TRUE,2,5,-0.12135799507639633
completa_0.95,FALSE,6,FALSE,2,1,-0.44194573948190874
completa_0.95,TRUE,6,FALSE,2,2,-0.500705523018568
completa_0.95,FALSE,6,FALSE,2,3,-0.5000168463730645
completa_0.95,FALSE,6,FALSE,2,4,-0.49658421584353674
completa_0.95,FALSE,6,FALSE,2,5,-0.48408132668456233
completa_0.95,FALSE,6,FALSE,2,6,-0.4650522121061597
completa_0.95,FALSE,6,TRUE,2,1,-0.07117059958956318
completa_0.95,TRUE,6,TRUE,2,2,-0.13897188211598288
completa_0.95,FALSE,6,TRUE,2,3,-0.13755532654684102
completa_0.95,FALSE,6,TRUE,2,4,-0.13784075297439008
completa_0.95,FALSE,6,TRUE,2,5,-0.12179708654891985
completa_0.95,FALSE,6,TRUE,2,6,-0.1008566531933684
completa_0.95,FALSE,7,FALSE,2,1,-0.4851507341561103
completa_0.95,TRUE,7,FALSE,2,2,-0.5458265048622459
completa_0.95,FALSE,7,FALSE,2,3,-0.5422759947001492
completa_0.95,FALSE,7,FALSE,2,4,-0.5410663075462251
completa_0.95,FALSE,7,FALSE,2,5,-0.524859873682052
completa_0.95,FALSE,7,FALSE,2,6,-0.5053692905476685
completa_0.95,FALSE,7,FALSE,2,7,-0.48432008723938536
completa_0.95,FALSE,7,TRUE,2,1,-0.07343470357253079
completa_0.95,TRUE,7,TRUE,2,2,-0.14309676249154163
completa_0.95,FALSE,7,TRUE,2,3,-0.14127666954089843
completa_0.95,FALSE,7,TRUE,2,4,-0.1393791999773596
completa_0.95,FALSE,7,TRUE,2,5,-0.12052565329247472
completa_0.95,FALSE,7,TRUE,2,6,-0.09898957378033274
completa_0.95,FALSE,7,TRUE,2,7,-0.07868795899913517
completa_0.95,FALSE,8,FALSE,2,1,-0.5348252969636631
completa_0.95,TRUE,8,FALSE,2,2,-0.585372186821987
completa_0.95,FALSE,8,FALSE,2,3,-0.5807395155068787
completa_0.95,FALSE,8,FALSE,2,4,-0.5805570959442473
completa_0.95,FALSE,8,FALSE,2,5,-0.565467772358992
completa_0.95,FALSE,8,FALSE,2,6,-0.5475410661676487
completa_0.95,FALSE,8,FALSE,2,7,-0.5275484790952575
completa_0.95,FALSE,8,FALSE,2,8,-0.5081576347863579
completa_0.95,FALSE,8,TRUE,3,1,-0.07744780990404915
completa_0.95,FALSE,8,TRUE,3,2,-0.13854216704913996
completa_0.95,TRUE,8,TRUE,3,3,-0.13901213837758733
completa_0.95,FALSE,8,TRUE,3,4,-0.13801705467959774
completa_0.95,FALSE,8,TRUE,3,5,-0.12024145969134076
completa_0.95,FALSE,8,TRUE,3,6,-0.09907547054179616
completa_0.95,FALSE,8,TRUE,3,7,-0.0799468370311005
completa_0.95,FALSE,8,TRUE,3,8,-0.06154430997717608
simples_0.90,FALSE,3,FALSE,2,1,-0.29094379962356154
simples_0.90,TRUE,3,FALSE,2,2,-0.326793944989057
simples_0.90,FALSE,3,FALSE,2,3,-0.31779975402185884
simples_0.90,FALSE,3,TRUE,2,1,-0.08187941587497582
simples_0.90,TRUE,3,TRUE,2,2,-0.12138122350998781
simples_0.90,FALSE,3,TRUE,2,3,-0.10965980449831664
simples_0.90,FALSE,4,FALSE,2,1,-0.3322918754882951
simples_0.90,TRUE,4,FALSE,2,2,-0.3701497522715474
simples_0.90,FALSE,4,FALSE,2,3,-0.35997410437903293
simples_0.90,FALSE,4,FALSE,2,4,-0.34230048059344065
simples_0.90,FALSE,4,TRUE,2,1,-0.08102834758087357
simples_0.90,TRUE,4,TRUE,2,2,-0.12263825768864062
simples_0.90,FALSE,4,TRUE,2,3,-0.11095575153942366
simples_0.90,FALSE,4,TRUE,2,4,-0.09507483952748663
simples_0.90,FALSE,5,FALSE,2,1,-0.375301816702194
simples_0.90,TRUE,5,FALSE,2,2,-0.4150256070516905
simples_0.90,FALSE,5,FALSE,2,3,-0.4037456132040678
simples_0.90,FALSE,5,FALSE,2,4,-0.3866728528041117
simples_0.90,FALSE,5,FALSE,2,5,-0.3692284783624202
simples_0.90,FALSE,5,TRUE,2,1,-0.07597973766404834
simples_0.90,TRUE,5,TRUE,2,2,-0.11955028163769321
simples_0.90,FALSE,5,TRUE,2,3,-0.10853591086695302
simples_0.90,FALSE,5,TRUE,2,4,-0.09193368975758753
simples_0.90,FALSE,5,TRUE,2,5,-0.07272694200999236
simples_0.90,FALSE,6,FALSE,2,1,-0.4241003460577596
simples_0.90,TRUE,6,FALSE,2,2,-0.46353061012743507
simples_0.90,FALSE,6,FALSE,2,3,-0.4528353601449177
simples_0.90,FALSE,6,FALSE,2,4,-0.4372872262673324
simples_0.90,FALSE,6,FALSE,2,5,-0.4222341531106801
simples_0.90,FALSE,6,FALSE,2,6,-0.40079426265305473
simples_0.90,FALSE,6,TRUE,2,1,-0.0694664988477261
simples_0.90,TRUE,6,TRUE,2,2,-0.11332309537425062
simples_0.90,FALSE,6,TRUE,2,3,-0.10308055663368937
simples_0.90,FALSE,6,TRUE,2,4,-0.08782193297773588
simples_0.90,FALSE,6,TRUE,2,5,-0.06918571139596746
simples_0.90,FALSE,6,TRUE,2,6,-0.04448305658076046
simples_0.90,FALSE,7,FALSE,2,1,-0.4638575885977444
simples_0.90,TRUE,7,FALSE,2,2,-0.5049474378480112
simples_0.90,FALSE,7,FALSE,2,3,-0.4939480943672077
