window_cell,q,variable,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90
cheia_p4,5,yield_6m,14,0.002405669194033851,-0.002547477844367732,0.00634748285045111,-0.008913924420609098,0.009541346008464721,interval,interval
cheia_p4,5,yield_2y,14,8.458020607541746e-4,-0.0048061851062420275,0.005273966997316797,-0.012171386578369052,0.008800001104559705,interval,interval
cheia_p4,5,ibc_br,14,-0.3337461257805407,-0.7709919384848432,0.018620576479570376,-1.3267682965121843,0.3081285969377508,interval,interval
cheia_p4,5,asset_ibov,14,1.5407584358374251,0.43510855742852994,2.3711498426301167,-1.0590091030580853,3.0017733494254624,interval,interval
cheia_p4,5,cds_5y,14,-2.876405933642403,-13.849077400157247,6.485247183956686,-27.091121454030063,14.673477934245666,interval,interval
cheia_p4,5,price_ipca,14,-0.15295502370560296,-0.3291101188679087,-0.02694525810396197,-0.5769779870963169,0.06361519409356013,interval,interval
cheia_p4,5,cambio_usd,15,-0.06580994687075709,-0.13422325705896482,-0.0038412965258542075,-0.21224443460437512,0.05396278810122482,interval,interval
cheia_p4,5,yield_6m,15,0.001572858911073465,-0.003454331395351993,0.005634270628502681,-0.009830116604454963,0.008980379183289129,interval,interval
cheia_p4,5,yield_2y,15,-1.59785091474292e-4,-0.0059183878664783845,0.004402768649874039,-0.01334909839948284,0.008081437176593334,interval,interval
cheia_p4,5,ibc_br,15,-0.3487146217032182,-0.7778004082929592,-0.0013115643523200244,-1.3209433590588417,0.2855901933954161,interval,interval
cheia_p4,5,asset_ibov,15,1.4038043359434105,0.24219359068155596,2.277492857897601,-1.3256179691649572,2.942083691841758,interval,interval
cheia_p4,5,cds_5y,15,-5.053892476481283,-16.23301507725816,4.458608968418931,-29.75743920119662,12.754792101016493,interval,interval
cheia_p4,5,price_ipca,15,-0.17165290435524036,-0.3515050502325728,-0.042349894246886774,-0.6035393661959485,0.0511102533925446,interval,interval
cheia_p4,5,cambio_usd,16,-0.07246527910905556,-0.1420422018142977,-0.010537515517202412,-0.2227337642695626,0.046158403366099734,interval,interval
cheia_p4,5,yield_6m,16,7.397481049284416e-4,-0.004355433993202681,0.004905732567288488,-0.010748333205249903,0.008383710682081297,interval,interval
cheia_p4,5,yield_2y,16,-0.0011291055728245647,-0.006991187161036794,0.0035550852661189888,-0.014498825177777612,0.007367644364094722,interval,interval
cheia_p4,5,ibc_br,16,-0.3655358559457764,-0.7887679052465377,-0.021807256664705846,-1.323014364799754,0.2630344747172012,interval,interval
cheia_p4,5,asset_ibov,16,1.210250988633519,-0.0081730505474831,2.134030685498801,-1.6415272412219295,2.8430766595579247,interval,interval
cheia_p4,5,cds_5y,16,-6.9382096552821375,-18.312636704035498,2.6976457386209924,-32.12987073906056,11.06092789008792,interval,interval
cheia_p4,5,price_ipca,16,-0.1886132166347081,-0.3719196185244732,-0.0562611256470217,-0.6278955059502354,0.03986954680326701,interval,interval
cheia_p4,5,cambio_usd,17,-0.0784248107017832,-0.14897113514113133,-0.016638367436538137,-0.2320469593552413,0.03895744449509806,interval,interval
cheia_p4,5,yield_6m,17,-9.009719572479908e-5,-0.00525117295839165,0.004169465411759306,-0.01167217536554034,0.00776239377488192,interval,interval
cheia_p4,5,yield_2y,17,-0.002077442972318263,-0.00804635931905364,0.002724450515859921,-0.015645074378278997,0.006662179558301438,interval,interval
cheia_p4,5,ibc_br,17,-0.37796136207371134,-0.7969644788576276,-0.03735312098014543,-1.3254351792430332,0.2451904824461636,interval,interval
cheia_p4,5,asset_ibov,17,1.0146405016685494,-0.25045232485599783,1.9776301419764137,-1.9406145779649393,2.720085559477632,interval,interval
cheia_p4,5,cds_5y,17,-8.758490274551908,-20.337620915781336,1.0144590174592087,-34.45170332467689,9.46249588596235,interval,interval
cheia_p4,5,price_ipca,17,-0.20348843102405145,-0.39000461731427577,-0.06825602408649592,-0.649572184474557,0.03043277560040026,interval,interval
cheia_p4,5,cambio_usd,18,-0.08340147905115375,-0.15483526522671592,-0.021858655827880446,-0.24026475288087176,0.03254258178357768,interval,interval
cheia_p4,5,yield_6m,18,-9.052481470255651e-4,-0.006133321063951853,0.0034374933199877535,-0.01259971177671413,0.007126572487749567,interval,interval
