p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_2y,28,-0.0030929454981326694,-0.004660166382006515,0.0021244250264051264,-0.0072101692799701,0.005252245566240712
4,yield_2y,29,-0.0033438119597978466,-0.0047842844058332825,0.0017739402287816181,-0.007463795443914084,0.004895282803791562
4,yield_2y,30,-0.0035604360002747188,-0.005051099724148774,0.0014518958137396437,-0.007761272357263353,0.004694267113040503
4,yield_2y,31,-0.003743329832251241,-0.005307963034070388,0.001102171843497843,-0.007996840064433413,0.004218963992652277
4,yield_2y,32,-0.0038932134820789583,-0.0054868657009494335,9.430189585923699e-4,-0.008178050105478814,0.003978308933117986
4,yield_2y,33,-0.004011056818280054,-0.005559689314788194,7.073527112970644e-4,-0.008359466176699302,0.003896929768672227
4,yield_2y,34,-0.004097985760182646,-0.005710562441208479,5.140761129992701e-4,-0.00857533855035714,0.003714785513503238
4,yield_2y,35,-0.004155270436953644,-0.005834114196324826,3.7342125394165576e-4,-0.008745001063859297,0.003671546058670315
4,yield_2y,36,-0.004184335197155607,-0.005896304532037541,3.3938086143382956e-4,-0.00877074122314844,0.003534546259636868
4,yield_2y,37,-0.0041867207005914665,-0.00595769263780737,2.4374962427642412e-4,-0.008780035814607748,0.0035073059020381808
4,yield_2y,38,-0.004164059460942167,-0.005991075924596766,1.6120160813149409e-4,-0.00867976905847612,0.003445397744067936
4,yield_2y,39,-0.004118067451776369,-0.005898484766618722,1.9288464098806202e-4,-0.00858386154571488,0.0032916837658038887
4,yield_2y,40,-0.004050522979883336,-0.005924494183454849,1.1179067850023013e-4,-0.008500205064191909,0.0033061410344590743
4,yield_2y,41,-0.003963245662773991,-0.0059807507085837194,1.4913145406157796e-4,-0.00845730955714211,0.0033469558625816294
4,yield_2y,42,-0.003858082611189879,-0.005920044900628585,1.623208862006796e-4,-0.008285824382247538,0.003242553058842258
4,yield_2y,43,-0.003736892810341742,-0.005834926559041009,2.405068955013255e-4,-0.00821830694671038,0.00320591967917243
4,yield_2y,44,-0.003601530944730368,-0.005797227369068486,3.4516032309842633e-4,-0.008055846522935617,0.0031680819685557518
4,yield_2y,45,-0.0034538342379270702,-0.005752753957872744,4.0575128386968686e-4,-0.007975035298648942,0.003042159941920844
4,yield_2y,46,-0.0032956101231369113,-0.005592987545998536,5.020028993124292e-4,-0.0077991660919437,0.0029257521206605803
4,yield_2y,47,-0.0031286242463796645,-0.0055117145835320396,6.103616209084147e-4,-0.0076344780017082265,0.0030212637780548707
4,yield_2y,48,-0.0029545900620844,-0.0054425995308736205,7.273625376371218e-4,-0.0073621601216188725,0.003086046733619364
4,yield_5y,0,0.007060616564757332,0.0059054512991890545,0.008316724175658631,0.005227887124843069,0.009268494549501603
4,yield_5y,1,0.00815078804806815,0.006361406544283201,0.00955347795612303,0.005397363239696413,0.011015668045879144
4,yield_5y,2,0.00760801853291841,0.005579691182135231,0.00941048551306175,0.004564857595006741,0.010900996922312372
4,yield_5y,3,0.008347671012439422,0.006276687143850096,0.01044992451575182,0.005070756579598619,0.01206225236846016
4,yield_5y,4,0.00812549117662758,0.0060341110331519204,0.010484983999253707,0.004440625566875466,0.012538139043607177
4,yield_5y,5,0.007399213488197422,0.005126122681265397,0.010236117732223392,0.0036512948242738096,0.012168179344635769
4,yield_5y,6,0.007166070303698151,0.0048197446623330295,0.010267994646554745,0.003485160109384557,0.012242514028694659
4,yield_5y,7,0.0067442904583080955,0.004487171015330891,0.010137017523973358,0.0029366520432439606,0.012395877111128734
4,yield_5y,8,0.00601413342826528,0.0038285214438597433,0.009701803356707757,0.0022712942532739895,0.012248865290162196
4,yield_5y,9,0.005470991798942961,0.0033374698866256137,0.009401273062544116,0.001879624765996723,0.012142507048724733
4,yield_5y,10,0.004938106033869544,0.0028423332874410877,0.00914865029877097,0.0014004875230427694,0.011972385530847373
4,yield_5y,11,0.004281822069259655,0.0022219785633528885,0.008616083239574563,7.120750061889345e-4,0.011509065022829553
4,yield_5y,12,0.0036690924117098534,0.0017591281255354128,0.008097256672397454,8.576579053291975e-5,0.011191128428386194
4,yield_5y,13,0.0030981602718090917,0.0012618847726785848,0.007678263815924975,-4.2123210135206493e-4,0.010661350646138537
4,yield_5y,14,0.0025032399110191555,6.71112685820354e-4,0.007145258172625105,-9.508731049708797e-4,0.010207172547510239
4,yield_5y,15,0.0019228414627671616,1.766883999311259e-4,0.006648562443989793,-0.0014436760735640833,0.009889517518609713
4,yield_5y,16,0.0013769549790932734,-3.705118853438782e-4,0.006159282044284481,-0.002019553449393623,0.009291441491490273
4,yield_5y,17,8.456017206207577e-4,-8.11401031207666e-4,0.00571724137166509,-0.0026774193256100184,0.008878974541877166
4,yield_5y,18,3.339609454307074e-4,-0.0012475818120908822,0.005191159042157565,-0.003264686664993042,0.008423824404268143
4,yield_5y,19,-1.4708384144521684e-4,-0.001729201270911127,0.0046765613714786726,-0.003843975086190598,0.007947076122110912
4,yield_5y,20,-6.01016598414552e-4,-0.002243946501430643,0.004196943883582218,-0.004221824166999525,0.007539675415592859
4,yield_5y,21,-0.001027781564125778,-0.0026375534529971796,0.0037416968185764255,-0.004634271148236163,0.007145320766522861
4,yield_5y,22,-0.0014232749629944563,-0.0030839491089491313,0.0033327636643593374,-0.005190060262338236,0.006413921985863391
4,yield_5y,23,-0.0017873849446152846,-0.0033997369709549805,0.0029737240223629106,-0.005599371475173675,0.0059341530910461205
4,yield_5y,24,-0.0021203692223867136,-0.003722341156862775,0.002517100319754018,-0.005842224550449577,0.005421329161078261
4,yield_5y,25,-0.0024210550292874796,-0.003967731068729232,0.0021724382249850424,-0.006234682483765363,0.0049593392782747514
4,yield_5y,26,-0.002689290560047563,-0.004128566497143181,0.001934089771402809,-0.0066837713123587186,0.0047090217939458265
4,yield_5y,27,-0.002925525526426488,-0.004293271175501537,0.001607916966300041,-0.006998715122474275,0.004399721085321541
4,yield_5y,28,-0.0031299001247632723,-0.004624631809688541,0.00127590549283018,-0.007436510129065479,0.004031535268540648
4,yield_5y,29,-0.0033028598318401814,-0.004942758091582603,0.0010398130715065556,-0.007683673208181982,0.003713758348155415
4,yield_5y,30,-0.0034452369433685998,-0.005129885226523849,8.60060379311692e-4,-0.007888150848193881,0.003553334682713936
4,yield_5y,31,-0.0035579005245806967,-0.005114379394959641,6.183878001210721e-4,-0.007890663716229004,0.003387677302604737
4,yield_5y,32,-0.003641860018749934,-0.0052431760377457635,3.8525150029931806e-4,-0.008056115976585418,0.0031259309367751187
4,yield_5y,33,-0.003698341732623112,-0.005239286940820157,1.843954049700387e-4,-0.008276938876671754,0.002881111760181902
4,yield_5y,34,-0.0037286701740204178,-0.005294857117157268,8.472008991054867e-5,-0.008311051064956115,0.0028447087733430767
4,yield_5y,35,-0.0037342562766641417,-0.005393561538430028,7.729645661850416e-5,-0.008081715432054075,0.002801101004357259
4,yield_5y,36,-0.003716623097584203,-0.005420200445561515,9.000969647368863e-5,-0.007941673382340956,0.002855068828912023
4,yield_5y,37,-0.0036773651071529863,-0.005397725889145926,3.2177558459262016e-5,-0.008035535354578573,0.0028657249469616277
