matriz,p,ordem,re,im,modulo,arg,complexo,periodo_meses,quarto_ciclo,meia_volta_ciclo,meia_vida_meses
OLS,6,2,0.9604554980350026,-0.09206297589258823,0.9648576865195531,-0.09556149725908848,TRUE,65.75017645594724,16.43754411398681,32.87508822797362,19.375365419746004
OLS,6,3,0.9540703056074451,0.04772992738482137,0.9552634683740627,0.04998601025130552,TRUE,125.69887605733614,31.424719014334034,62.84943802866807,15.144768517174846
OLS,6,4,0.9540703056074451,-0.04772992738482137,0.9552634683740627,-0.04998601025130552,TRUE,125.69887605733614,31.424719014334034,62.84943802866807,15.144768517174846
OLS,6,5,0.7924456502734444,0.18721633592494902,0.8142604405682898,0.231997467887566,TRUE,27.08299088085149,6.7707477202128725,13.541495440425745,3.373389162048032
OLS,6,6,0.7924456502734444,-0.18721633592494902,0.8142604405682898,-0.231997467887566,TRUE,27.08299088085149,6.7707477202128725,13.541495440425745,3.373389162048032
OLS,6,7,0.3245229175951224,0.7265442895279353,0.7957271697573879,1.15071808607287,TRUE,5.460229906199371,1.3650574765498427,2.7301149530996853,3.0334814307188482
OLS,6,8,0.3245229175951224,-0.7265442895279353,0.7957271697573879,-1.15071808607287,TRUE,5.460229906199371,1.3650574765498427,2.7301149530996853,3.0334814307188482
OLS,6,9,-0.11413757674133701,0.7740002831805844,0.7823706441246434,1.7172056653576495,TRUE,3.6589591066082123,0.9147397766520531,1.8294795533041062,2.8242535693862663
OLS,6,10,-0.11413757674133701,-0.7740002831805844,0.7823706441246434,-1.7172056653576495,TRUE,3.6589591066082123,0.9147397766520531,1.8294795533041062,2.8242535693862663
OLS,6,11,-0.5872582372550583,0.5087887761706676,0.7770059562070063,2.4276656987908645,TRUE,2.588159197664251,0.6470397994160627,1.2940795988321254,2.7472343535589094
OLS,6,12,-0.5872582372550583,-0.5087887761706676,0.7770059562070063,-2.4276656987908645,TRUE,2.588159197664251,0.6470397994160627,1.2940795988321254,2.7472343535589094
OLS,6,13,0.5900708497856824,0.4808762766378825,0.761200105885378,0.6837885526587003,TRUE,9.188783992872304,2.297195998218076,4.594391996436152,2.5403126495294894
OLS,6,14,0.5900708497856824,-0.4808762766378825,0.761200105885378,-0.6837885526587003,TRUE,9.188783992872304,2.297195998218076,4.594391996436152,2.5403126495294894
OLS,6,15,-0.34957228668892604,0.6755163336074472,0.760607060571602,2.048337062158677,TRUE,3.067456730269743,0.7668641825674357,1.5337283651348714,2.533077152016282
