penalty,c,r_full,S_c,r_min,r_max
IC2,0.6,14,4.16,14,20
IC2,0.61,14,10.595555555555556,10,20
IC2,0.62,14,3.2622222222222224,10,14
IC2,0.63,11,1.1122222222222222,9,14
IC2,0.64,11,0.9955555555555555,9,11
IC2,0.65,9,0.64,9,11
IC2,0.66,9,0,9,9
IC2,0.67,9,0,9,9
IC2,0.68,9,0,9,9
IC2,0.6900000000000001,9,0.03222222222222222,8,9
IC2,0.7000000000000001,9,0.06222222222222222,8,9
IC2,0.7100000000000001,9,0.9122222222222222,6,9
IC2,0.72,9,1.6233333333333333,6,9
IC2,0.73,9,2.272222222222222,5,9
IC2,0.74,9,2.0455555555555556,5,9
IC2,0.75,7,0.4933333333333333,5,7
IC2,0.76,7,0.528888888888889,5,7
IC2,0.77,7,0.5555555555555556,5,7
IC2,0.78,7,0.5733333333333334,5,7
IC2,0.79,7,0.4488888888888889,5,7
IC2,0.8,6,0.21000000000000002,5,6
IC2,0.81,6,0.09,5,6
IC2,0.8200000000000001,6,0.03222222222222222,5,6
IC2,0.8300000000000001,5,0,5,5
IC2,0.8400000000000001,5,0,5,5
IC2,0.85,5,0,5,5
IC2,0.86,5,0,5,5
IC2,0.87,5,0,5,5
IC2,0.88,5,0,5,5
IC2,0.89,5,0,5,5
IC2,0.9,5,0,5,5
IC2,0.91,5,0,5,5
IC2,0.92,5,0,5,5
IC2,0.93,5,0,5,5
IC2,0.9400000000000001,5,0.11555555555555555,4,5
IC2,0.9500000000000001,5,0.25,4,5
IC2,0.9600000000000001,5,0.20555555555555557,3,5
IC2,0.97,5,0.16555555555555554,3,5
IC2,0.98,5,0.1288888888888889,3,5
IC2,0.99,5,0.1288888888888889,3,5
IC2,1,5,0.1288888888888889,3,5
IC2,1.01,5,0.1288888888888889,3,5
IC2,1.02,5,0.1288888888888889,3,5
IC2,1.03,5,0.26222222222222225,3,5
IC2,1.04,4,0.22222222222222224,3,4
IC2,1.05,4,0.23222222222222225,3,4
IC2,1.06,4,0.24,3,4
IC2,1.07,4,0.24,3,4
IC2,1.08,4,0.24888888888888888,3,4
IC2,1.09,4,0.25,3,4
IC2,1.1,4,0.24,3,4
IC2,1.11,3,0.26222222222222225,2,4
IC2,1.12,3,0.1788888888888889,2,3
IC2,1.1300000000000001,3,0.1788888888888889,2,3
IC2,1.1400000000000001,3,0.1788888888888889,2,3
IC2,1.1500000000000001,3,0.19555555555555557,2,3
