r,q,p,variable,point,lo68,hi68,lo90,hi90,n_obs_1st,xi_mp,f_robust_mp,ar_bounded,bands_valid,impacto_mp_pre,max_companion_root,dim_companion
4,4,3,cambio_usd,0.1539289456664512,0.11485745426402855,0.179637650455468,0.09778196008367256,0.21143606593626085,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,embi_perc,0.2613947957591341,0.20153609107004816,0.3255990457728432,0.16913100249115146,0.3731395624981679,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,cds_5y,32.4683011911703,25.505941536002886,38.84874474386823,21.848116835609073,44.886458684100965,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,asset_ibov,-0.5372468003995693,-2.1458745568723567,0.6334605821273869,-3.201646187045029,1.6069255706644368,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,2,yield_3m,0.003960370992509702,0.003697995200035556,0.0042480833656137074,0.00351726000856345,0.0043935537419031384,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,yield_6m,0.005,0.005,0.005,0.005,0.005,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,yield_1y,0.006173910840535645,0.005812200589448464,0.006589870117857357,0.005583548851261098,0.006865796952843173,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,yield_2y,0.007047934260193651,0.0062487240372749225,0.00801541124288476,0.00581642061781467,0.008602600780281472,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,yield_5y,0.007144380535945401,0.0060314608751348645,0.008500501301306699,0.005439842682468105,0.0094706926186879,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,yield_10y,0.006426024486412297,0.0053602660496346165,0.00784093030867427,0.004798339188184729,0.00876538787432438,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,cambio_usd,0.14562084172757356,0.10822555052504543,0.17778368236153705,0.09088318688005334,0.2145076955770443,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,embi_perc,0.23503106014603645,0.18736424077767586,0.3029720013312417,0.16080482331753226,0.3555857150071459,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,cds_5y,29.75451038298552,23.82707108189095,36.87998762615567,20.657211174600533,43.24513635126702,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
4,4,2,asset_ibov,-0.3419016909541821,-2.132978334926175,0.7130627751423918,-3.2552980672221272,1.6613098340359906,151,6.440920196621258,11.446322949438924,TRUE,FALSE,1.0995296365133875e-4,0.9752765949080751,8
