r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,yield_2y,23,-0.006831238171310948,-0.007065956797087292,0.0030135243111665483,-0.010841371406762942,0.007538801099014584,q=5
5,5,4,yield_2y,24,-0.007437034601380531,-0.007577004046313361,0.0024362880201791617,-0.011487032335614432,0.007031990260661099,q=5
5,5,4,yield_2y,25,-0.007984524538886097,-0.008158863292790138,0.0018847418844988532,-0.011888058201641249,0.006491885565816579,q=5
5,5,4,yield_2y,26,-0.00847356172376193,-0.008686638572952722,0.0013896807180408073,-0.012307634959627212,0.005989008669036988,q=5
5,5,4,yield_2y,27,-0.008904794649064409,-0.009120433728937052,9.461228268882874e-4,-0.013025055457190253,0.005547575638359366,q=5
5,5,4,yield_2y,28,-0.00927835573535035,-0.00944123433624444,5.861712337486074e-4,-0.013346971182980434,0.0049068550426602285,q=5
5,5,4,yield_2y,29,-0.00959505120749871,-0.009665924477732513,2.7398484772793127e-4,-0.013764155768567389,0.004468762761763369,q=5
5,5,4,yield_2y,30,-0.0098563065546299709,-0.009939664303837522,2.378844624495606e-5,-0.014128332772195919,0.004086774600347935,q=5
5,5,4,yield_2y,31,-0.010063528204177535,-0.010101204201501781,-1.2436896785367917e-4,-0.014340675285472344,0.004037086621631056,q=5
5,5,4,yield_2y,32,-0.01021838343703411,-0.010411902677962137,-4.0504749846513404e-4,-0.014505750716327273,0.003798232940163492,q=5
5,5,4,yield_2y,33,-0.010322902948548153,-0.010635660251800525,-6.341163505666949e-4,-0.01424001167288707,0.0035278968794734216,q=5
5,5,4,yield_2y,34,-0.010379228965657942,-0.010760782059368241,-5.871321993684949e-4,-0.01424850677832344,0.0033429850548381585,q=5
5,5,4,yield_2y,35,-0.010389636447863006,-0.010660127195270121,-5.942137803895148e-4,-0.01460646446476271,0.003359333512715366,q=5
5,5,4,yield_2y,36,-0.010356592103745905,-0.010608607725699163,-5.291442307494009e-4,-0.014721220898098143,0.0031271982246012723,q=5
5,5,4,yield_2y,37,-0.010282663142027488,-0.010509926624479107,-5.640818488287624e-4,-0.014838223311857822,0.0029729217680910373,q=5
5,5,4,yield_2y,38,-0.01017048697233366,-0.010424740991046245,-4.380621219115044e-4,-0.014674975703333785,0.002827082261903945,q=5
5,5,4,yield_2y,39,-0.01002278614398692,-0.010251300410732286,-2.866459056472665e-4,-0.014642696168158463,0.002852551858854343,q=5
5,5,4,yield_2y,40,-0.009842332434481517,-0.009961235427483348,-1.3296583084614706e-4,-0.014644906173896823,0.0028773590481033827,q=5
5,5,4,yield_2y,41,-0.009631916874441749,-0.009898452953196784,1.2838597091520857e-4,-0.014456963754896347,0.00283629151833698,q=5
5,5,4,yield_2y,42,-0.009394343907757263,-0.009707952308217067,2.506949781499314e-4,-0.014303364616893135,0.0028484313420867493,q=5
5,5,4,yield_2y,43,-0.009132412435331961,-0.009649403619525264,4.3240391826562764e-4,-0.013731903418930075,0.002986748487323219,q=5
5,5,4,yield_2y,44,-0.008848893857778841,-0.009507447255363718,5.923622748022779e-4,-0.013347465296926292,0.0034572470752817896,q=5
5,5,4,yield_2y,45,-0.008546520303451545,-0.009160569143278067,7.562748520816421e-4,-0.013068701521720854,0.0038407049766699844,q=5
5,5,4,yield_2y,46,-0.00822797138629497,-0.008817189246243199,8.355025590067943e-4,-0.012794592200667346,0.004122325543797388,q=5
5,5,4,yield_2y,47,-0.007895859001979932,-0.00860270075388369,9.187708567614391e-4,-0.012496182153728608,0.004189551760591967,q=5
5,5,4,yield_2y,48,-0.007552716181350338,-0.008262386582070833,0.0010340272380611948,-0.012417049650039461,0.004356515436089543,q=5
5,5,4,yield_5y,0,0.007245719448835893,0.006083959425059225,0.008429408162706056,0.005421058179115905,0.009367309151663455,q=5
5,5,4,yield_5y,1,0.00822831103259061,0.0064959826816987695,0.0096070890670915,0.005519632909100755,0.011141030715955388,q=5
5,5,4,yield_5y,2,0.007482909215120119,0.0055646341223992675,0.00937078998927618,0.004309188361173776,0.010975511019149918,q=5
5,5,4,yield_5y,3,0.00885417882012565,0.006485962560675835,0.010881501239434016,0.004993411653757998,0.012420168707087419,q=5
5,5,4,yield_5y,4,0.008639632713356242,0.00605304339111178,0.011097054456619019,0.004347120387925512,0.01280938935455081,q=5
5,5,4,yield_5y,5,0.007447054495159358,0.004992685259808266,0.010544902280021598,0.0029860426188273274,0.01259750385624325,q=5
5,5,4,yield_5y,6,0.007049758819209954,0.004606938188966726,0.010677197671809639,0.0025811353530552418,0.012758951889117099,q=5
5,5,4,yield_5y,7,0.006365566421165015,0.004076554457926732,0.010537198239978618,0.0019619267761467334,0.01283103429687324,q=5
5,5,4,yield_5y,8,0.005293575544931203,0.003166113213050039,0.010136572219638255,0.0011896237743612358,0.012646202502851391,q=5
5,5,4,yield_5y,9,0.004461153388428039,0.0026108598988132934,0.00977117621147169,4.533931985409656e-4,0.012745697840502865,q=5
5,5,4,yield_5y,10,0.0036493340827909184,0.0020281929171889145,0.009242601108632006,-1.590274017852854e-4,0.012540268899527106,q=5
5,5,4,yield_5y,11,0.00268137787114678,0.001274864482975308,0.008626577779700731,-8.114855606276868e-4,0.012178068758587072,q=5
