window_cell,q,variable,share_in68,share_in90,share_in90_h12,first_out90_h,cor_path,max_abs_dev,max_abs_dev_h,rel_max_abs_dev,sign_flip_h0,ratio_h0,resto_coluna_h0,share_in90_resc,denom_ratio,veredito
pre_p2,3,ind_caminhoes,1,1,1,NA,0.9996537166013572,11.973829633482268,0,0.05747381020088984,FALSE,0.9425261897991102,0.9449027568173036,1,1.0025214864519574,imaterial
pre_p2,3,ind_onibus,1,1,1,NA,0.9996916180330383,9.430805777509619,0,0.04886153829437296,FALSE,0.951138461705627,0.9535367444507534,1,1.0025214864519574,imaterial
pre_p2,3,ind_bens_consumo,1,1,1,NA,0.9999737182299175,0.05139409540193718,2,0.015141980821075826,FALSE,0.9940556394537081,0.9965621372810824,1,1.0025214864519574,imaterial
pre_p2,3,ind_bens_duraveis,1,1,1,NA,0.9999907150440909,0.12102183159839708,2,0.015433232357897833,FALSE,1.0069192422580557,1.0094581754856244,1,1.0025214864519574,imaterial
pre_p2,3,ind_bens_nao_duraveis,1,1,1,NA,0.9999568910260946,0.0339599870292584,2,0.013526569575720737,FALSE,0.9876513239630142,0.9901416733956447,1,1.0025214864519574,imaterial
pre_p2,3,ind_bens_capital,1,1,1,NA,0.9999921630312292,0.07682221510945286,1,0.01503246811773026,FALSE,1.0094928534152094,1.0120382759684436,1,1.0025214864519574,imaterial
pre_p2,3,ind_transformacao,1,1,1,NA,0.9999518806540455,0.03732286835460652,0,0.014685164880706621,FALSE,0.9853148351192934,0.9877992931269592,1,1.0025214864519574,imaterial
pre_p2,3,ind_min_extr,1,1,1,NA,0.9999759853486625,0.01897844843986496,0,0.018361000008472593,FALSE,1.0183610000084726,1.020928783473196,1,1.0025214864519574,imaterial
pre_p2,3,ind_uti_cap_instalada,1,1,1,NA,0.9999623004082137,0.0027989297303697147,19,0.011782297197591194,FALSE,0.9872786471310161,0.9897680568640638,1,1.0025214864519574,imaterial
pre_p2,3,energia_comercial,1,1,1,NA,0.9998966429550336,1.5510136162959753,0,0.03483936065213424,FALSE,1.219085528317556,1.222159435960986,1,1.0025214864519574,imaterial
pre_p2,3,energia_residencial,1,1,1,NA,0.9999974693910442,1.1508046512741146,13,0.012173113180395063,FALSE,1.0094372917511345,1.0119825742063855,1,1.0025214864519574,imaterial
pre_p2,3,energia_industrial,1,1,1,NA,0.9986549585510435,4.683443096991184,0,0.11863176150530573,FALSE,0.5023416555278185,0.5036083032064858,1,1.0025214864519574,imaterial
pre_p2,3,energia_outros,1,1,1,NA,0.9999810141738993,0.4497406268990467,3,0.01112269087597735,FALSE,1.0018827651233528,1.0044089989420608,1,1.0025214864519574,imaterial
pre_p2,3,pib,1,1,1,NA,0.9999174393206784,0.017043724863441412,0,0.037267382868459445,FALSE,0.9627326171315406,0.9651601343824953,1,1.0025214864519574,imaterial
pre_p2,3,ibc_br,1,1,1,NA,0.9999741841128662,0.006673411423210818,0,0.0139514982031852,FALSE,0.9839314839836769,0.9864124538901962,1,1.0025214864519574,imaterial
pre_p2,3,icc,1,1,1,NA,0.9993982402670376,0.14945604173984622,0,0.09940193294100817,FALSE,1.4619252749055673,1.4656114996800158,1,1.0025214864519574,imaterial
pre_p2,3,ics,1,1,1,NA,0.9999651956567673,0.06127008139393664,0,0.033347728970326146,FALSE,1.0491658361238425,1.0518112935654853,1,1.0025214864519574,imaterial
pre_p2,3,trab_employment_southest,1,1,1,NA,0.9999915944941067,251.29370628557626,0,0.01920608580951237,FALSE,1.0192060858095124,1.0217760001466336,1,1.0025214864519574,imaterial
pre_p2,3,trab_employment_south,1,1,1,NA,0.9999768087118348,251.51046889334611,0,0.03433798203122386,FALSE,1.0376742392891352,1.0402907208250478,1,1.0025214864519574,imaterial
pre_p2,3,trab_employment_northeast,1,1,1,NA,0.9999676929348326,156.19624741385906,0,0.02958857540842231,FALSE,1.0295885754084224,1.0321846690524048,1,1.0025214864519574,imaterial
pre_p2,3,trab_employment_north,1,1,1,NA,0.9999752168713261,51.66547299068202,0,0.03204049604465633,FALSE,1.0320404960446563,1.0346427721733042,1,1.0025214864519574,imaterial
pre_p2,3,trab_employment_central_west,1,1,1,NA,0.9999911946973155,44.05821620944971,1,0.018799349487994804,FALSE,1.0143920291002262,1.0169498048585761,1,1.0025214864519574,imaterial
pre_p2,3,trab_min_wage,1,1,1,NA,0.9999648111376418,0.07213692808974503,0,0.01656825769551239,FALSE,0.9834317423044876,0.9859114521191331,1,1.0025214864519574,imaterial
