variant,sample,block,n_series,share_panel,n_effective,share_effective,overweight,shock_share,commonality_mean
add_eua,pre_covid,eua,5,0.04504504504504504,3.695672138401978,0.0648004058278062,0.6951352305530774,0.03230792085126054,0.34539682204233246
add_eua,pre_covid,industria,12,0.10810810810810811,3.8541486597597805,0.0675791541890191,1.599725675845682,0.048796292213467624,0.5371568852344809
add_eua,pre_covid,monetario,7,0.06306306306306306,4.072175642679075,0.07140206824781099,0.8832105933429514,0.056231464287195033,0.4094907918191669
add_eua,pre_covid,politica,2,0.018018018018018018,1.0008012278163507,0.017548181572055968,1.026774081635343,0.045827108599442334,0.547522638608152
add_eua,pre_covid,precos,11,0.0990990990990991,4.597049436018363,0.08060527501048471,1.2294368958633142,0.09601389501692913,0.4917180611145862
add_eua,pre_covid,risco_externo,4,0.036036036036036036,2.6266749486556527,0.04605646720713098,0.7824316153900864,0.05984764713337701,0.4257002512122275
add_eua,pre_covid,trabalho,14,0.12612612612612611,7.018442659772448,0.12306230520467612,1.024896501949596,0.04752714144074355,0.3924031243147264
add_eua,pre_covid,vendas,2,0.018018018018018018,1.7991222178496697,0.03154604777817024,0.5711656225438937,0.006288757390172834,0.5565779990362543
add_credito,full,acoes,8,0.07407407407407407,1.7354065472488096,0.03354215694637874,2.2083873196494364,0.11938133379736002,0.7185774126835689
add_credito,full,atividade_agregada,2,0.018518518518518517,1.8704615034734624,0.03615251619923232,0.5122331850005989,0.013599364649824721,0.4687021296173963
add_credito,full,cambio,5,0.046296296296296294,1.5864590116315722,0.03066328016423795,1.5098285652521564,0.07058806224734504,0.6889542356594869
add_credito,full,combustiveis,6,0.05555555555555555,4.070071782915109,0.07866686151552997,0.706212940052122,0.03289051661872946,0.34818393903143635
add_credito,full,commodities,3,0.027777777777777776,2.474591613023542,0.04782921926497019,0.5807700440162117,0.03654878391042026,0.40707317056661013
add_credito,full,confianca,2,0.018518518518518517,1.9146273425215652,0.03700615911499088,0.5004171997686954,0.009761581183084296,0.36022538479696
add_credito,full,credito,2,0.018518518518518517,1.8401402965343114,0.035566464081606644,0.5206735894810374,0.009556053631088926,0.48259124327571423
add_credito,full,credito_existente,10,0.09259259259259259,5.235249083146598,0.1011875555492601,0.9150590909127821,0.11549877856273735,0.48183413197743047
add_credito,full,curva,6,0.05555555555555555,1.6430490818899979,0.031757060190148255,1.7493922681416878,0.11890718323050287,0.7902451476489734
add_credito,full,energia,4,0.037037037037037035,2.436167308579475,0.047086549455258135,0.7865736068052683,0.017204635334985445,0.28479797684661606
add_credito,full,epu,8,0.07407407407407407,5.617878668643942,0.10858306850812627,0.6821880712325828,0.06864673439220415,0.2659263787898764
add_credito,full,industria,12,0.1111111111111111,3.213024649655,0.06210174626929079,1.7891785301705012,0.07909786389917788,0.5080887360535811
add_credito,full,monetario,7,0.06481481481481481,3.0030012301773605,0.058042387089332535,1.116680723607368,0.04061148678909675,0.5326734242780549
add_credito,full,politica,2,0.018518518518518517,1.000294269319664,0.019333813985705203,0.9578305931882096,0.020410653245250335,0.7269665218239726
add_credito,full,precos,11,0.10185185185185185,4.928642243175725,0.0952614198184481,1.0691825929737766,0.11045501936629439,0.44374624482302494
add_credito,full,risco_externo,4,0.037037037037037035,2.567623721608858,0.049627355610697504,0.7463028521522403,0.04344422131389166,0.4224821121692492
add_credito,full,trabalho,14,0.12962962962962962,5.001918949458962,0.09667772125315373,1.3408428327576138,0.0785554196104048,0.47246110820550635
add_credito,full,vendas,2,0.018518518518518517,1.5994651776379512,0.030914664983632704,0.5990205143197529,0.014842308217603135,0.5965302466707904
add_credito,pre_covid,acoes,8,0.07407407407407407,1.8302237579017453,0.033144213080914,2.2349021801555278,0.11658810740987054,0.711833726862569
add_credito,pre_covid,atividade_agregada,2,0.018518518518518517,1.913649621758761,0.034655003549127726,0.5343678148024495,0.013344052743325946,0.38168474196263247
add_credito,pre_covid,cambio,5,0.046296296296296294,1.547647863479572,0.02802693951486888,1.6518498665091539,0.08115958688317876,0.7372231788872066
add_credito,pre_covid,combustiveis,6,0.05555555555555555,3.9772565786524687,0.0720256411005464,0.7713302472101715,0.04356452916046253,0.41817924418517716
add_credito,pre_covid,commodities,3,0.027777777777777776,2.063854499918693,0.03737512040152451,0.7432157402935011,0.03934254861400479,0.5348017425120821
add_credito,pre_covid,confianca,2,0.018518518518518517,1.9326186206053482,0.034998520311484524,0.529122898731287,0.01390905184598994,0.34913389095485503
add_credito,pre_covid,credito,2,0.018518518518518517,1.8840612706657232,0.034119176927324475,0.5427598255949688,0.010967139556927073,0.44406547771315297
add_credito,pre_covid,credito_existente,10,0.09259259259259259,4.9569441482132035,0.0897671732045062,1.0314749733919946,0.08384875893769639,0.4754986980920588
add_credito,pre_covid,curva,6,0.05555555555555555,1.675929714382259,0.030350043989049218,1.8304934113308333,0.09394657671476211,0.7238077923808838
add_credito,pre_covid,energia,4,0.037037037037037035,2.2211908387068697,0.04022438356710853,0.9207608359055678,0.0171418093681852,0.29182456007807395
