variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,cambio_usd,14,-0.07811211969480189,-0.18348146400710516,0.039862038101731084,-0.26663032188962515,0.13832266081918962
baseline,full,cambio_usd,15,-0.08338718861103903,-0.19185644916887834,0.03602428317828656,-0.28931909474534034,0.13641740580663633
baseline,full,cambio_usd,16,-0.09092404286975395,-0.20400430277305076,0.03108689670580509,-0.2969750160359159,0.11955421389959853
baseline,full,cambio_usd,17,-0.09746150613330803,-0.20410665724080926,0.023285240669794222,-0.3034000138247388,0.10764380543826442
baseline,full,cambio_usd,18,-0.0950255089391821,-0.19850261546533945,0.025877996551396856,-0.29628638019989606,0.11509998069319048
baseline,full,cambio_usd,19,-0.09302551715107231,-0.19522605676871063,0.023918758798840756,-0.29847504021793114,0.11120518061229982
baseline,full,cambio_usd,20,-0.09157777610207671,-0.18837540992642435,0.02384296257036772,-0.3072053779293066,0.1109585721319484
baseline,full,cambio_usd,21,-0.08403696891326781,-0.18347602594789042,0.025334492989864024,-0.29839582297869466,0.11807101549566573
baseline,full,cambio_usd,22,-0.07635680335036443,-0.17715760075739828,0.030751735380784264,-0.28810981127025936,0.13706124193186517
baseline,full,cambio_usd,23,-0.06953079562602489,-0.16937983495512554,0.03277884196163476,-0.288758374039182,0.13459629462415088
baseline,full,cambio_usd,24,-0.060202827144237823,-0.15867970528107184,0.0372055666350633,-0.2745801426000957,0.1377368023655242
