variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,asset_ibov,21,31.118780495856953,-0.05018999070078901,56.44473583419201,-18.452922158779455,90.9608108693902
baseline,full,asset_ibov,22,31.4308217262434,0.057632650038628906,57.0785651168206,-18.72521534537249,93.72899350429407
baseline,full,asset_ibov,23,31.726285220903687,0.030278637299319577,57.819122318840975,-18.950664706874395,93.91348992722774
baseline,full,asset_ibov,24,31.819104884131367,0.2120808501269622,58.87839733727219,-19.668530336840274,95.69454477591894
baseline,full,asset_ibov,25,31.73284955258337,-0.21339284028683342,59.92855962570227,-20.53571819941876,95.79193252161309
baseline,full,asset_ibov,26,31.615222117896106,-0.39631325810659773,59.64445845137957,-22.042867858474075,96.47803432698916
baseline,full,asset_ibov,27,31.34629486294736,-0.25511366968324695,60.98633421807979,-22.37639382739098,97.5252284426354
baseline,full,asset_ibov,28,30.957028723989843,-0.30150062706377356,61.65484385696683,-22.426511854736265,97.20937730258096
baseline,full,asset_ibov,29,30.537865503415283,-1.1776191470128496,62.714039320370304,-24.110255339987855,97.98026108279754
baseline,full,asset_ibov,30,30.015626837082387,-0.8039659560458379,62.31107047914817,-24.216072701211775,97.75270842736215
baseline,full,asset_ibov,31,29.398355608266403,-1.2057763361813776,62.402218337532034,-24.866136456283986,96.755986301568
baseline,full,asset_ibov,32,28.744784005194248,-1.4832137722733367,62.928091262538956,-26.547479526027036,97.23095333122417
baseline,full,asset_ibov,33,28.006648805832178,-1.9019510746317931,62.84839271842168,-27.378282383903564,98.1049274347708
baseline,full,asset_ibov,34,27.202933406935227,-3.0994236023814405,62.96266422144589,-28.298980950967948,99.1110014281743
baseline,full,asset_ibov,35,26.37320003340707,-3.4580943643270783,62.877870415208264,-28.268646162697138,99.57937029531332
baseline,full,asset_ibov,36,25.485545998308716,-4.282802895310711,62.120211765166275,-29.176926976234615,99.65317925540484
baseline,full,asset_ibov,37,24.556972849329824,-4.67742761336957,61.29727502283327,-28.861056267374572,99.28323334110422
baseline,full,asset_ibov,38,23.614680620657012,-4.968444654619735,60.62591115074542,-29.157713136929083,98.94207956554229
baseline,full,asset_ibov,39,22.640893653280976,-5.732943282246738,60.3905407436733,-29.111216592563242,98.47152350803553
baseline,full,asset_ibov,40,21.649972857118893,-7.418774682292134,59.88684243349678,-29.77635250985707,97.64930000245641
baseline,full,asset_ibov,41,20.65846680105366,-8.35386070828997,59.15829849177083,-30.713518326888554,96.75572685330123
baseline,full,asset_ibov,42,19.65658868206222,-9.294957728689727,58.1877370064657,-31.22143695502358,95.46097537905531
baseline,full,asset_ibov,43,18.654501618408446,-9.939283464990911,57.82705154624229,-31.57097004925465,94.84526857490499
baseline,full,asset_ibov,44,17.664526757620667,-11.075740441018104,57.30238960807566,-32.23904204792534,93.88628234735774
baseline,full,asset_ibov,45,16.68261505329743,-11.895509316326605,56.0204653954419,-31.73402767008455,92.97363768846671
baseline,full,asset_ibov,46,15.71718221069668,-12.301847859827706,55.2157162043326,-35.11892106451286,92.69977909931188
baseline,full,asset_ibov,47,14.776735394091252,-12.797931047403765,54.25609139898543,-36.49799425329212,93.32485976479785
baseline,full,asset_ibov,48,13.85893672593281,-12.894883766583787,53.21713067414292,-38.92525851527107,92.48313498079932
baseline,full,cambio_usd,0,0.22809963006025752,0.15734454690620134,0.3645805198098322,0.11596283328039496,0.535004763293555
baseline,full,cambio_usd,1,0.28617721007182007,0.1915776701452731,0.44731772049256835,0.13591955343062537,0.6172724454875314
baseline,full,cambio_usd,2,0.24500583397425404,0.13704396724950182,0.3993243873055266,0.07294389167478327,0.5711723503567813
baseline,full,cambio_usd,3,0.2150491224486563,0.09992313618219914,0.35931503847385277,0.04088495441922789,0.5107256929343167
baseline,full,cambio_usd,4,0.1844842776658242,0.060019740493324425,0.3184998130303293,0.004155623342433502,0.47306943636779386
baseline,full,cambio_usd,5,0.11083752042237721,-0.00655226304576982,0.23797309656830237,-0.08818880342408628,0.3734124107562743
baseline,full,cambio_usd,6,0.10481860607465443,-0.018568205801747905,0.2330377738801908,-0.09246060855557664,0.3736088113976404
baseline,full,cambio_usd,7,0.09664910715759632,-0.02712224375076048,0.2172370679565394,-0.10629910185365243,0.36595915855209077
baseline,full,cambio_usd,8,0.04983723435934849,-0.07354487460540371,0.16928080253241307,-0.15338394639798367,0.29082610904073763
baseline,full,cambio_usd,9,0.02846438120948359,-0.09306293789795217,0.14121732915353272,-0.17082498644384606,0.2512063818567282
baseline,full,cambio_usd,10,0.005277595454226635,-0.11408081586180054,0.11970591234921879,-0.1919584002420391,0.21793851906010026
baseline,full,cambio_usd,11,-0.021029774087749028,-0.14045659318440562,0.09280292254845324,-0.214044219293579,0.1849819788680389
baseline,full,cambio_usd,12,-0.03021746211244487,-0.14701832837288015,0.08427186481953358,-0.2245575475965647,0.19120421613237806
baseline,full,cambio_usd,13,-0.05751555285308722,-0.16710116714493067,0.0599282043230454,-0.2469913128946993,0.16062842238183536
