tag,instrument,r,q,sample,var,h,point,lo90,hi90,sig90
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,4,0.09335961315500396,-3.75256729597267e-4,0.19376494521641363,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,5,0.1094213537004464,0.0026152728504992956,0.20593942208502722,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,6,0.08617298387993247,-0.0265294139352801,0.1719216671415101,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,7,0.08773721612431358,-0.019446621091858764,0.1805424873926147,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,8,0.08519269709111592,-0.03292118031217074,0.18384782920162665,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,9,0.06279598580022619,-0.04729159515575204,0.16082316950825687,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,10,0.06369555356188894,-0.04252457541607525,0.16347202181159604,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,11,0.05873948470734901,-0.04414915669306029,0.16394855406086933,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,12,0.05061830782210258,-0.05283133394831481,0.16147900051828065,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,13,0.049975926375794184,-0.049758416366306714,0.16515588484722096,FALSE
