sample,r,q,p,instrument,mp_var,n_obs_align,wald_mp,f_robust_mp,fs_beta,fs_se,fs_p,impact_mp_pre,sign_mp,score_hard,n_hard_avail,score_ext,n_ext_avail,fx_channel,risk_channel,yield_ordering_ok,magnitude_flag,h0_yield6m,h0_yield2y,h0_yield5y,h0_ibov,h0_cambio,dfm_max_eig,failure_class,err_msg,denom_ratio
full,6,5,6,z_bruto,juros_selic,147,1.0388570006144,0.8216461363365858,-3.73056254922015e-4,4.115588238018729e-4,0.3666987694651819,-2.405045478207765e-4,-1,0,4,0,3,apreciacao,standard,FALSE,TRUE,-0.052411143019945525,-0.12484045126618887,-0.1521785639683834,34.881718394389836,-3.721661404985214,0.9736805284239931,negative_control,NA,0.6964665411511772
full,6,5,6,z_bruto_purif,yield_3m,147,2.345542317134468,1.9179989750123092,1.936043257172631e-5,1.397947530333984e-5,0.16890551238513066,1.2733242825108809e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009631236329962281,0.024141270481772163,0.03039303522265608,-10.951295608136176,0.7404898072555993,0.9736805284239931,weak_xi_mp_severe,NA,0.5491833657074565
full,6,5,6,z_bruto_purif,yield_6m,147,3.0636938261301276,2.571401803975164,3.729298030966673e-5,2.325638025313173e-5,0.11170511175635614,2.45273741790839e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.012532799349274565,0.015778366443000114,-5.685301052195791,0.3844209517276477,0.9736805284239931,weak_xi_mp_severe,NA,0.6007452382796797
full,6,5,6,z_bruto_purif,yield_1y,147,3.6904927419654623,3.1294775631833023,6.344802257620278e-5,3.586593609140208e-5,0.07968537012913865,4.172939190509027e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0029388607237399,0.007366430353219198,0.009274084284821732,-3.341661592987067,0.22595192728301913,0.9736805284239931,weak_xi_mp_severe,NA,0.5896310526595564
full,6,5,6,z_bruto_purif,yield_2y,147,4.262962403700567,3.6197034534373063,9.347708787132245e-5,4.9132479103826615e-5,0.05973786324345632,6.147933183020729e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.001994765838283933,0.005,0.006294829272884439,-2.2681688638559723,0.15336595640538167,0.9736805284239931,weak_xi_mp,NA,0.6153948344970434
full,6,5,6,z_bruto_purif,juros_selic,147,1.193646958811155,0.948392233765967,-3.9435865614325803e-4,4.0494625184686194e-4,0.33228514423291977,-2.593673726219595e-4,-1,0,4,0,3,apreciacao,standard,FALSE,TRUE,-0.047283075606494536,-0.11851785983855494,-0.14920993869427013,53.763703899331304,-3.63532098505179,0.9736805284239931,negative_control,NA,0.7510905657887922
full,6,5,6,z_jk,yield_3m,147,3.8220203233966306,3.950700268891747,3.6271972998968375e-5,1.824879273126105e-5,0.0493596345239631,2.3267461573682544e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009691785386305236,0.024566412727643462,0.0306355681646968,-22.93661482759621,0.6255105763256651,0.9736805284239931,weak_xi_mp_severe,NA,1.003523064313721
full,6,5,6,z_jk,yield_6m,147,4.963137217218353,5.642010572920629,7.030803556872835e-5,2.959974815381745e-5,0.01928183231419313,4.510064881124702e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.012673832399526968,0.01580491464863931,-11.833018331176774,0.3227014174341546,0.9736805284239931,weak_xi_mp,NA,1.1046433188835019
full,6,5,6,z_jk,yield_1y,147,6.014973232296039,7.411560508079337,1.2026952175461408e-4,4.41774612640384e-5,0.007547501179014229,7.714955224500663e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0029229365238581852,0.007408961523566919,0.009239352456593818,-6.917432293536005,0.1886471518638194,0.9736805284239931,weak_xi_mp,NA,1.0901134578212661
full,6,5,6,z_jk,yield_2y,147,7.208003343677162,9.669017634752056,1.7821445182747794e-4,5.731281539036393e-5,0.002391432415601374,1.14319612828734e-4,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.001972568297568231,0.005,0.0062352547163355265,-4.668287364924608,0.12731011712218906,0.9736805284239931,weak_xi_mp,NA,1.1443146358649623
full,6,5,6,z_jk,juros_selic,147,1.7785623219644378,1.4542313802338032,-6.567235153722709e-4,5.445851711205797e-4,0.2304613373455946,-4.212698647257687e-4,-1,0,4,0,3,apreciacao,standard,FALSE,TRUE,-0.05352940310673053,-0.13568453668428418,-0.16920552945889675,126.68288164377866,-3.454802851389236,0.9736805284239931,negative_control,NA,1.2199368711955576
full,6,5,6,z_jk_purif,yield_3m,147,3.5627871212447326,3.5389218470780577,3.4886358338698596e-5,1.854471449105999e-5,0.062612699882423,2.285066278851815e-5,1,4,4,2,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009821141922411259,0.025729283826993514,0.03274288075263931,-27.199881718490936,0.6562497986063877,0.9736805284239931,weak_xi_mp_severe,NA,0.9855465784488638
