instrument,r,q,sample,cfg,var,esign,f_factor,wald_mp,h0,h6,h12,h24,peak_h,peak_val,sign_h0,sign_ok_h0,share_sign_ok,n_sig90
z_jk,7,6,full,r7q6·full,spread_icc_fisica,1,8.407040573489137,5.332252738925228,0.009781906106711114,-0.036830322630497514,0.048097853724689686,0.05327365647154231,21,0.05895497022054817,1,TRUE,0.6585365853658537,0
z_jk,7,6,full,r7q6·full,credit_outstanding,-1,8.407040573489137,5.332252738925228,0.3053984875099891,0.2646475872335685,-0.23404320941839973,-0.9550906541366477,27,-0.9737254156376385,1,FALSE,0.7560975609756098,2
z_jk,7,6,full,r7q6·full,credito_pessoa_fisica,-1,8.407040573489137,5.332252738925228,-0.0276203599011704,-0.06386016624001511,-0.2719043963199108,-0.6069047557321294,34,-0.6629413107683946,-1,TRUE,1,0
z_jk,7,6,full,r7q6·full,price_ipca,-1,8.407040573489137,5.332252738925228,-0.009507655319286582,0.1626300608164733,-0.014752065935178556,-0.02386208626332823,5,0.22605273442178433,-1,TRUE,0.5609756097560976,3
z_jk,7,6,full,r7q6·full,price_core_ipca_ex0,-1,8.407040573489137,5.332252738925228,0.034550859815155203,0.10485166829945428,0.054024616427409654,0.04162072232601596,7,0.127640010714988,1,FALSE,0,1
z_jk,7,6,full,r7q6·full,cds_5y,-1,8.407040573489137,5.332252738925228,5205.559677855444,3203.802231225748,637.5319515944509,-1644.8724657890605,1,5673.663062956069,1,FALSE,0.6585365853658537,8
z_jk,7,6,pre_covid,r7q6·pre_covid,asset_ibov,-1,10.445599798577826,6.445181856962402,-0.1006407741230653,-0.06433974329749652,3.9530550981467044e-4,0.015364837976069136,2,0.2080412518980274,-1,TRUE,0.1951219512195122,0
z_jk,7,6,pre_covid,r7q6·pre_covid,cambio_usd,-1,10.445599798577826,6.445181856962402,0.13595478082222803,0.09378238403955302,0.09562030188516334,0.07180088997216548,7,0.25685478731784245,1,FALSE,0.2926829268292683,0
z_jk,7,6,pre_covid,r7q6·pre_covid,yield_6m,1,10.445599798577826,6.445181856962402,0.005,-0.005727352464132,-9.524977145442508e-4,6.801299472719599e-4,5,-0.008468247332260304,1,TRUE,0.4878048780487805,1
z_jk,7,6,pre_covid,r7q6·pre_covid,yield_5y,1,10.445599798577826,6.445181856962402,0.009591503157647271,0.0011562976425322272,0.004021943397798117,0.0036547625307702825,0,0.009591503157647271,1,TRUE,0.6829268292682927,0
