sample,r,q,p,instrument,mp_var,response_var,theory_sign,tier,score_h,h0,h6,h12,h24,peak_h,peak_val,sign_at_score_h,consistent,mechanical
pre_covid,5,4,6,z_jk_purif,juros_selic,pib,-1,ext,24,0.13258332604892953,0.188562272431958,-0.001302743275921614,-0.519300753936669,24,-0.519300753936669,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,vendas_varejo,-1,ext,24,-1.7339514914278897,-2.137033413400461,-2.412160989002145,-1.9030030238855742,14,-2.460727289178982,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,cambio_usd,-1,soft,0,0.18402459899050935,-0.11648546439938054,-0.08773753677287854,-0.1272931980123855,1,0.19892427690183176,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,cds_5y,-1,soft,0,7978.2685186305325,444.6938602747033,1265.0342608564035,-1407.328196522706,0,7978.2685186305325,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,embi_perc,-1,soft,0,0.7666140877698974,0.12266607607997662,0.19127197578312902,-0.11122590655482952,0,0.7666140877698974,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,yield_6m,1,hard,0,0.004004565238108881,-0.0025365525199609424,0.003124621825779239,0.006140354817063204,19,0.007513987624112067,1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_3m,yield_2y,1,hard,0,-0.0035288081081000467,-0.009171226266843963,0.0030365637430398453,0.005259873013406053,7,-0.00937851320430083,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,yield_5y,1,hard,0,-0.009374432565738515,-0.013420692001718415,0.002212147315829332,0.0038940892974502097,4,-0.014280741970665598,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,asset_ibov,-1,hard,0,0.004688788046272283,0.060386573568381764,-0.0031753122736309382,-0.03486863858073162,7,0.07299286871955334,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,price_ipca,-1,ext,24,-1.200686052375952,-0.07709490514339025,-0.053884561794877,0.04092917125322928,0,-1.200686052375952,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,pib,-1,ext,24,1.038162531024689,0.31779832314222656,0.1927498058763577,0.057881657597946834,0,1.038162531024689,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_3m,vendas_varejo,-1,ext,24,-0.663393252174646,-0.6506479743097183,-0.351336107754326,-1.8633759796003342,24,-1.8633759796003342,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_3m,cambio_usd,-1,soft,0,-0.32718186848795433,-0.2702491070458161,0.006093361740837964,-0.015698626215935332,0,-0.32718186848795433,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_3m,cds_5y,-1,soft,0,-4921.74582125517,-5619.659185455306,1028.651783914413,2379.0755708391885,7,-6258.4227848857,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_3m,embi_perc,-1,soft,0,-0.37115111392723454,-0.4339760993387206,0.11896478189447737,0.2778475927124741,7,-0.510730372771654,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_6m,yield_6m,1,hard,0,0.005,-0.003167076035897977,0.0039013246632171395,0.0076666934510510425,19,0.009381777018646446,1,TRUE,TRUE
pre_covid,5,4,6,z_het,yield_6m,yield_2y,1,hard,0,-0.004405981546409384,-0.011450963739543159,0.003791377543488134,0.006567345892322108,7,-0.01170977702529544,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_6m,yield_5y,1,hard,0,-0.011704682042045472,-0.0167567403747132,0.0027620318115656396,0.004862062503555514,4,-0.017830577255634302,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_6m,asset_ibov,-1,hard,0,0.005854303485497116,0.07539716545721549,-0.003964615488609757,-0.043536110048737794,7,0.09113707029283351,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_6m,price_ipca,-1,ext,24,-1.4991465752009634,-0.09625877037752742,-0.067278916175584,0.051103139566478516,0,-1.4991465752009634,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_6m,pib,-1,ext,24,1.2978919673376277,0.39695164091022583,0.24072021309995417,0.0722747883221242,0,1.2978919673376277,1,FALSE,FALSE
