tag,instrument,r,q,sample,var,theory_sign,h0,share_correct,verdict
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,price_ipca,-1,0.0990424425413025,0.4594594594594595,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,price_core_ipca_ex0,-1,0.13605727070093193,0.35135135135135137,incoerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,asset_ibov,-1,-0.09154376651323935,0.2857142857142857,incoerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,cambio_usd,-1,0.24000406993904566,0,soft_depreciacao_fiscal_dom
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,embi_perc,-1,0.4615014533657227,0,soft_risco_abre_fiscal_dom
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,credit_outstanding,-1,0.38140888682824947,0.8064516129032258,coerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,credito_pessoa_fisica,-1,5.770198705068452e-4,0.8387096774193549,coerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,spread_icc_juridica,1,-0.010828060782017456,0.15384615384615385,incoerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,spread_icc_fisica,1,0.03956958149566075,0.5384615384615384,parcial
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,ibc_br,-1,-1.0458627559435418,1,coerente_forte
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,trab_tx_desemprego,1,-0.019256215673958604,1,coerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,price_ipca,-1,0.019987072169117322,0.2702702702702703,incoerente
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,price_core_ipca_ex0,-1,0.042460175854034395,0,incoerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,asset_ibov,-1,0.013716114909333893,0.2857142857142857,incoerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,cambio_usd,-1,-0.022139656434970973,1,soft_apreciacao_standard
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,embi_perc,-1,0.16105710008660812,0.8571428571428571,soft_risco_abre_fiscal_dom
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,credit_outstanding,-1,-0.17081164257563008,0.6451612903225806,parcial
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,credito_pessoa_fisica,-1,0.06019744411980277,0.41935483870967744,incoerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,spread_icc_juridica,1,0.03480750449162399,0.46153846153846156,incoerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,spread_icc_fisica,1,0.1293993455734104,0.46153846153846156,incoerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,ibc_br,-1,-0.9580288510231555,0.7272727272727273,parcial
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,trab_tx_desemprego,1,0.04800285058929887,0.8387096774193549,coerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,price_ipca,-1,-0.06105612748288139,0.8648648648648649,coerente
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,price_core_ipca_ex0,-1,-0.021590616155981398,0.7297297297297297,parcial
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,asset_ibov,-1,-0.007205560494523014,0.14285714285714285,incoerente
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,cambio_usd,-1,0.19040864317271747,0,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,embi_perc,-1,0.24363259640682125,0,soft_risco_abre_fiscal_dom
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,credit_outstanding,-1,0.2684150684408193,0.8709677419354839,coerente_forte
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,credito_pessoa_fisica,-1,0.06326690355642484,0.8709677419354839,coerente
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,spread_icc_juridica,1,-0.022387810155049065,0.5384615384615384,parcial
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,spread_icc_fisica,1,-0.002289400135121152,0.7692307692307693,parcial
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,ibc_br,-1,-0.5672587136455018,1,coerente_forte
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,trab_tx_desemprego,1,-0.02370823743600313,0.7741935483870968,parcial
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,price_ipca,-1,0.07371271096381038,0.5405405405405406,parcial
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,price_core_ipca_ex0,-1,0.08350523883304256,0,incoerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,asset_ibov,-1,-0.11748266166804189,0.42857142857142855,incoerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,cambio_usd,-1,0.08178666408681673,0.5714285714285714,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,embi_perc,-1,0.38435022894669857,0,soft_risco_abre_fiscal_dom
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,credit_outstanding,-1,0.11668804615525552,1,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,credito_pessoa_fisica,-1,0.1817431493947419,0.9032258064516129,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,spread_icc_juridica,1,-0.03437786267399746,0.8461538461538461,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,spread_icc_fisica,1,0.0034628393640213236,1,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,ibc_br,-1,-0.3505949586818652,1,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,trab_tx_desemprego,1,0.04018333286704448,1,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,price_ipca,-1,-0.26246400242034557,1,coerente
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,price_core_ipca_ex0,-1,-0.11413970264014422,0.8108108108108109,coerente
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,asset_ibov,-1,-0.018968274837526097,0.2857142857142857,incoerente
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,cambio_usd,-1,0.1446671534024614,0,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,embi_perc,-1,0.19944190347320256,0,soft_risco_abre_fiscal_dom
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,credit_outstanding,-1,-0.0344667406382948,1,coerente_forte
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,credito_pessoa_fisica,-1,-0.05945591726101984,0.9354838709677419,coerente_forte
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,spread_icc_juridica,1,-0.018363591133768238,0.6923076923076923,parcial
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,spread_icc_fisica,1,-0.023729080100391237,0.6923076923076923,parcial
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,ibc_br,-1,-0.48532322077005985,1,coerente_forte
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,trab_tx_desemprego,1,-0.01138156397405519,0.8064516129032258,coerente_forte
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,price_ipca,-1,-0.10167006763945129,0.5135135135135135,parcial
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,price_core_ipca_ex0,-1,0.008457943266351249,0,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,asset_ibov,-1,-0.03913652807477129,0.2857142857142857,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,cambio_usd,-1,0.1616487115043125,0.42857142857142855,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,embi_perc,-1,0.41224562960481353,0.5714285714285714,soft_risco_abre_fiscal_dom
