var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
price_core_ipca_ex0,10,-0.03315309301958116,-0.07050221217909808,0.005085610814712518,-0.10875464182433495,0.030243463563430044,-1,FALSE,FALSE
price_core_ipca_ex0,11,-0.03245744633521929,-0.07124401801996832,0.0019344120138976137,-0.10739885914538182,0.02675320344744757,-1,FALSE,FALSE
price_core_ipca_ex0,12,-0.04386773621144771,-0.08151821613480387,-0.008315346365883934,-0.11774988681196127,0.01469963300761289,-1,TRUE,FALSE
price_core_ipca_ex0,13,-0.04019968774530814,-0.07609743900191761,-0.006486509975634922,-0.1216053508490736,0.019280188090980473,-1,TRUE,FALSE
price_core_ipca_ex0,14,-0.03697459904251205,-0.07690956220611861,-0.0047259794536799165,-0.11622665712371173,0.016676979323309152,-1,TRUE,FALSE
price_core_ipca_ex0,15,-0.040237992214581346,-0.07910592474940702,-0.00878540409524034,-0.1230073141815544,0.009534041515846454,-1,TRUE,FALSE
price_core_ipca_ex0,16,-0.03868524292075846,-0.07908571640795027,-0.005796604615340733,-0.12803765136627523,0.014105326581309849,-1,TRUE,FALSE
price_core_ipca_ex0,17,-0.03753251347104225,-0.0803322376019852,-0.006141576865910034,-0.127140273214475,0.014061435147410576,-1,TRUE,FALSE
price_core_ipca_ex0,18,-0.03880345411179496,-0.08322273980763238,-0.006531569168766558,-0.13221644628814055,0.015977193811111307,-1,TRUE,FALSE
price_core_ipca_ex0,19,-0.03834549480053319,-0.08662696607533672,-0.008141656533039313,-0.13881599585429072,0.016972969985946565,-1,TRUE,FALSE
price_core_ipca_ex0,20,-0.03753463805945078,-0.0873180597975701,-0.005166590695358803,-0.13575722381173863,0.019669965955946292,-1,TRUE,FALSE
price_core_ipca_ex0,21,-0.03681391228667197,-0.08709006210358954,-0.0030046698169304527,-0.1363943916721887,0.021776462738917347,-1,TRUE,FALSE
price_core_ipca_ex0,22,-0.035414161559865154,-0.08881564249986765,-9.659416438163502e-4,-0.13795227106493244,0.025453464322971398,-1,TRUE,FALSE
price_core_ipca_ex0,23,-0.03376485647791125,-0.08938369423807956,1.9840410866708284e-5,-0.13627172847981506,0.029480510774321858,-1,FALSE,FALSE
price_core_ipca_ex0,24,-0.031660351922944543,-0.0892113999966606,0.002156022187230501,-0.13644847399711646,0.032626952064237595,-1,FALSE,FALSE
