tag,instrument,r,q,sample,f_factor,wald_mp,dfm_max_eig,mp_impact,curve_slope,argmax_mat,curve_ok,nucleo_share,nucleo_h0,nucleo_puzzle,cambio_h0,fx_wrong_sig,cds_h0,cds_wrong_sig,n_contam,clean
z_bruto_r7q6_full,z_bruto,7,6,full,4.186266226912522,6.934281920579811,0.9803559968450436,0.005,0.007410128235206637,yield_5y,FALSE,0,0.03232312632120996,TRUE,0.19347659034128506,TRUE,3786.6289624252513,TRUE,3,FALSE
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,5.972613632871797,10.749761770000548,0.9964816815029509,0.005,-4.4769102376137097e-4,yield_1y,FALSE,0.8648648648648649,0.014894823396012705,FALSE,0.013872516925081577,FALSE,1593.5177665357464,FALSE,1,FALSE
z_bruto_r8q8_full,z_bruto,8,8,full,3.7825870310557193,10.012317327952148,0.9800073730917406,0.005,0.00515051529023006,yield_5y,FALSE,0.3783783783783784,0.030805219503993723,TRUE,0.14800709710683213,TRUE,3194.239802475044,TRUE,3,FALSE
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,5.779637901873906,7.587179415197819,1.0005636406944047,0.005,-0.005805013681003214,yield_1y,FALSE,0.8378378378378378,-0.0423068759427919,FALSE,-0.053057278533462704,FALSE,-481.3828523961767,FALSE,1,FALSE
z_jk_r6q5_full,z_jk,6,5,full,8.270692938202027,5.473533304545747,0.9801840973162619,0.005,0.008684400095154591,yield_5y,FALSE,0,0.06136605195617545,TRUE,0.2335806167715691,TRUE,5112.242889628663,TRUE,3,FALSE
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,15.17164547988407,12.718135399213438,0.9894543448006934,0.005,0.004623804082615064,yield_5y,FALSE,0.8918918918918919,-0.05894971627196695,FALSE,0.07044080233602791,FALSE,4149.427558355613,TRUE,1,FALSE
z_jk_r7q6_full,z_jk,7,6,full,8.407040573489137,5.332252738925228,0.9803559968450436,0.005,0.009155774541576968,yield_5y,FALSE,0,0.034550859815155203,TRUE,0.2361600975574682,TRUE,5205.559677855444,TRUE,3,FALSE
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,10.445599798577826,6.445181856962402,0.9964816815029509,0.005,0.007427747426408603,yield_2y,FALSE,0.35135135135135137,0.13784152370467712,TRUE,0.13595478082222803,FALSE,4570.752710943071,FALSE,2,FALSE
z_jk_r8q8_full,z_jk,8,8,full,10.249984438713552,5.746070269025472,0.9800073730917406,0.005,0.0084416736966701,yield_5y,FALSE,0,0.03987743136969791,TRUE,0.2255960332256183,TRUE,5101.936504007145,TRUE,3,FALSE
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,7.98691501286772,4.7830949157001355,1.0005636406944047,0.005,-0.003949709250191492,yield_1y,FALSE,0.7027027027027027,-0.03730635440928673,FALSE,-0.02656593648867907,FALSE,93.35884825640383,FALSE,1,FALSE
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,2.367697540266038,4.247287198325289,0.9801840973162619,0.005,0.005330361034607777,yield_5y,FALSE,0,0.07830765846437529,TRUE,0.2214866440196324,TRUE,3394.6195500919544,TRUE,3,FALSE
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,11.127487075461756,9.272396430663564,0.9894543448006934,0.005,0.00272356660890646,yield_5y,FALSE,0.8108108108108109,-0.1287412196803588,FALSE,0.055693226011253795,FALSE,3283.5821654802103,FALSE,1,FALSE
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,2.7415999056222926,4.592176717949085,0.9803559968450436,0.005,0.006439729120538572,yield_5y,FALSE,0,0.011995462575449197,TRUE,0.1668584916301534,TRUE,2942.4832177139347,TRUE,3,FALSE
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,3.946965358266871,8.161888739992817,0.9964816815029509,0.005,0.0022815199658854824,yield_2y,FALSE,0.8378378378378378,0.015334282466437548,FALSE,0.0899284861561832,FALSE,2610.948111360184,FALSE,1,FALSE
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,4.056864662104079,7.247293669666219,0.9800073730917406,0.005,0.0025281409882880767,yield_2y,FALSE,0.6216216216216216,0.028218805791856868,FALSE,0.08903559639332252,TRUE,1862.329853184321,TRUE,2,FALSE
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,2.650464924866153,6.898473047564015,1.0005636406944047,0.005,-0.003516469720091954,yield_1y,FALSE,0.7837837837837838,-0.06924160583351338,FALSE,1.645360265549263e-4,FALSE,313.70531014363536,FALSE,1,FALSE
