tag,r,q,sample,mp_var,f_factor,wald_mp,dfm_max_eig,mp_impact,var,theory_sign,h0,sig90_h0,h_first_signflip,extreme_h,extreme_val,n_reversals,share_correct,verdict
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,price_core_ipca_dw,-1,-7.568821789297964e-4,FALSE,1,21,-0.03288304886611808,10,0.5405405405405406,parcial
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,pib,-1,0.2755351610282508,FALSE,12,29,-0.30390801643240817,7,0.5909090909090909,parcial
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,ibc_br,-1,-0.4161101469976402,FALSE,NA,0,-0.4161101469976402,12,1,coerente
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,cambio_usd,-1,0.12004472417067609,TRUE,11,19,-0.06595018605184758,3,0,soft_depreciacao_fiscal_dom
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,cds_5y,-1,2589.893883818414,TRUE,13,21,-1283.9875135241496,6,0,soft_risco_abre_fiscal_dom
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,embi_perc,-1,0.18503395569948097,TRUE,12,21,-0.10358946173884183,6,0,soft_risco_abre_fiscal_dom
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_3m,1,0.0034274848816380366,FALSE,34,20,0.016262301899616777,10,1,coerente_forte
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_6m,NA,0.005,TRUE,32,18,0.016306398790819517,10,NA,NA
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_1y,1,0.006279141824603073,FALSE,3,40,-0.018246938197687548,8,0.7142857142857143,parcial
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_2y,1,0.005825363995811861,FALSE,1,40,-0.01966776657029123,10,0.14285714285714285,incoerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_5y,1,0.0013306302980548132,FALSE,1,40,-0.01703876976158462,12,0.14285714285714285,incoerente
