group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,h48,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,contain0_share,channel,verdict
fiscal,fiscal_dbgg,ambiguous,NA,0,48,-0.1678859352603304,-0.37850587252522644,-0.4476477126783273,-0.2956136763559113,0.27598261826013126,0.5890554773710129,0.5988397481243607,42,0.6243610548427582,NA,NA,NA,NA,NA,NA,NA,ambigua
fiscal,fiscal_dlsp,ambiguous,NA,0,48,-0.6686803606379208,-0.7880994518163094,-0.630786633859912,-0.2135728573595579,0.4045290021870672,0.659519964761607,0.6318379405127863,3,-0.7880994518163094,NA,NA,NA,NA,NA,NA,NA,ambigua
fiscal,fiscal_primary_balance,ambiguous,NA,0,48,-1472.877256754162,-2626.5148479054233,-807.3428033132153,2364.9308210735726,4557.299292747133,4169.676256289166,2698.9542949703923,27,4628.782605819914,NA,NA,NA,NA,NA,NA,NA,ambigua
expectativas,expect_focus_ipca12m,ambiguous,NA,0,48,0.0928796996198302,0.18176502451257925,0.1516969006996796,-0.009191237223475486,-0.26655697299956194,-0.34771050899555245,-0.3004107932816444,37,-0.3477448798550705,NA,NA,NA,NA,NA,NA,NA,ambigua
expectativas,expect_focus_selic_ny,ambiguous,NA,0,48,0.4479295596740771,0.6438433706954437,0.5554271125840736,0.20034987593115883,-0.43141572429500125,-0.7031719421821936,-0.664876291192237,40,-0.7179182100591757,NA,NA,NA,NA,NA,NA,NA,ambigua
expectativas,expect_focus_pib_ny,ambiguous,NA,0,48,-0.17916503895056227,-0.26547772574641537,-0.23216124015607295,-0.09490130427973437,0.1588428170271828,0.2742589772074663,0.2644033112391749,41,0.2822285507161592,NA,NA,NA,NA,NA,NA,NA,ambigua
expectativas,expect_focus_cambio_ny,ambiguous,NA,0,48,0.07400369874089878,0.1070024463562473,0.07478064977410714,-0.003204126917814074,-0.08901379338330327,-0.11393122596031471,-0.1009310749217201,37,-0.11404129124768954,NA,NA,NA,NA,NA,NA,NA,ambigua
placebo_externas,sp500_vix,placebo,0,0,24,0.395747841456391,-0.5576153719188627,-0.8573463050707134,-0.40761431827005273,1.0773196755082952,1.8572150667441643,1.84977426239198,42,1.9357545824593034,NA,NA,NA,NA,NA,1,NA,placebo_ok
placebo_externas,msci,placebo,0,0,24,0.6108126260142954,1.6185849377982657,1.8869190530042181,0.9321931738363379,-1.3867650320581504,-2.667686660597208,-2.879471037961936,45,-2.914240819585544,NA,NA,NA,NA,NA,1,NA,placebo_ok
placebo_externas,epu_us,placebo,0,0,24,7.222129213128892,9.07909251819481,4.385140978031615,0.9289019609270528,3.6355596615782773,4.49570385731537,3.160496661733778,1,9.591638811718163,NA,NA,NA,NA,NA,1,NA,placebo_ok
