tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,5,0.005938159029773794,0.001036449777696951,0.006408343951912679,-0.0020145081671568543,0.00840001828923682,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,6,0.005725572462235369,9.040813209598294e-4,0.006750319968994552,-0.002246491465701179,0.008787210492797593,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,7,0.004999739410987468,-1.0364671560319808e-4,0.006264509535348609,-0.003642639461433915,0.008446828173400811,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,8,0.004161079405484858,-0.0011754174891873317,0.005796661235561361,-0.004778999157065933,0.008334027808072953,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,9,0.003248383684001961,-0.001998422840920106,0.005371842329642526,-0.005739100686532123,0.008063285317362182,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,10,0.002489580976903347,-0.0028094436513019156,0.005112460466782411,-0.00650874853332317,0.007734257276279822,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,11,0.0017010434858264823,-0.003338950286699985,0.0048445947989616284,-0.00722230923530315,0.00756127532841664,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,12,9.453174445240675e-4,-0.00369993814041962,0.004700164273093044,-0.008054758192989215,0.007688332782726611,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,13,2.637831472386962e-4,-0.00403194638592225,0.004465057664642214,-0.008681700161198357,0.007701262887686469,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,14,-4.504007516859162e-4,-0.004459626594129854,0.004194976078197532,-0.009618622658706683,0.007650968866345514,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,15,-0.0010347741225547938,-0.005190886421932327,0.004247068157763184,-0.010650831817614911,0.007545643447218995,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,16,-0.0014823976184070444,-0.005748275866385504,0.004478056433357449,-0.0110048336947694,0.007692214048687158,-1,FALSE,FALSE
