var,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90,sign,sig68,sig90
yield_6m,44,-0.008347829874563142,-0.0156748771830999,-0.0029862511120800814,-0.025794404751530695,9.675421600859477e-4,interval,interval,-1,TRUE,FALSE
yield_6m,45,-0.00813920577689952,-0.01544617454761295,-0.002798542193518728,-0.025547711480838977,0.0011346358744370338,interval,interval,-1,TRUE,FALSE
yield_6m,46,-0.00791058462561733,-0.015189985028847506,-0.0025914343554687518,-0.02525554596986035,0.0013247626086613207,interval,interval,-1,TRUE,FALSE
yield_6m,47,-0.007664269885828958,-0.014909193481245999,-0.00236670685538906,-0.024921435403761707,0.0015366060553748356,interval,interval,-1,TRUE,FALSE
yield_6m,48,-0.007402533595119282,-0.014606592326485278,-0.0021262233429125126,-0.024548864288488147,0.0017686433139333926,interval,interval,-1,TRUE,FALSE
yield_1y,0,0.006143884088228012,0.005817812850214608,0.00649191951214686,0.005502620655745984,0.006876014022350134,interval,interval,1,TRUE,TRUE
yield_1y,1,0.007517243574325261,0.006476527465067122,0.008410109562554712,0.005227038537593372,0.009195788187002335,interval,interval,1,TRUE,TRUE
yield_1y,2,0.00817965739553397,0.006603172499879169,0.009349966029783567,0.004451809097423892,0.010227142210925634,interval,interval,1,TRUE,TRUE
yield_1y,3,0.009203125973124983,0.006891067718965863,0.010757484458088856,0.003473602100516621,0.011798022975578332,interval,interval,1,TRUE,TRUE
yield_1y,4,0.009183918925697481,0.006055929091011144,0.011284747136704736,0.0014289175399110987,0.012689521596480647,interval,interval,1,TRUE,TRUE
yield_1y,5,0.00875280939598993,0.005051117685738182,0.011247849605757849,-4.0942376995070005e-4,0.01292308879593328,interval,interval,1,TRUE,FALSE
yield_1y,6,0.008434529459358662,0.004272883589584677,0.011227897496497911,-0.0018860095426184635,0.013094461669057483,interval,interval,1,TRUE,FALSE
yield_1y,7,0.007846595859597889,0.003345894223287319,0.010912149629070665,-0.0032394137873015738,0.012995355359498573,interval,interval,1,TRUE,FALSE
yield_1y,8,0.007070260815557736,0.0023257463159479107,0.010371852428103503,-0.004500061798191256,0.012671167788390607,interval,interval,1,TRUE,FALSE
yield_1y,9,0.006316040723974745,0.0013716027070917027,0.009820921953302362,-0.005637244701691841,0.012313836164237242,interval,interval,1,TRUE,FALSE
yield_1y,10,0.005495296286272754,3.7968925291487974e-4,0.009209056690160785,-0.006732058132684234,0.01192316878478575,interval,interval,1,TRUE,FALSE
yield_1y,11,0.004580094908031132,-6.835712158877724e-4,0.0084975754384702,-0.007851316617227598,0.011442295902819045,interval,interval,1,FALSE,FALSE
yield_1y,12,0.003652645587488459,-0.0017377891968560386,0.00774735806095743,-0.00895215510868,0.01089700388013921,interval,interval,1,FALSE,FALSE
yield_1y,13,0.002711208249844241,-0.0027910404354241024,0.006969902921822238,-0.010037413563709045,0.010315209485395794,interval,interval,1,FALSE,FALSE
yield_1y,14,0.0017398067898164399,-0.0038652276395521584,0.006152097689846121,-0.011138942253648736,0.009684139764710952,interval,interval,1,FALSE,FALSE
yield_1y,15,7.711371999987016e-4,-0.004928815543962859,0.00531757032525936,-0.012240481377257244,0.009010610213753666,interval,interval,1,FALSE,FALSE
yield_1y,16,-1.8126880746236436e-4,-0.0059716870381724295,0.004485124618184381,-0.013331764192044982,0.008319101950034182,interval,interval,-1,FALSE,FALSE
