r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,asset_ibov,35,-0.0017695499768915987,-0.010850398679763567,0.01022824457133483,-0.020592626630784303,0.021570185253216502,-1,FALSE,FALSE
8,4,asset_ibov,36,-0.0018665619988256282,-0.010727142300317127,0.010210314038981764,-0.020971493720114268,0.020796114850807432,-1,FALSE,FALSE
8,4,asset_ibov,37,-0.0019204582529442707,-0.010783372001052982,0.010018201164947267,-0.02070804165901675,0.02035173404881753,-1,FALSE,FALSE
8,4,asset_ibov,38,-0.0018731886246092714,-0.010525955431916218,0.00966275456012013,-0.021343466955560275,0.020777502160318477,-1,FALSE,FALSE
8,4,asset_ibov,39,-0.002040827292880908,-0.010479003709509467,0.009618461258524126,-0.02130515224037008,0.020196748809167265,-1,FALSE,FALSE
8,4,asset_ibov,40,-0.002184490892505566,-0.010665630310861042,0.009391823060209796,-0.021526302938050086,0.019193707410691582,-1,FALSE,FALSE
8,4,cambio_usd,0,0.16609784403953343,0.1170372888326979,0.2547133021459315,0.08903114573234913,0.3464833324034019,1,TRUE,TRUE
8,4,cambio_usd,1,0.21042928345077813,0.15320969379356053,0.3339108769004104,0.109288298738831,0.4571526293721582,1,TRUE,TRUE
8,4,cambio_usd,2,0.1691848773793976,0.10382042590393685,0.2912575296532858,0.05308549109890693,0.4170382583142896,1,TRUE,TRUE
8,4,cambio_usd,3,0.15489645202415459,0.08555446633419214,0.26132547036144727,0.039782283045348,0.3680863903393506,1,TRUE,TRUE
8,4,cambio_usd,4,0.15321286201670792,0.07370891682186757,0.25465159978209106,0.02266721627993158,0.3564948397709887,1,TRUE,TRUE
8,4,cambio_usd,5,0.12444852844214534,0.04023794228147109,0.20927449785393146,-0.015500985608436933,0.3108631789712643,1,TRUE,FALSE
8,4,cambio_usd,6,0.11731365580924008,0.02799587159139387,0.2154850708070304,-0.028430585779395803,0.30735620931543556,1,TRUE,FALSE
8,4,cambio_usd,7,0.09839860002217858,0.008663561459815984,0.20220068120676848,-0.045230718256760796,0.2845485924734995,1,TRUE,FALSE
8,4,cambio_usd,8,0.06485762128035545,-0.025078867149858734,0.15741471567080798,-0.07782947375967282,0.23805900079544132,1,FALSE,FALSE
8,4,cambio_usd,9,0.04930420217799267,-0.03862731986672747,0.13616228309498957,-0.09427029844990291,0.22837307348582667,1,FALSE,FALSE
8,4,cambio_usd,10,0.03853996862756609,-0.04809317221047755,0.11868791356518088,-0.10854232341786849,0.20567526229956226,1,FALSE,FALSE
8,4,cambio_usd,11,0.027081323661819378,-0.0616924820672032,0.10765226764003823,-0.12688217731660084,0.18778355558255586,1,FALSE,FALSE
8,4,cambio_usd,12,0.018090066239412023,-0.0709085330621503,0.09533995761846799,-0.13040285714375385,0.17329009166532275,1,FALSE,FALSE
8,4,cambio_usd,13,-0.0036393030402208466,-0.08483165561075429,0.0738454950452526,-0.14810246850361042,0.16302653235605266,-1,FALSE,FALSE
8,4,cambio_usd,14,-0.019430131108124242,-0.10189632776311587,0.05697597635924516,-0.16499909721612369,0.13983334316222454,-1,FALSE,FALSE
8,4,cambio_usd,15,-0.02538323036666781,-0.10732926094235393,0.04921750803500113,-0.1671867058287013,0.13042665481187402,-1,FALSE,FALSE
8,4,cambio_usd,16,-0.034269599756737455,-0.11413603851487938,0.04088337107184431,-0.17586120852357134,0.11149977342396694,-1,FALSE,FALSE
8,4,cambio_usd,17,-0.040193654741794316,-0.1195040819298625,0.03280652379848233,-0.18628274251152588,0.09382820746137013,-1,FALSE,FALSE
8,4,cambio_usd,18,-0.042026962606653846,-0.11954995269430436,0.0305460631645696,-0.18734246308098226,0.09127082666830495,-1,FALSE,FALSE
8,4,cambio_usd,19,-0.04450958255966993,-0.1231791303865373,0.032348862824465655,-0.18954798838519782,0.08609153520170651,-1,FALSE,FALSE
8,4,cambio_usd,20,-0.04417694079583897,-0.12426306534527423,0.025205093183204953,-0.19142633057627487,0.08261513740981392,-1,FALSE,FALSE
8,4,cambio_usd,21,-0.04054350515430307,-0.1241047015638739,0.028689285334417426,-0.19016137145519185,0.08723292056359072,-1,FALSE,FALSE
8,4,cambio_usd,22,-0.036063139095846235,-0.11905479314042025,0.029613633942207482,-0.1915343717407219,0.0879822128546697,-1,FALSE,FALSE
8,4,cambio_usd,23,-0.030543050003735008,-0.11643407569762436,0.030031244647680456,-0.19043476910051582,0.0904004638337858,-1,FALSE,FALSE
8,4,cambio_usd,24,-0.024541644319400324,-0.11415094517550894,0.034202555107446936,-0.18334600467169468,0.09377760296587728,-1,FALSE,FALSE
8,4,cambio_usd,25,-0.018782667664911296,-0.10819251106789404,0.040529236935136506,-0.17969251838062802,0.09503821901550091,-1,FALSE,FALSE
8,4,cambio_usd,26,-0.011561988572324386,-0.10456009344010966,0.04586798802333423,-0.17488252504794086,0.09398589763107619,-1,FALSE,FALSE
8,4,cambio_usd,27,-0.004242243059792864,-0.09998544701844961,0.051525114644896425,-0.16551128740499782,0.09423913094486083,-1,FALSE,FALSE
8,4,cambio_usd,28,0.0018981447905449262,-0.09531017339213016,0.057196118824955934,-0.15578264044814658,0.09894112423499783,1,FALSE,FALSE
8,4,cambio_usd,29,0.008352093235888983,-0.08741936934892613,0.06317192101923799,-0.14696756112574152,0.10466254819019022,1,FALSE,FALSE
8,4,cambio_usd,30,0.014619346097473831,-0.08122077216534573,0.06633792828815885,-0.14560555874586711,0.11552745302306024,1,FALSE,FALSE
8,4,cambio_usd,31,0.020045989111870353,-0.07436484238973336,0.0694501574821422,-0.14106784179486564,0.12471108485919608,1,FALSE,FALSE
