tag,instrument,r,q,sample,var,maturity,h0
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_1y,1,0.005124408452268576
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_2y,2,0.003332946061773089
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_5y,5,-0.0016723497557634998
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_10y,10,-0.0029046415215121728
z_jk_r6q5_full,z_jk,6,5,full,yield_3m,0.25,0.0028211065904967677
z_jk_r6q5_full,z_jk,6,5,full,yield_6m,0.5,0.005
z_jk_r6q5_full,z_jk,6,5,full,yield_1y,1,0.0075960111099945575
z_jk_r6q5_full,z_jk,6,5,full,yield_2y,2,0.010088346838905905
z_jk_r6q5_full,z_jk,6,5,full,yield_5y,5,0.011505506685651359
z_jk_r6q5_full,z_jk,6,5,full,yield_10y,10,0.010464209985901229
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_3m,0.25,0.0040241986122905105
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_6m,0.5,0.005
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_1y,1,0.006031069042820768
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_2y,2,0.007309822359473693
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_5y,5,0.008648002694905574
z_jk_r6q5_pre_covid,z_jk,6,5,pre_covid,yield_10y,10,0.007697554001473956
z_jk_r7q6_full,z_jk,7,6,full,yield_3m,0.25,0.002717359416676107
z_jk_r7q6_full,z_jk,7,6,full,yield_6m,0.5,0.005
z_jk_r7q6_full,z_jk,7,6,full,yield_1y,1,0.0076915023593139425
z_jk_r7q6_full,z_jk,7,6,full,yield_2y,2,0.0103409489991399
z_jk_r7q6_full,z_jk,7,6,full,yield_5y,5,0.011873133958253075
z_jk_r7q6_full,z_jk,7,6,full,yield_10y,10,0.010743067059810677
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_3m,0.25,0.002163755731238668
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_6m,0.5,0.005
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_1y,1,0.008345839857458843
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_2y,2,0.010645036117690711
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_5y,5,0.009591503157647271
z_jk_r7q6_pre_covid,z_jk,7,6,pre_covid,yield_10y,10,0.008631673361295939
z_jk_r8q8_full,z_jk,8,8,full,yield_3m,0.25,0.0029175599017684144
z_jk_r8q8_full,z_jk,8,8,full,yield_6m,0.5,0.005
z_jk_r8q8_full,z_jk,8,8,full,yield_1y,1,0.007455619455347919
z_jk_r8q8_full,z_jk,8,8,full,yield_2y,2,0.009900772747015243
z_jk_r8q8_full,z_jk,8,8,full,yield_5y,5,0.011359233598438514
z_jk_r8q8_full,z_jk,8,8,full,yield_10y,10,0.010291224070380071
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_3m,0.25,0.0035591446506619204
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_6m,0.5,0.005
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_1y,1,0.0059889022444363895
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_2y,2,0.004587441347576421
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_5y,5,-3.905645995295709e-4
z_jk_r8q8_pre_covid,z_jk,8,8,pre_covid,yield_10y,10,-0.0014354587426126646
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_3m,0.25,0.0032558158025991248
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_6m,0.5,0.005
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_1y,1,0.006842177319796586
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_2y,2,0.00828299452091268
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_5y,5,0.008586176837206902
z_het_jk_3var_r6q5_full,z_het_jk_3var,6,5,full,yield_10y,10,0.007645678392783513
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_3m,0.25,0.004244618192910598
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_6m,0.5,0.005
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_1y,1,0.005705451390345961
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_2y,2,0.0065312894758783515
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_5y,5,0.006968184801817058
z_het_jk_3var_r6q5_pre_covid,z_het_jk_3var,6,5,pre_covid,yield_10y,10,0.0056781851669541195
