instrument,r,q,sample,cfg,var,h,point,lo68,hi68,lo90,hi90,sig90
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,33,-0.006335672446607055,-0.012626439893782943,5.894652820576699e-4,-0.0206605107686399,0.004404417094091918,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,34,-0.006543681201833271,-0.012874053212207123,6.663565757054671e-4,-0.020909658838271405,0.003957902967496931,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,35,-0.006726265990640353,-0.013123601105189328,5.187702076344231e-4,-0.021082460357012098,0.0035360271258632154,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,36,-0.006881968698585121,-0.013385462147641244,3.091692200155521e-4,-0.021259171718571765,0.003323081935431327,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,37,-0.007007482352495153,-0.013383089035342103,1.3492055456042275e-4,-0.021264254395673313,0.0030902071573497927,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,38,-0.007099137711579681,-0.01311104776933708,1.503412919026641e-4,-0.021201360800171477,0.0031086379861935513,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,39,-0.007156538451001749,-0.013090118083724286,1.3080327573229428e-4,-0.020712877227957963,0.002684065260995462,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,40,-0.007178944293161288,-0.012976681515349208,-9.202521864555007e-5,-0.020232278858924837,0.0029158470499470387,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,0,0.008753908967703028,0.007778456101802137,0.013337779258028804,0.006691459432278738,0.016299467634083842,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,1,0.00960538323572678,0.007846725253810654,0.014306731906124623,0.006418473187767682,0.01757333026442686,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,2,0.007871529013038845,0.005350133478046964,0.010819976816961868,0.004132199165257822,0.01396719538486784,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,3,0.008754433653811178,0.005703895312732717,0.011765101081408968,0.003984181150308157,0.014366411977568936,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,4,0.008361162016601639,0.004553879968196988,0.0106181748212303,0.0029291612034733354,0.013659811421646132,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,5,0.008111403567035954,0.003934516933213289,0.009894523253343356,0.0017401957882484356,0.012747712272612843,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,6,0.0075622076929791554,0.003370121170662248,0.00968823717254495,0.0016312698873206062,0.012581481676063029,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,7,0.006509457773891626,0.0023214737528170102,0.008555014061083279,4.0963403018639535e-4,0.011424713471091023,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,8,0.005354271272362023,9.013831051141395e-4,0.007219456792415255,-0.0013739349898689343,0.009871779766709351,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,9,0.003966915438152669,-2.8343284696862465e-4,0.005941543047399661,-0.003101702742780599,0.008451121037937192,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,10,0.0031392802762353024,-9.369025595101178e-4,0.005280258536559105,-0.0038213160134212077,0.007962094482601746,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,11,0.002239232775904203,-0.00171177700763401,0.004750027940745823,-0.004757350313208861,0.007185541356506861,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,12,0.001214113138305997,-0.002405621788289597,0.00405273934089629,-0.00549545339656113,0.006764010433622091,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,13,4.862187256082776e-4,-0.002975426444214407,0.0037453015533322515,-0.006191791457905125,0.0064798414172759925,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,14,-3.7330240133468917e-4,-0.003791753351730905,0.0032713209973948554,-0.00718393978422893,0.005915793267035949,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,15,-0.0010273615174274148,-0.004425914447673547,0.0029380894763180667,-0.008074816481404599,0.006021521633100826,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,16,-0.0014184601334823591,-0.004650256358857348,0.0028470043966291026,-0.008825988058990172,0.006051762612837247,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,17,-0.0019174878836557693,-0.005166391673940245,0.002602571962886795,-0.008912915050290118,0.005925191753509175,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,18,-0.0023247006669303515,-0.005573303458976182,0.002409942941311227,-0.009913782672908782,0.0053431123295841374,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,19,-0.0025911313470580372,-0.00614139708426864,0.002228045597655125,-0.010163694475321913,0.005251122042234535,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,20,-0.0028653053286107804,-0.006287980624963481,0.0019455259980072938,-0.011161126498458681,0.0051006956696012995,FALSE
