sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap
full,8,5,8,ok,0.981143605907411,2022-10-01,quebra_livre,rotate,TRUE,36,109,1.247338098704996,0.695605243378342,2.294580802210532,-0.6412955644709228,0.42227014669601737,2.8291660655764312,2.7807726005770337,0.26673326673326675,30.629229631413924,0.00624498166316662,0.031936127744510975,0.21213330159744961
full,8,6,5,ok,0.9804083490210781,NA,calendario,permute,TRUE,98,50,0.56197089328282,0.5548320909996972,1.5640660700298286,-0.7385898420058268,0.22718070396847914,1.2418234390553244,1.8881553609060027,0.8811188811188811,20.281719210749248,0.4404354538558265,0.7684630738522954,0.12701237227172854
full,8,6,5,ok,0.9804083490210781,NA,episodio_s2,rotate,TRUE,69,79,1.278518786584226,0.94094088582433,2.6539333648428802,-0.575673301354267,0.36556001690844114,1.463363076394589,4.166259394588054,9.99000999000999e-4,53.88710519317639,6.01196049033231e-5,0.00998003992015968,0.11787823068957128
full,8,6,5,ok,0.9804083490210781,NA,intensidade_z,permute,FALSE,49,99,1.047267669159887,0.7281863380993163,2.2620456767242563,-0.9298596346443448,0.29046476001256694,1.5947297727261531,2.5933701286734445,0.36163836163836166,46.689677880507155,6.476366531008852e-4,0.029940119760479042,0.14932887732424446
full,8,6,5,ok,0.9804083490210781,NA,volatilidade_juros,permute,TRUE,37,111,1.848129200585762,0.8444527489415429,5.186311743849422,-0.6237831065262555,0.4077686102041751,2.075999021563705,4.41944497787037,0.01998001998001998,46.17862300330034,7.617450605065054e-4,0.13972055888223553,0.11886725242647198
full,8,6,5,ok,0.9804083490210781,2021-10-01,quebra_livre,rotate,TRUE,48,100,1.3812848171079755,0.8822686645518896,2.276183142369331,-0.8268685847059895,0.37902356856600966,3.6082229101430108,3.460201741240782,0.0989010989010989,60.246839373016996,6.521624977772051e-6,0.007984031936127744,0.2636549420824934
full,8,6,6,ok,0.9764370706395482,NA,calendario,permute,TRUE,98,49,0.7936968052703856,0.5617733269805789,1.752573644458907,-0.9533149737013898,0.27294690932828397,1.572015542974876,2.6680031248087723,0.4015984015984016,33.41424956641234,0.030371113508025523,0.3093812375249501,0.1462957443535114
full,8,6,6,ok,0.9764370706395482,NA,episodio_s2,rotate,TRUE,69,78,1.1221481495070136,0.8431631801321819,2.648331081626104,-0.8846911585360395,0.3068455397736964,1.3876093527271267,3.3905035213816097,9.99000999000999e-4,45.75952736032218,8.695564819914759e-4,0.0658682634730539,0.23000715718926776
full,8,6,6,ok,0.9764370706395482,NA,intensidade_z,permute,FALSE,49,98,1.0829728459311903,0.6765727545217439,2.559597096481516,-0.8894471361161949,0.29519364240416274,1.7666412262567908,2.67350687861187,0.37962037962037964,46.88454642660139,6.086258576690467e-4,0.0499001996007984,0.0293079146763342
full,8,6,6,ok,0.9764370706395482,NA,volatilidade_juros,permute,TRUE,37,110,1.8293328422953317,0.9527474673800458,4.735215936639815,-0.742052111774604,0.37175914414487354,1.5984324619622203,4.377478465464616,0.029970029970029972,46.85937950811078,6.1353345513738e-4,0.1437125748502994,0.2557535144648562
full,8,6,6,ok,0.9764370706395482,2021-11-01,quebra_livre,rotate,TRUE,47,100,1.3202089490818991,0.8649709005851487,2.250527892115361,-0.9275267854951793,0.36659939285085197,3.3981077620833857,3.246303378584306,0.0959040959040959,55.03883214976794,4.051635200583079e-5,0.011976047904191617,0.12966812464953242
full,8,6,7,ok,0.9770192401191725,NA,calendario,permute,TRUE,97,49,0.7641708821886453,0.5516025676661893,1.872539318881112,-0.9283213918226737,0.2765018486501902,2.0111950570912702,2.536310767954726,0.5384615384615384,27.66894063645004,0.1174707898077172,0.5269461077844312,0.07938819651940404
full,8,6,7,ok,0.9770192401191725,NA,episodio_s2,rotate,TRUE,69,77,1.0780050230288711,0.7365130183686233,2.5666271701222882,-0.9925758342151685,0.31218782936228295,1.4759544152070965,3.265607832041236,0.011988011988011988,50.80028140040851,1.6995738962575339e-4,0.06986027944111776,0.18445768449288028
full,8,6,7,ok,0.9770192401191725,NA,intensidade_z,permute,FALSE,49,97,1.1025636804118324,0.6992119050790737,2.9576036004424813,-0.9711710614067282,0.2815961069272255,1.5871064043150815,2.7256266070222526,0.3906093906093906,49.7832199796415,2.3786223501746912e-4,0.05788423153692615,0.061034257636942466
full,8,6,7,ok,0.9770192401191725,NA,volatilidade_juros,permute,TRUE,37,109,1.6915436996949265,0.9854397074842498,4.379479996589073,-0.8322570527405804,0.3437216253770734,1.2955141651294648,3.960298935614983,0.08291708291708291,45.42256894860396,9.667502442155671e-4,0.12574850299401197,0.21383891899893506
full,8,6,7,ok,0.9770192401191725,2021-10-01,quebra_livre,rotate,TRUE,48,98,1.2316377559319123,0.8468918991059344,2.1649939803624942,-0.8769347887784283,0.34390485744681815,2.1331968972799484,3.0359295150498165,0.1068931068931069,51.50628238730106,1.3433480010005975e-4,0.021956087824351298,0.2279387851870813
full,8,6,8,ok,0.981143605907411,NA,calendario,permute,TRUE,96,49,0.7498134693807944,0.5868795368275742,2.0073825136657932,-0.8883128608416149,0.27131355253474154,1.6483378603147323,2.474271526131003,0.5454545454545454,26.57298231354892,0.14771086138655995,0.5489021956087824,0.08289103052779197
full,8,6,8,ok,0.981143605907411,NA,episodio_s2,rotate,TRUE,69,76,1.1446716104047108,0.7010458166029534,2.5580550123365255,-0.9239176505798334,0.3643959093082482,1.9129014180567223,3.58633181837521,9.99000999000999e-4,50.77523771985053,1.71376597265369e-4,0.05389221556886228,0.18049858852431483
full,8,6,8,ok,0.981143605907411,NA,intensidade_z,permute,FALSE,48,97,1.1370927618919522,0.665888349429719,3.007054756903826,-1.067052992806763,0.3017011050263122,1.9220723558483233,2.807069735011876,0.33266733266733267,56.49462125174618,2.4480303722365654e-5,0.01996007984031936,0.198661533034723
full,8,6,8,ok,0.981143605907411,NA,volatilidade_juros,permute,TRUE,36,109,1.7266159387514264,1.0337508947723537,4.644837633176459,-0.6774728181318601,0.3740790825898092,1.5301312237680353,4.010799883831233,0.08191808191808192,35.480716148920294,0.01768847068806818,0.26147704590818366,0.11535273035490025
full,8,6,8,ok,0.981143605907411,2022-10-01,quebra_livre,rotate,TRUE,36,109,1.2501705083956738,0.8175836538864593,2.314169041048575,-0.6540192478788958,0.3729806155666224,2.2453478626946994,2.7873992452129492,0.2947052947052947,35.69170143331563,0.01671500403641773,0.1157684630738523,0.02684403799454924
full,8,7,5,ok,0.9804083490210781,NA,calendario,permute,TRUE,98,50,0.7648873291864948,0.6874750708114806,1.9509056099564792,-0.8659454881476881,0.24684242106975215,1.6105761200779807,2.538942502362102,0.6473526473526473,31.602916376568807,0.2471097534000152,0.7065868263473054,0.09031274467064171
full,8,7,5,ok,0.9804083490210781,NA,episodio_s2,rotate,TRUE,69,79,1.2884148375887732,0.9946091884111539,2.745221324270405,-0.8570797117708178,0.29620621621912785,1.3691624227262216,4.235118762430309,9.99000999000999e-4,67.12158366479157,2.8590622713666272e-5,0.033932135728542916,0.12148680229742546
full,8,7,5,ok,0.9804083490210781,NA,intensidade_z,permute,FALSE,49,99,1.133987873319552,0.7746264719108895,3.191184937788771,-0.9399170739056981,0.246149437414388,1.5229919595037578,2.790422441145383,0.4275724275724276,61.92141623940204,1.4688974907452616e-4,0.03992015968063872,0.07596327542783869
full,8,7,5,ok,0.9804083490210781,NA,volatilidade_juros,permute,TRUE,37,111,1.8710209802309725,1.076383540085518,5.433495970496275,-0.7337162424985249,0.35058817655478036,1.4651958958430504,4.486863084581028,0.03996003996003996,61.21436790635511,1.824372199280257e-4,0.12375249500998003,0.12766361867448153
full,8,7,5,ok,0.9804083490210781,2021-10-01,quebra_livre,rotate,TRUE,48,100,1.387699275067872,0.9352638530989545,2.3154674759167184,-0.8828783190678909,0.33522645062664175,3.0464888828136694,3.4816012134740264,0.15384615384615385,66.92750896804208,3.0430223267312602e-5,0.021956087824351298,0.1699161116895512
full,8,7,6,ok,0.9764370706395482,NA,calendario,permute,TRUE,98,49,0.7963118333392915,0.6731924958049396,1.8792557470801228,-0.9550460102497066,0.24464956251368392,1.5760410287336946,2.679395204525206,0.5634365634365635,36.38051362046396,0.10722375221884445,0.5329341317365269,0.027122237388472942
full,8,7,6,ok,0.9764370706395482,NA,episodio_s2,rotate,TRUE,69,78,1.154683989168225,0.9213187797585194,2.6900437684488363,-0.9136938694425563,0.2752680403604099,1.3016871635487406,3.5232950463796278,0.05094905094905095,58.62465868721322,3.9835222959736535e-4,0.08982035928143713,0.2057568956716117
full,8,7,6,ok,0.9764370706395482,NA,intensidade_z,permute,FALSE,49,98,1.1895742645417244,0.8093305046339655,3.1486477324589677,-0.9863120291625942,0.2573000557219086,1.3852123501131468,2.940243479480807,0.3516483516483517,64.53205034488586,6.518003747803059e-5,0.027944111776447105,0.2508583278630053
full,8,7,6,ok,0.9764370706395482,NA,volatilidade_juros,permute,TRUE,37,110,1.8296234411140355,1.0636212830891536,4.763759769589417,-0.7459996598374119,0.34704616140419314,1.505391477602317,4.37848163402693,0.057942057942057944,53.791975263963586,0.001613100654855989,0.21357285429141717,0.21179666431399768
full,8,7,6,ok,0.9764370706395482,2021-11-01,quebra_livre,rotate,TRUE,47,100,1.3233351655847474,0.903963248287248,2.293935966125045,-0.9341078089355372,0.3389312411342291,3.3277295897310615,3.2552522952552385,0.14585414585414586,59.390786123182394,3.1686261647096147e-4,0.05189620758483034,0.07396371632574242
full,8,7,7,ok,0.9770192401191725,NA,calendario,permute,TRUE,97,49,0.7679828166146789,0.6393855041897598,1.9517929075338534,-0.9392049461655756,0.24568451975909777,1.7577561593403728,2.5518070214120807,0.6323676323676324,31.29625119405603,0.259149520441395,0.6487025948103793,0.07077522304575702
full,8,7,7,ok,0.9770192401191725,NA,episodio_s2,rotate,TRUE,69,77,1.0952485084809929,0.8081727521526935,2.6090930837821724,-1.0136886046458065,0.2842872880523071,1.4662961320973742,3.335004998782572,0.06793206793206794,57.73345516280059,5.186381280187679e-4,0.12574850299401197,0.16035712288424528
full,8,7,7,ok,0.9770192401191725,NA,intensidade_z,permute,FALSE,49,97,1.1580789026168352,0.7804563560286121,3.12821687571379,-1.0897294974598903,0.2540116068374414,1.4597829780835856,2.867270390934467,0.3786213786213786,63.89706773448826,7.956091856961638e-5,0.03792415169660679,0.14450810803590516
full,8,7,7,ok,0.9770192401191725,NA,volatilidade_juros,permute,TRUE,37,109,1.6915468595780943,1.1092020790375778,4.441023405973555,-0.8322899404858031,0.31424505101882594,1.259035610183665,3.9603802951906597,0.10789210789210789,54.870648136444316,0.001188942748903658,0.11976047904191617,0.1455627371734379
full,8,7,7,ok,0.9770192401191725,2021-10-01,quebra_livre,rotate,TRUE,48,98,1.2376627812009513,0.8945053187314951,2.2159079628964404,-0.8787508533733852,0.3092538081854845,2.068771364134497,3.052580708120931,0.0969030969030969,55.829836513268404,9.032564075811757e-4,0.06187624750499002,0.06867735354023492
full,8,7,8,ok,0.981143605907411,NA,calendario,permute,TRUE,96,49,0.7814511857926482,0.6846385567281077,2.128444498319588,-0.889321699843058,0.251666086346233,1.523276892221776,2.601918017921246,0.6273726273726273,30.96731328656858,0.2724828354644739,0.6946107784431138,0.10453446370670341
full,8,7,8,ok,0.981143605907411,NA,episodio_s2,rotate,TRUE,69,76,1.197053904959646,0.7710232945339754,2.591929111013277,-0.9910875939772263,0.32041574086154295,1.8997209790899534,3.8602269699479566,9.99000999000999e-4,66.2063760622745,3.8332853640006926e-5,0.06387225548902195,0.15227534722544842
full,8,7,8,ok,0.981143605907411,NA,intensidade_z,permute,FALSE,48,97,1.2675564182080032,0.7539971645053505,3.4118690816204755,-1.1007592775454456,0.30102591613056695,1.6635757162086282,3.151015672512664,0.24175824175824176,66.55147460798021,3.432893843420516e-5,0.03792415169660679,0.18824158250018844
full,8,7,8,ok,0.981143605907411,NA,volatilidade_juros,permute,TRUE,36,109,1.727345903371441,1.1203236860346626,4.662080473852873,-0.6951351212933263,0.35090951540918325,1.4744118668168766,4.0123510674920535,0.12687312687312688,42.192452630191596,0.03150514948599718,0.2934131736526946,0.15613164808543462
full,8,7,8,ok,0.981143605907411,2022-10-01,quebra_livre,rotate,TRUE,36,109,1.2813790801317337,0.9202934244619947,2.4512765221749064,-0.6698033995229689,0.3348301252855278,2.300946886594073,2.852891540203315,0.3066933066933067,38.8998354393546,0.06469898949354937,0.2754491017964072,0.051171328708863394
full,8,8,5,ok,0.9804083490210781,NA,calendario,permute,TRUE,98,50,3.4237259989878,1.9572664177018901,9.17334981901299,-3.797698128971849,0.3118248483298584,2.995661072036124,1.7496679817338936,0.4305694305694306,43.6949340721606,0.14868172363549004,0.6846307385229541,0.026907294422965133
full,8,8,5,ok,0.9804083490210781,NA,episodio_s2,rotate,TRUE,69,79,3.7401616177285306,2.6464089802181157,11.177399294418993,-2.8768129318783022,0.2725392754633274,1.208449221958818,2.6677106520774605,0.43956043956043955,79.25163991823565,2.7985489448245832e-5,0.05588822355289421,0.11495236435286814
