config,linkage,threshold,principal,series,block,group,group_size,kept,reason,kept_dentro_do_bloco
completa_0.80,complete,0.8,FALSE,price_core_ipca_dw,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_igp_m,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_ipc,precos,13,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,price_core_ipc,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_incc,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_inpc,precos,13,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,price_core_ipca_ex0,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_core_ipca_ex1,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,dlsp_exchange_adjustment,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_fiscal_dlsp_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_fiscal_primary_balance_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_fiscal_nominal_balance_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,cambio_eur,cambio,1,4,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,cambio_cny,cambio,1,4,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,cambio_ars,cambio,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,cambio_inr,cambio,1,4,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,cambio_usd,cambio,1,4,TRUE,prioridade,TRUE
completa_0.85,complete,0.85,FALSE,juros_selic,politica,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,yield_3m,curva,2,2,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,yield_6m,curva,2,2,TRUE,prioridade,TRUE
completa_0.85,complete,0.85,FALSE,yield_1y,curva,3,2,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,yield_2y,curva,3,2,TRUE,prioridade,TRUE
completa_0.85,complete,0.85,FALSE,yield_5y,curva,4,2,TRUE,prioridade,TRUE
completa_0.85,complete,0.85,FALSE,yield_10y,curva,4,2,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,base_monetary_base,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,base_money_supply,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,base_demand_deposit,monetario,5,2,FALSE,descartada,FALSE
completa_0.85,complete,0.85,FALSE,base_savings_deposit,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,base_m1,monetario,5,2,TRUE,medoide,TRUE
completa_0.85,complete,0.85,FALSE,base_m2,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,base_m3,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,credito_agro,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,credito_industria_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,credito_construcao,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.85,complete,0.85,FALSE,credito_comercio,credito_existente,NA,1,TRUE,sem_grupo,TRUE
