var,indicador,h,n_alto,n_baixo,F_alto,F_baixo,flag_alto,flag_baixo
rel_ifnc_ibov,cds_ma12,2,70,69,12.496596374743492,17.778534658315657,ok,ok
rel_ifnc_ibov,cds_ma12,3,70,68,12.662700903053329,18.027605874134032,ok,ok
rel_ifnc_ibov,cds_ma12,4,70,67,13.256772294475743,17.873165457644927,ok,ok
rel_ifnc_ibov,cds_ma12,5,70,66,13.275872910611229,18.61692256065959,ok,ok
rel_ifnc_ibov,cds_ma12,6,70,65,13.340305655598844,18.996941944320326,ok,ok
rel_ifnc_ibov,cds_ma12,7,70,64,13.228828727100147,22.646193624221418,ok,ok
rel_ifnc_ibov,cds_ma12,8,70,63,13.120909371481169,23.25421812541725,ok,ok
rel_ifnc_ibov,cds_ma12,9,70,62,13.2977200205243,18.266054197501067,ok,ok
rel_ifnc_ibov,cds_ma12,10,70,61,14.049022707485104,22.65430131554084,ok,ok
rel_ifnc_ibov,cds_ma12,11,70,60,14.730526523916161,23.497128313318758,ok,ok
rel_ifnc_ibov,cds_ma12,12,70,59,15.50931350495304,26.949060439922626,ok,ok
rel_ifnc_ibov,cds_ma12,13,70,58,16.24593870914712,37.52739133047674,ok,ok
rel_ifnc_ibov,cds_ma12,14,70,57,16.725975065944247,45.36782225917175,ok,ok
rel_ifnc_ibov,cds_ma12,15,70,56,17.38706705956043,47.92909280656147,ok,ok
rel_ifnc_ibov,cds_ma12,16,70,55,18.391123616886556,50.52955952875766,ok,ok
rel_ifnc_ibov,cds_ma12,17,70,54,19.12184318032373,53.72701840917764,ok,ok
rel_ifnc_ibov,cds_ma12,18,70,53,19.98318377033787,53.961298561327595,ok,ok
rel_ifnc_ibov,cds_ma12,19,70,52,20.809637234679744,56.00748664719531,ok,ok
rel_ifnc_ibov,cds_ma12,20,70,51,21.736837680432018,56.625952679833325,ok,ok
rel_ifnc_ibov,cds_ma12,21,70,50,22.905965303279316,56.79177705141818,ok,ok
rel_ifnc_ibov,cds_ma12,22,70,49,24.088893206446947,53.888241413811976,ok,ok
rel_ifnc_ibov,cds_ma12,23,69,49,25.111275057227907,55.84340646440412,ok,ok
rel_ifnc_ibov,cds_ma12,24,68,49,26.744779226494106,58.007704842361534,ok,ok
rel_ifnc_imat,cds_ma12,0,70,71,12.270917660056181,16.368675470875537,ok,ok
rel_ifnc_imat,cds_ma12,1,70,70,12.707853863004072,16.553498901799834,ok,ok
rel_ifnc_imat,cds_ma12,2,70,69,12.607272906306964,15.81810321934996,ok,ok
rel_ifnc_imat,cds_ma12,3,70,68,12.858233228319154,15.772479611339298,ok,ok
rel_ifnc_imat,cds_ma12,4,70,67,13.64844280203693,15.601041888224769,ok,ok
rel_ifnc_imat,cds_ma12,5,70,66,14.039482290261802,16.041836090484026,ok,ok
rel_ifnc_imat,cds_ma12,6,70,65,14.270702911871428,16.23829826629378,ok,ok
rel_ifnc_imat,cds_ma12,7,70,64,14.202940830743321,19.383952696267173,ok,ok
rel_ifnc_imat,cds_ma12,8,70,63,14.098866737686023,20.024407770055234,ok,ok
rel_ifnc_imat,cds_ma12,9,70,62,14.312171928310617,16.408982560253083,ok,ok
rel_ifnc_imat,cds_ma12,10,70,61,15.034197265323268,20.20111838733684,ok,ok
rel_ifnc_imat,cds_ma12,11,70,60,15.796371093380776,21.137042727782397,ok,ok
rel_ifnc_imat,cds_ma12,12,70,59,16.731779089563553,23.772084649712948,ok,ok
rel_ifnc_imat,cds_ma12,13,70,58,17.60300043859198,30.882755984768192,ok,ok
rel_ifnc_imat,cds_ma12,14,70,57,18.16136561925969,35.89109529755387,ok,ok
rel_ifnc_imat,cds_ma12,15,70,56,18.939420699403563,37.515330621016545,ok,ok
rel_ifnc_imat,cds_ma12,16,70,55,20.229521859172255,40.31161606738851,ok,ok
rel_ifnc_imat,cds_ma12,17,70,54,21.24470623289944,41.64635282450518,ok,ok
rel_ifnc_imat,cds_ma12,18,70,53,22.350959151235315,43.010697450290436,ok,ok
rel_ifnc_imat,cds_ma12,19,70,52,23.482219999752918,43.62806434001257,ok,ok
rel_ifnc_imat,cds_ma12,20,70,51,24.805563668481486,43.435274104930436,ok,ok
rel_ifnc_imat,cds_ma12,21,70,50,26.388085078431338,43.68722083758043,ok,ok
rel_ifnc_imat,cds_ma12,22,70,49,27.946181485835723,42.621995058772036,ok,ok
rel_ifnc_imat,cds_ma12,23,69,49,29.788075379769133,44.14436466440022,ok,ok
rel_ifnc_imat,cds_ma12,24,68,49,31.68980930328414,45.87733026063008,ok,ok
