var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
price_ipp,cds_ma12,2,6,135,70,65,0.7726912580980664,0.5216121949302281,-0.2712146714740766,0.3991465160147138,1.043905929572143,0.6244780609807195,1.6716454825213998,12.972093838787412,19.373806688456238,ok,ok,0.023524560469428538,0.010861195760042986,-0.019396614809017443,0.024904607304809142
price_ipp,cds_ma12,2,7,134,70,64,0.5049389282508066,0.28435050045578214,-0.2374801740555307,0.28066675930725,0.7424191023063372,0.3750364878393031,1.9795916567575458,12.899718079371889,23.010608726713482,ok,ok,0.01537284940979488,0.008122844828545113,-0.017553796237282995,0.018144416851360017
price_ipp,cds_ma12,2,8,133,70,63,-0.01812446993383844,0.2726914700504235,-0.09971437631650759,0.1799624399193534,0.08158990638266915,0.3016536390458195,0.27047545867754674,12.852935406488838,23.266103119005745,ok,ok,-5.51798903434389e-4,0.00828529189670905,-0.007364937932406071,0.012185958427908906
price_ipp,cds_ma12,2,9,132,70,62,0.10644953665832362,0.3388343755856366,0.12419918187491248,0.1884853597133793,-0.017749645216588866,0.38101414566659175,-0.046585265713784754,13.029132471028051,18.922225335621473,ok,ok,0.0032408527156226608,0.010342433080890149,0.009103060976937076,0.01408766068639375
price_ipp,cds_ma12,2,10,131,70,61,-0.26849120221293904,0.3046749207177393,-0.22412812795652798,0.29068708226323786,-0.04436307425641106,0.47260184449352344,-0.09386987116809489,13.758737134724623,18.850900019511307,ok,ok,-0.008174206004877463,0.00921597194831292,-0.016918408802210537,0.025492864455289952
price_ipp,cds_ma12,2,11,130,70,60,-0.13972407283482993,0.44378642996506296,-0.15991555225696402,0.19018212719992045,0.02019147942213409,0.4217144735745439,0.04787950304618835,14.364948535007652,19.430945855458933,ok,ok,-0.0042538948976808405,0.0141671420817023,-0.012161081430711297,0.016681341704774963
price_ipp,cds_ma12,2,12,129,70,59,0.3696468768955674,0.41491380082022333,-0.30877440694256875,0.1762707179311261,0.6784212838381362,0.49741824172395066,1.3638850105031648,14.991307370941145,21.520694543906167,ok,ok,0.011253887263384846,0.013073497926791468,-0.02364710118403724,0.016468720312752264
price_ipp,cds_ma12,2,13,128,70,58,0.6009782946723249,0.4195826810725221,-0.5326659877696295,0.27904977301324574,1.1336442824419544,0.46683966661954607,2.42833752892259,15.608006509946323,28.244603064483545,ok,ok,0.018296764827935574,0.012815202779571369,-0.04237259217551705,0.015792388134884046
price_ipp,cds_ma12,2,14,127,70,57,-0.4637875046984789,0.3280862409285078,-0.45949410243457695,0.3129760150405178,-0.0042934022639019576,0.3898593096583224,-0.011012696522919382,15.964800318236673,32.2228305435523,ok,ok,-0.014119995644766029,0.009365700419204667,-0.03750806964434116,0.02134274142197422
price_ipp,cds_ma12,2,15,126,70,56,0.6720767723781091,0.5036147283196315,-0.09244828609531226,0.0865549080622938,0.7645250584734214,0.5062961058196759,1.5100354312140756,16.468591389859494,33.38282459428181,ok,ok,0.020461355692085542,0.01141442187008408,-0.007537608430238207,0.006945374257523781
price_ipp,cds_ma12,2,16,125,70,55,0.26391357037065066,0.5526191564020254,0.05263978112382858,0.16164934628831834,0.21127378924682208,0.6285619205858098,0.336122476286693,17.316648684847713,35.77117009539742,ok,ok,0.008034840151295825,0.015860516133336777,0.004456955287746228,0.013009043836640422
price_ipp,cds_ma12,2,17,124,70,54,-0.593688683121793,0.6038708200538082,-0.09752084979433107,0.1605506418448749,-0.49616783332746195,0.595670537915864,-0.8329568137841049,17.966227794220465,36.749647574068824,ok,ok,-0.018074832838460314,0.020349798029597323,-0.008272739547996392,0.014667929962921072
price_ipp,cds_ma12,2,18,123,70,53,-0.2579668420491032,0.38482197967605397,-0.24256685789940777,0.09752403711670787,-0.015399984149695428,0.38930963475856056,-0.03955716163882275,18.808531741129283,38.097685671163454,ok,ok,-0.007853792198409038,0.012125115472380722,-0.020727690520048928,0.007645137886845387
price_ipp,cds_ma12,2,19,122,70,52,-0.3709050154308977,0.1720555403872677,-0.6684378742013775,0.16733658143944655,0.29753285877047975,0.22662181220516217,1.3129047723840517,19.621307937961667,38.21878135921299,ok,ok,-0.011292191250000028,0.004544802941782417,-0.057065474481236944,0.012393003707325592
price_ipp,cds_ma12,2,20,121,70,51,-0.9765636108859826,0.6233077137035682,-0.4217808210372917,0.2599789604815547,-0.554782789848691,0.7096304245456512,-0.7817911558737027,20.498521444054425,38.3939591111975,ok,ok,-0.02973144768432351,0.0166159485948678,-0.03605156079879439,0.02198727863020137
price_ipp,cds_ma12,2,21,120,70,50,0.008063856141062616,0.35438094671516757,-0.16067111035004672,0.21343297130742717,0.16873496649110933,0.3907612431785426,0.4318109061138714,21.59565221971008,38.71158943568545,ok,ok,2.4550384092666966e-4,0.010777136096098585,-0.013742395502413615,0.019150172396644103
price_ipp,cds_ma12,2,22,119,70,49,0.006315626281261757,0.3488667267090017,0.06263002561804883,0.12769233742668953,-0.05631439933678707,0.37222042794292576,-0.15129314543000313,22.767336386152028,38.57759393845981,ok,ok,1.922790391777618e-4,0.010612142258186052,0.005303229062677911,0.010463739624522456
price_ipp,cds_ma12,2,23,118,69,49,0.15226764101523146,0.5266011979470726,-0.07669292897988925,0.2142522731477561,0.2289605699951207,0.6305095250965627,0.36313578285761083,23.609775363899228,40.075523294204665,ok,ok,0.004615630853700675,0.015854446691724082,-0.006494012510052022,0.017536930759640825
price_ipp,cds_ma12,2,24,117,68,49,-0.4781950059415067,0.26944758529088353,0.36980281605009907,0.2210432208751314,-0.8479978219916058,0.3284276198380681,-2.581993019983255,24.868846119564555,41.7109618318754,ok,ok,-0.014492592910738122,0.007635154758384981,0.03131324028985945,0.016044403076785237
