var,grupo,tcode,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
ibc_br,atividade,1,17,-0.0963002400699455,-0.27158300384394624,0.3236139476858455,-0.46442455052374465,0.5650909196238257,-1,FALSE,FALSE
ibc_br,atividade,1,18,-0.1201561017363296,-0.2845742640989716,0.2937758548406384,-0.46954672216745397,0.5494488086455211,-1,FALSE,FALSE
ibc_br,atividade,1,19,-0.14240619421410697,-0.30485411873564533,0.27134846441735005,-0.47412162976841993,0.5336004363499725,-1,FALSE,FALSE
ibc_br,atividade,1,20,-0.1626917097384862,-0.31438446820022864,0.24561970814458597,-0.48316566719355364,0.5063524782114551,-1,FALSE,FALSE
ibc_br,atividade,1,21,-0.18100590748442905,-0.3295198263527599,0.2201314064922064,-0.495582693509898,0.48422755757322516,-1,FALSE,FALSE
ibc_br,atividade,1,22,-0.19750680389910066,-0.33308984673016007,0.1998592622521974,-0.5220114485880991,0.4472727672218646,-1,FALSE,FALSE
ibc_br,atividade,1,23,-0.21210019201758964,-0.34438798963284556,0.1794866096047538,-0.5196963797714145,0.4247253342529228,-1,FALSE,FALSE
ibc_br,atividade,1,24,-0.22469310283036276,-0.3486755042631712,0.16107589604146522,-0.5204816774036221,0.39521861141097475,-1,FALSE,FALSE
ibc_br,atividade,1,25,-0.23544448201874324,-0.3563287522603747,0.14239682687445693,-0.5261824052093187,0.3941590897143387,-1,FALSE,FALSE
ibc_br,atividade,1,26,-0.2443962763333763,-0.35911846938872455,0.1327473364324591,-0.5339894097501519,0.37497456224586967,-1,FALSE,FALSE
ibc_br,atividade,1,27,-0.25153258815984114,-0.3600009526570664,0.12810125632808336,-0.5318154822866565,0.35834855318481185,-1,FALSE,FALSE
ibc_br,atividade,1,28,-0.25695865827090125,-0.36000336001526984,0.12194545867598619,-0.5168251208368203,0.33628608281022326,-1,FALSE,FALSE
ibc_br,atividade,1,29,-0.2607531333128715,-0.35613267745725785,0.11239954522990858,-0.5206948365719778,0.3215876552944783,-1,FALSE,FALSE
ibc_br,atividade,1,30,-0.26296181701935134,-0.3484221171874876,0.10043130222999565,-0.5149675019095078,0.31444359048497184,-1,FALSE,FALSE
ibc_br,atividade,1,31,-0.2636753072182045,-0.33515235263576665,0.1041732841376834,-0.5114832853066879,0.2816505775065741,-1,FALSE,FALSE
ibc_br,atividade,1,32,-0.26298409488008156,-0.33245647966689806,0.09416008403136426,-0.5005476995450772,0.26628288732733,-1,FALSE,FALSE
ibc_br,atividade,1,33,-0.26096798182658715,-0.32784705204856673,0.09818408101457227,-0.4985410159719944,0.2661684520212383,-1,FALSE,FALSE
ibc_br,atividade,1,34,-0.2577218116643568,-0.31903433868248476,0.08949976907117276,-0.5010923635990047,0.257811530445191,-1,FALSE,FALSE
ibc_br,atividade,1,35,-0.25334406850034696,-0.3102337425634085,0.08353432043314077,-0.49637916115728764,0.2530826605032451,-1,FALSE,FALSE
ibc_br,atividade,1,36,-0.24793093368594055,-0.303075450972001,0.08967440657304163,-0.46894587423876377,0.25547377984358854,-1,FALSE,FALSE
ibc_br,atividade,1,37,-0.24158290386123238,-0.29005989984131986,0.08761477445261233,-0.4614065272203717,0.24258337229586382,-1,FALSE,FALSE
ibc_br,atividade,1,38,-0.2344021363262532,-0.28669394141181,0.09413977186513293,-0.45273745375355046,0.24265491603252476,-1,FALSE,FALSE
ibc_br,atividade,1,39,-0.2264895998755705,-0.27924719712036766,0.08905448798905834,-0.44387348959185274,0.24856916793323197,-1,FALSE,FALSE
ibc_br,atividade,1,40,-0.21794591885731604,-0.2684591897797624,0.10079515497372524,-0.43949893901314796,0.2519629074476836,-1,FALSE,FALSE
ibc_br,atividade,1,41,-0.20887056669921802,-0.2561106583963434,0.10525633816706331,-0.42676090421115526,0.247024252911825,-1,FALSE,FALSE
ibc_br,atividade,1,42,-0.19936050640922848,-0.243444587712355,0.10556211729678092,-0.42177884501088075,0.24706543974460124,-1,FALSE,FALSE
ibc_br,atividade,1,43,-0.18950971173502848,-0.2394948715092494,0.10495533765856173,-0.41090031976236696,0.24771839113320565,-1,FALSE,FALSE
ibc_br,atividade,1,44,-0.17940870708479653,-0.22540301331836904,0.10231379644907954,-0.401978196022631,0.25099744899424453,-1,FALSE,FALSE
ibc_br,atividade,1,45,-0.16914389978071306,-0.21280831346334247,0.11365705512405257,-0.38436153681239105,0.25632952861892705,-1,FALSE,FALSE
ibc_br,atividade,1,46,-0.15879706223746942,-0.2013914309434643,0.11849475233628898,-0.36285461365894367,0.2575493960173874,-1,FALSE,FALSE
ibc_br,atividade,1,47,-0.14844502205759175,-0.1976145774660852,0.12353907038730894,-0.35671402437467287,0.25373502598116043,-1,FALSE,FALSE
ibc_br,atividade,1,48,-0.13815935133733853,-0.1898141057909284,0.12863954948137024,-0.3522595899011511,0.25326602615724636,-1,FALSE,FALSE
icc,atividade,1,0,-0.7021426073736758,-1.4507454546087126,-0.39501046704585496,-1.8034722280855318,-0.0633498862745307,-1,TRUE,TRUE
icc,atividade,1,1,-0.6870036433737914,-1.884751663145647,-0.506917604566603,-2.3664567071843314,-0.0833055841262201,-1,TRUE,TRUE
