variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
add_fiscal,pre_covid,8,4,6,109,84,78,10.008657903606963,xi_mp_ge_10
add_fiscal,pre_covid,8,5,6,109,84,78,12.528251358378773,xi_mp_ge_10
add_fiscal,pre_covid,8,6,6,109,84,78,10.427688859081666,xi_mp_ge_10
add_fiscal,pre_covid,8,7,6,109,84,78,11.693814657502699,xi_mp_ge_10
add_fiscal,pre_covid,8,8,6,109,84,78,10.266545110925717,xi_mp_ge_10
add_imoveis,full,5,3,6,107,153,147,3.224655557353306,xi_mp_le_3.84
add_imoveis,full,5,4,6,107,153,147,4.515154059686261,xi_mp_3.84_10
add_imoveis,full,5,5,6,107,153,147,6.421087409840394,xi_mp_3.84_10
add_imoveis,full,6,3,6,107,153,147,2.114943488560195,xi_mp_le_3.84
add_imoveis,full,6,4,6,107,153,147,4.249232598715532,xi_mp_3.84_10
add_imoveis,full,6,5,6,107,153,147,4.542086446544299,xi_mp_3.84_10
add_imoveis,full,6,6,6,107,153,147,7.350654587077001,xi_mp_3.84_10
add_imoveis,full,7,3,6,107,153,147,2.360460530375353,xi_mp_le_3.84
add_imoveis,full,7,4,6,107,153,147,6.274141049238897,xi_mp_3.84_10
add_imoveis,full,7,5,6,107,153,147,7.331779351948443,xi_mp_3.84_10
add_imoveis,full,7,6,6,107,153,147,7.373404713746587,xi_mp_3.84_10
add_imoveis,full,7,7,6,107,153,147,10.327893806018277,xi_mp_ge_10
add_imoveis,full,8,3,6,107,153,147,7.1726721262603474,xi_mp_3.84_10
add_imoveis,full,8,4,6,107,153,147,7.0429242531530925,xi_mp_3.84_10
add_imoveis,full,8,5,6,107,153,147,8.258727453415467,xi_mp_3.84_10
add_imoveis,full,8,6,6,107,153,147,8.166742778258145,xi_mp_3.84_10
add_imoveis,full,8,7,6,107,153,147,8.740419600512512,xi_mp_3.84_10
add_imoveis,full,8,8,6,107,153,147,11.350262659180082,xi_mp_ge_10
add_imoveis,pre_covid,5,3,6,107,84,78,4.592411956498201,xi_mp_3.84_10
add_imoveis,pre_covid,5,4,6,107,84,78,7.417282767495914,xi_mp_3.84_10
add_imoveis,pre_covid,5,5,6,107,84,78,8.18179052225849,xi_mp_3.84_10
add_imoveis,pre_covid,6,3,6,107,84,78,5.834393102718717,xi_mp_3.84_10
add_imoveis,pre_covid,6,4,6,107,84,78,11.005049277251487,xi_mp_ge_10
add_imoveis,pre_covid,6,5,6,107,84,78,10.964327824876559,xi_mp_ge_10
add_imoveis,pre_covid,6,6,6,107,84,78,10.259701661355907,xi_mp_ge_10
add_imoveis,pre_covid,7,3,6,107,84,78,5.805634041228237,xi_mp_3.84_10
add_imoveis,pre_covid,7,4,6,107,84,78,14.217021987407126,xi_mp_ge_10
add_imoveis,pre_covid,7,5,6,107,84,78,14.128740970229648,xi_mp_ge_10
add_imoveis,pre_covid,7,6,6,107,84,78,12.321128440418468,xi_mp_ge_10
add_imoveis,pre_covid,7,7,6,107,84,78,12.288768531811684,xi_mp_ge_10
add_imoveis,pre_covid,8,3,6,107,84,78,4.637701034588794,xi_mp_3.84_10
add_imoveis,pre_covid,8,4,6,107,84,78,8.051201749678837,xi_mp_3.84_10
add_imoveis,pre_covid,8,5,6,107,84,78,8.680420663904837,xi_mp_3.84_10
add_imoveis,pre_covid,8,6,6,107,84,78,9.08578102050352,xi_mp_3.84_10
add_imoveis,pre_covid,8,7,6,107,84,78,9.221585610804583,xi_mp_3.84_10
add_imoveis,pre_covid,8,8,6,107,84,78,8.6438251919154,xi_mp_3.84_10
add_setor_externo,full,5,3,6,110,153,147,3.311633949105124,xi_mp_le_3.84
add_setor_externo,full,5,4,6,110,153,147,4.541125240797246,xi_mp_3.84_10
add_setor_externo,full,5,5,6,110,153,147,6.407186303912151,xi_mp_3.84_10
add_setor_externo,full,6,3,6,110,153,147,2.0966761699161993,xi_mp_le_3.84
add_setor_externo,full,6,4,6,110,153,147,4.1367586278246815,xi_mp_3.84_10
add_setor_externo,full,6,5,6,110,153,147,4.6713250319051864,xi_mp_3.84_10
add_setor_externo,full,6,6,6,110,153,147,7.757347315104907,xi_mp_3.84_10
add_setor_externo,full,7,3,6,110,153,147,7.657474159075384,xi_mp_3.84_10
add_setor_externo,full,7,4,6,110,153,147,6.452536922345781,xi_mp_3.84_10
add_setor_externo,full,7,5,6,110,153,147,7.216236013889006,xi_mp_3.84_10
add_setor_externo,full,7,6,6,110,153,147,7.375481623171399,xi_mp_3.84_10
add_setor_externo,full,7,7,6,110,153,147,11.089822641643261,xi_mp_ge_10
add_setor_externo,full,8,3,6,110,153,147,7.953688273375817,xi_mp_3.84_10
add_setor_externo,full,8,4,6,110,153,147,7.2979014193449165,xi_mp_3.84_10
add_setor_externo,full,8,5,6,110,153,147,8.377905097960811,xi_mp_3.84_10
add_setor_externo,full,8,6,6,110,153,147,8.41224632201302,xi_mp_3.84_10
add_setor_externo,full,8,7,6,110,153,147,8.355633637978151,xi_mp_3.84_10
add_setor_externo,full,8,8,6,110,153,147,11.624258592700327,xi_mp_ge_10
add_setor_externo,pre_covid,5,3,6,110,84,78,5.147312188423825,xi_mp_3.84_10
add_setor_externo,pre_covid,5,4,6,110,84,78,7.078609339279412,xi_mp_3.84_10
add_setor_externo,pre_covid,5,5,6,110,84,78,7.961160540361794,xi_mp_3.84_10
add_setor_externo,pre_covid,6,3,6,110,84,78,5.545561751673797,xi_mp_3.84_10
add_setor_externo,pre_covid,6,4,6,110,84,78,9.44079758863401,xi_mp_3.84_10
add_setor_externo,pre_covid,6,5,6,110,84,78,9.638188523448164,xi_mp_3.84_10
add_setor_externo,pre_covid,6,6,6,110,84,78,9.804501202107687,xi_mp_3.84_10
add_setor_externo,pre_covid,7,3,6,110,84,78,5.747993852529959,xi_mp_3.84_10
add_setor_externo,pre_covid,7,4,6,110,84,78,13.194837044779927,xi_mp_ge_10
add_setor_externo,pre_covid,7,5,6,110,84,78,12.908436882612765,xi_mp_ge_10
add_setor_externo,pre_covid,7,6,6,110,84,78,11.849723190014691,xi_mp_ge_10
add_setor_externo,pre_covid,7,7,6,110,84,78,11.853283487036514,xi_mp_ge_10
add_setor_externo,pre_covid,8,3,6,110,84,78,5.475843721659125,xi_mp_3.84_10
add_setor_externo,pre_covid,8,4,6,110,84,78,7.907536747733859,xi_mp_3.84_10
add_setor_externo,pre_covid,8,5,6,110,84,78,8.275514297552773,xi_mp_3.84_10
add_setor_externo,pre_covid,8,6,6,110,84,78,7.594789452968522,xi_mp_3.84_10
add_setor_externo,pre_covid,8,7,6,110,84,78,7.105822757541182,xi_mp_3.84_10
add_setor_externo,pre_covid,8,8,6,110,84,78,7.204285411858928,xi_mp_3.84_10
baseline,full,5,3,6,106,153,147,3.4192206888416528,xi_mp_le_3.84
baseline,full,5,4,6,106,153,147,4.769182441787656,xi_mp_3.84_10
baseline,full,5,5,6,106,153,147,6.3370738097498585,xi_mp_3.84_10
baseline,full,6,3,6,106,153,147,2.084170933234694,xi_mp_le_3.84
baseline,full,6,4,6,106,153,147,4.298856584721378,xi_mp_3.84_10
baseline,full,6,5,6,106,153,147,4.761065823966955,xi_mp_3.84_10
baseline,full,6,6,6,106,153,147,7.779200558810143,xi_mp_3.84_10
baseline,full,7,3,6,106,153,147,3.0555744360669035,xi_mp_le_3.84
baseline,full,7,4,6,106,153,147,6.4856238691564245,xi_mp_3.84_10
baseline,full,7,5,6,106,153,147,7.5846897957012676,xi_mp_3.84_10
baseline,full,7,6,6,106,153,147,7.647789722807889,xi_mp_3.84_10
baseline,full,7,7,6,106,153,147,10.921084317712499,xi_mp_ge_10
baseline,full,8,3,6,106,153,147,7.454977668593732,xi_mp_3.84_10
baseline,full,8,4,6,106,153,147,7.128886849111903,xi_mp_3.84_10
baseline,full,8,5,6,106,153,147,8.559835110213347,xi_mp_3.84_10
baseline,full,8,6,6,106,153,147,8.545692036110282,xi_mp_3.84_10
baseline,full,8,7,6,106,153,147,9.01879772755916,xi_mp_3.84_10
baseline,full,8,8,6,106,153,147,11.616311501254282,xi_mp_ge_10
baseline,pre_covid,5,3,6,106,84,78,5.243201155360743,xi_mp_3.84_10
baseline,pre_covid,5,4,6,106,84,78,7.88931536604886,xi_mp_3.84_10
baseline,pre_covid,5,5,6,106,84,78,8.037635734696558,xi_mp_3.84_10
baseline,pre_covid,6,3,6,106,84,78,5.855355197413249,xi_mp_3.84_10
baseline,pre_covid,6,4,6,106,84,78,11.134972059964694,xi_mp_ge_10
baseline,pre_covid,6,5,6,106,84,78,10.93653421765778,xi_mp_ge_10
baseline,pre_covid,6,6,6,106,84,78,10.441302423378616,xi_mp_ge_10
baseline,pre_covid,7,3,6,106,84,78,5.484589482095449,xi_mp_3.84_10
baseline,pre_covid,7,4,6,106,84,78,12.199502166299057,xi_mp_ge_10
baseline,pre_covid,7,5,6,106,84,78,12.047897795557175,xi_mp_ge_10
baseline,pre_covid,7,6,6,106,84,78,11.534896821694216,xi_mp_ge_10
baseline,pre_covid,7,7,6,106,84,78,11.553253838716406,xi_mp_ge_10
baseline,pre_covid,8,3,6,106,84,78,4.199535981639681,xi_mp_3.84_10
baseline,pre_covid,8,4,6,106,84,78,9.571743193659334,xi_mp_3.84_10
baseline,pre_covid,8,5,6,106,84,78,10.4974689377971,xi_mp_ge_10
baseline,pre_covid,8,6,6,106,84,78,11.078056723973596,xi_mp_ge_10
baseline,pre_covid,8,7,6,106,84,78,9.825095335875485,xi_mp_3.84_10
baseline,pre_covid,8,8,6,106,84,78,9.507919441567367,xi_mp_3.84_10
drop_near_duplicates,full,5,3,6,104,153,147,3.2415336205057486,xi_mp_le_3.84
drop_near_duplicates,full,5,4,6,104,153,147,4.883710497888623,xi_mp_3.84_10
drop_near_duplicates,full,5,5,6,104,153,147,6.182997408831719,xi_mp_3.84_10
drop_near_duplicates,full,6,3,6,104,153,147,1.9872509469746502,xi_mp_le_3.84
drop_near_duplicates,full,6,4,6,104,153,147,4.4307185075430215,xi_mp_3.84_10
drop_near_duplicates,full,6,5,6,104,153,147,5.168301585472553,xi_mp_3.84_10
drop_near_duplicates,full,6,6,6,104,153,147,7.993486516924326,xi_mp_3.84_10
drop_near_duplicates,full,7,3,6,104,153,147,3.127556975592608,xi_mp_le_3.84
drop_near_duplicates,full,7,4,6,104,153,147,6.970708368240727,xi_mp_3.84_10
drop_near_duplicates,full,7,5,6,104,153,147,7.836658621639616,xi_mp_3.84_10
drop_near_duplicates,full,7,6,6,104,153,147,7.941778825997358,xi_mp_3.84_10
drop_near_duplicates,full,7,7,6,104,153,147,10.96677200547431,xi_mp_ge_10
drop_near_duplicates,full,8,3,6,104,153,147,7.881646908890779,xi_mp_3.84_10
drop_near_duplicates,full,8,4,6,104,153,147,7.628463626521136,xi_mp_3.84_10
drop_near_duplicates,full,8,5,6,104,153,147,8.834926428711979,xi_mp_3.84_10
drop_near_duplicates,full,8,6,6,104,153,147,8.67964313749306,xi_mp_3.84_10
drop_near_duplicates,full,8,7,6,104,153,147,9.032727338289694,xi_mp_3.84_10
drop_near_duplicates,full,8,8,6,104,153,147,11.4187278769509,xi_mp_ge_10
drop_near_duplicates,pre_covid,5,3,6,104,84,78,6.199416597240485,xi_mp_3.84_10
drop_near_duplicates,pre_covid,5,4,6,104,84,78,6.302932732010675,xi_mp_3.84_10
drop_near_duplicates,pre_covid,5,5,6,104,84,78,4.7922042729599195,xi_mp_3.84_10
drop_near_duplicates,pre_covid,6,3,6,104,84,78,6.7908708084495215,xi_mp_3.84_10
drop_near_duplicates,pre_covid,6,4,6,104,84,78,10.673696573955734,xi_mp_ge_10
drop_near_duplicates,pre_covid,6,5,6,104,84,78,10.3095939871951,xi_mp_ge_10
drop_near_duplicates,pre_covid,6,6,6,104,84,78,9.711030355156334,xi_mp_3.84_10
drop_near_duplicates,pre_covid,7,3,6,104,84,78,5.699358847419701,xi_mp_3.84_10
