variante,var,bloco,h,point,lo68,hi68,lo90,hi90,sig68,sig90
prod,asset_idiv,acoes,41,-2.576821656928718,-2.964914361895313,0.7201617288317531,-4.558872305019998,2.3885006258192334,FALSE,FALSE
prod,asset_idiv,acoes,42,-2.5930554946461077,-2.9704413235452116,0.6852972824318943,-4.62193823722287,2.275004913488729,FALSE,FALSE
prod,asset_idiv,acoes,43,-2.5947695792798724,-2.939737358456513,0.5748207818061961,-4.750417920991713,2.075502591292252,FALSE,FALSE
prod,asset_idiv,acoes,44,-2.5824660652265603,-2.9603432419248685,0.4942183569352891,-4.766703491781366,2.0403269891299467,FALSE,FALSE
prod,asset_idiv,acoes,45,-2.55673611046614,-2.8949815339804794,0.44499377989257216,-4.609969332519975,2.1292863540881237,FALSE,FALSE
prod,asset_idiv,acoes,46,-2.518121062902613,-2.891107683063905,0.41142691104675677,-4.690586856767009,1.8672410507651982,FALSE,FALSE
prod,asset_idiv,acoes,47,-2.4674332525438722,-2.833459292664933,0.35990963604068976,-4.672332734905626,1.9067636535482533,FALSE,FALSE
prod,asset_idiv,acoes,48,-2.4053168460829055,-2.815612074483131,0.35503386747012844,-4.663253490857561,1.8487478037975082,FALSE,FALSE
prod,asset_ifix,acoes,0,-1.3106028057962482,-2.440817573566631,-0.7834540071311789,-3.3311408639341926,-0.23435377852793784,TRUE,TRUE
prod,asset_ifix,acoes,1,-1.4256536996813025,-2.1091985743863164,-0.621704476881553,-2.809351464046001,-0.10780680698706098,TRUE,TRUE
prod,asset_ifix,acoes,2,-0.8170505851470734,-1.5823496453445431,0.15530367710738133,-2.0942995909954942,0.9106403430288955,FALSE,FALSE
prod,asset_ifix,acoes,3,-1.3059848857660752,-1.8669566826225394,-0.16066409540035861,-2.377357233977693,0.4224720974665239,TRUE,FALSE
prod,asset_ifix,acoes,4,-0.8666051530315099,-1.4536945428871406,0.27144499653879217,-1.9575668758714688,0.874400377508447,FALSE,FALSE
prod,asset_ifix,acoes,5,-0.1452136130332563,-0.7900996290867646,0.8812989605708772,-1.3288723887339322,1.448087117236524,FALSE,FALSE
prod,asset_ifix,acoes,6,-0.16324442222474028,-0.9221467901725291,0.7101808815411184,-1.354159643068793,1.2876765720774637,FALSE,FALSE
prod,asset_ifix,acoes,7,0.15788643034461797,-0.5679124411382948,0.9728468398333054,-1.1010951990353481,1.5192910753056343,FALSE,FALSE
prod,asset_ifix,acoes,8,0.34164764886691945,-0.35587111037536134,1.1459345589406782,-0.9130100475636553,1.6563316934349608,FALSE,FALSE
prod,asset_ifix,acoes,9,0.22719037829611968,-0.48170543461490184,0.9646406942875162,-1.015347271584512,1.456751467538897,FALSE,FALSE
prod,asset_ifix,acoes,10,0.3869189760920787,-0.34644806843029685,1.0144029051559305,-0.8139688610662948,1.5178791576334243,FALSE,FALSE
prod,asset_ifix,acoes,11,0.38686068033941645,-0.35440103041349263,1.0134114087386759,-0.8643222029837536,1.5876542029343057,FALSE,FALSE
prod,asset_ifix,acoes,12,0.44075774912986565,-0.28444593604201973,1.0298369425911245,-0.836003471137395,1.6284705522806133,FALSE,FALSE
prod,asset_ifix,acoes,13,0.4296841132988313,-0.29200883154626267,1.042393067110388,-0.8103360075179,1.6135339671338802,FALSE,FALSE
prod,asset_ifix,acoes,14,0.3464018834597592,-0.31969866641073513,1.0366600498943792,-0.8848154285085053,1.615488108699832,FALSE,FALSE
prod,asset_ifix,acoes,15,0.33404830047449113,-0.34862257452052864,1.0374593947416393,-0.900461023633655,1.666622460033981,FALSE,FALSE
prod,asset_ifix,acoes,16,0.2691579448042091,-0.4119967577301489,1.0168890449325088,-0.9350160549924935,1.7034614717084093,FALSE,FALSE
prod,asset_ifix,acoes,17,0.2424705248754272,-0.4367586987097394,1.0177201983346693,-1.0347974904708785,1.7432045402429328,FALSE,FALSE
prod,asset_ifix,acoes,18,0.22131539337127853,-0.42314710311297066,1.0400586762548967,-0.9723776702303574,1.7435932137343813,FALSE,FALSE
prod,asset_ifix,acoes,19,0.15818766275375185,-0.4705523726496652,1.0534512622850074,-0.981182223402087,1.7424806152741006,FALSE,FALSE
prod,asset_ifix,acoes,20,0.12261271379639564,-0.47095209056282894,1.072636522521453,-0.9764834252676718,1.7270822949685738,FALSE,FALSE
prod,asset_ifix,acoes,21,0.07760769367242573,-0.49036916599458,1.0545102697156667,-0.9372161549952825,1.718569414832065,FALSE,FALSE
prod,asset_ifix,acoes,22,0.03275279630709478,-0.5169695959683578,1.0294503059029234,-0.985228736984778,1.7363384477423696,FALSE,FALSE
prod,asset_ifix,acoes,23,0.0010102273045357057,-0.5177954991168683,1.016554739770165,-0.9998345405788288,1.7249775675264585,FALSE,FALSE
prod,asset_ifix,acoes,24,-0.04105452864779413,-0.5464004104906608,1.0016424523635918,-1.043701373754107,1.706783511622446,FALSE,FALSE
prod,asset_ifix,acoes,25,-0.08082349563332432,-0.5561325876010227,0.9665068739356163,-1.0690535259140816,1.6934182466728296,FALSE,FALSE
prod,asset_ifix,acoes,26,-0.11870582674508282,-0.5761857681883462,0.9425086811426577,-1.1157777722717928,1.67974378608316,FALSE,FALSE
prod,asset_ifix,acoes,27,-0.1573919234408822,-0.615437839171357,0.9102689008647626,-1.1700408975272671,1.667238818014921,FALSE,FALSE
prod,asset_ifix,acoes,28,-0.19280757362440143,-0.6203106740518076,0.8833057763120394,-1.195632469905404,1.637400599864928,FALSE,FALSE
prod,asset_ifix,acoes,29,-0.22953940482092683,-0.6249335784722958,0.8414606730926693,-1.1813907767412608,1.5811908758550395,FALSE,FALSE
prod,asset_ifix,acoes,30,-0.2651983750328522,-0.630977064816363,0.7816643826727444,-1.1951989231508329,1.4730241035062885,FALSE,FALSE
prod,asset_ifix,acoes,31,-0.3000237657680577,-0.6468788727473621,0.7271103386267724,-1.214065211181003,1.4267686408174152,FALSE,FALSE
prod,asset_ifix,acoes,32,-0.3341487369406342,-0.6590177464843385,0.6819199012951451,-1.2324229866753462,1.3920958016305771,FALSE,FALSE
prod,asset_ifix,acoes,33,-0.3656027735602327,-0.681312753479846,0.6544589247410242,-1.2701839989577384,1.3383912090209202,FALSE,FALSE
prod,asset_ifix,acoes,34,-0.3960314629712853,-0.6991232447717861,0.6223212729413055,-1.3090670590112368,1.299864574126414,FALSE,FALSE
prod,asset_ifix,acoes,35,-0.42468268152629807,-0.7055412101979903,0.5614195418969766,-1.3119465274032698,1.2300730309319603,FALSE,FALSE
prod,asset_ifix,acoes,36,-0.4510297399918727,-0.7177715698811864,0.5202908956753582,-1.3232218037495065,1.1692292827259405,FALSE,FALSE
prod,asset_ifix,acoes,37,-0.47544329903156285,-0.7392045679348993,0.4750540693116659,-1.332622897224213,1.1129751902967626,FALSE,FALSE
prod,asset_ifix,acoes,38,-0.497026085164342,-0.7473040022969486,0.43773563136542526,-1.3470108243364973,1.062280011166652,FALSE,FALSE
prod,asset_ifix,acoes,39,-0.5159631493141221,-0.7460987813137875,0.39904602603330286,-1.3492579577454669,1.0146935007729725,FALSE,FALSE
prod,asset_ifix,acoes,40,-0.5322571991662115,-0.7515727264010079,0.3706211808773089,-1.3346445846293138,0.9718362568453203,FALSE,FALSE
prod,asset_ifix,acoes,41,-0.5455970171098645,-0.7675423734423301,0.321242937440117,-1.3367622791855174,0.9415904748613281,FALSE,FALSE
prod,asset_ifix,acoes,42,-0.5560804912096694,-0.7884428503847807,0.2780464665749277,-1.3416668044820512,0.9106759579397768,FALSE,FALSE
prod,asset_ifix,acoes,43,-0.5635402988166658,-0.7862607063882595,0.24002668833613583,-1.326828842543186,0.8524049509824942,FALSE,FALSE
prod,asset_ifix,acoes,44,-0.5679809646810035,-0.7822442918170338,0.21967936619133244,-1.2954003907329033,0.7981493100569793,FALSE,FALSE
prod,asset_ifix,acoes,45,-0.5694925966929021,-0.7998387791084812,0.21111987250600145,-1.256356204112029,0.7616142208708437,FALSE,FALSE
prod,asset_ifix,acoes,46,-0.5680896794800275,-0.7950604199395613,0.19328298471088462,-1.2531377423510552,0.7096043473703978,FALSE,FALSE
prod,asset_ifix,acoes,47,-0.5638899390774037,-0.8070274570686917,0.17035994266201268,-1.2407117772262668,0.6732526590037154,FALSE,FALSE
prod,asset_ifix,acoes,48,-0.5569581923094944,-0.8076102392240495,0.16111850185332774,-1.2053188265865606,0.6328259609874826,FALSE,FALSE
prod,asset_ifnc,acoes,0,-2.7006811170838465,-6.852507488313542,-1.373776767385109,-9.130975602806625,0.4168808205241485,TRUE,FALSE
prod,asset_ifnc,acoes,1,-2.2468985907726577,-4.89270650241394,-0.34706355446200127,-6.728765712060705,1.3139547571708512,TRUE,FALSE
prod,asset_ifnc,acoes,2,0.8662256234058944,-2.0000926939052617,3.1531974844667854,-3.989312657223759,4.905832634893449,FALSE,FALSE
prod,asset_ifnc,acoes,3,-1.3079601460011878,-3.641116093611885,1.560010492222942,-5.420612310317777,3.070842122312352,FALSE,FALSE
prod,asset_ifnc,acoes,4,-0.5229993603190907,-2.8325486330258727,2.3604775767236568,-4.4731241939290065,4.265282485367439,FALSE,FALSE
