ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations,rhs,residual,rhs_including_external_other_adjustments,residual_including_external_other_adjustments
2018-10-01,98914.45127203921,6106.708213529992,87492.75197681997,1624.00908659,0,95223.46927693996,3690.9819950992533,98914.45127129996,7.392518455162644e-7
2018-11-01,1912.2920810314827,50630.86155939001,-44550.49064495,-651.0000000100003,0,5429.370914430012,-3517.0788333985292,1912.2920814500117,-4.185289981251117e-7
2018-12-01,51425.683258090634,68041.94349713,-3499.9535051300004,-982,-1971.70465246,61588.28533954001,-10162.602081449375,51425.68325771001,3.8062717067077756e-7
2019-01-01,37634.43401334947,-26043.90567243996,69120.35149038001,-1261.00000001,0,41815.445817930056,-4181.011804580587,37634.43401377006,-4.2058672988787293e-7
2019-02-01,19361.215899209958,45012.92858044001,-26942.485472559994,-488,0,17582.44310788002,1778.7727913299386,19361.21589884002,3.699387889355421e-7
2019-03-01,2322.065826509148,62174.86874451001,-49380.46785591,-239.99999999999946,-1e-8,12554.400888590008,-10232.33506208086,2322.0658262300076,2.791402948787436e-7
2019-04-01,14543.526721810456,28047.73042219001,-15210.388971239998,759,-49.5727842,13546.768666750011,996.7580550604453,14543.526722880011,-1.0695548553485423e-6
2019-05-01,41886.56032684026,47557.783159629995,1491.53974789,-789,0,48260.32290751999,-6373.76258067973,41886.56032663999,2.002707333303988e-7
2019-06-01,48253.60582196107,30102.274595539995,34141.591949969996,-2239,0,62004.86654550999,-13751.26072354892,48253.60582163999,3.210807335563004e-7
2019-07-01,53884.0698115807,30262.63599192001,21151.957174469997,-1154.8528095700005,-3196.05906491,47063.68129191001,6820.388519670691,53884.06981213001,-5.493056960403919e-7
2019-08-01,-52071.110182201955,63644.333551439995,-113192.25560046999,8882.95049102,0,-40664.971558009995,-11406.13862419196,-52071.110181979995,-2.219603629782796e-7
2019-09-01,46083.75423580967,45920.142625269975,-7508.70936281,932,-1e-8,39343.43326244998,6740.320973359689,46083.75423493998,8.696879376657307e-7
2019-10-01,54111.45322643034,10885.30166977999,46627.606950810004,2807.9061029000004,0,60320.814723489995,-6209.361497059654,54111.45322683999,-4.0965096559375525e-7
2019-11-01,-7335.478797140066,53156.57205737999,-62820.04775744001,-1629.1812205699998,0,-11292.656920630016,3957.17812348995,-7335.478797450016,3.099503373960033e-7
2019-12-01,87257.36531627178,38432.91852832999,53727.957942789995,-609.1812205699998,0,91551.69525055,-4294.329934278212,87257.36531651,-2.3821485228836536e-7
2020-01-01,-92744.8371727406,-19120.39587976999,-65293.66087002,-433.67930268,-1182.34068261,-86030.07673507999,-6714.760437660618,-92744.83717210998,-6.306217983365059e-7
2020-02-01,-25881.664564851206,49355.25709097,-63526.9010973,-1119.41167146,0,-15291.055677789996,-10590.60888706121,-25881.664565059997,2.087908796966076e-7
2020-03-01,-125746.71036088932,79699.25154472004,-190170.05035034003,308.9487306699957,0,-110161.85007495,-15584.860285939329,-125746.71036092,3.0675437301397324e-8
2020-04-01,47904.86420662096,115819.64786166998,-59728.402790030006,-1935.23129856,-0.17818188,54155.83559119997,-6250.97138457901,47904.86420643997,1.8098944565281272e-7
2020-05-01,138138.56178278895,140400.71486215,1101.0464567000004,-683.87484096,0,140817.88647789,-2679.324695101037,138138.56178346,-6.71047018840909e-7
2020-06-01,192728.86484337924,210161.02235851,-12771.068340169999,-1805.68619845,-0.05221855,195584.21560134,-2855.350757960754,192728.86484311998,2.5925692170858383e-7
2020-07-01,146363.6742895916,86908.70933816001,71878.05037594002,-68.85246556999999,0,158717.90724853004,-12354.232958938432,146363.67428919004,4.0157465264201164e-7
2020-08-01,44950.66179420892,121878.89904039999,-71628.10698122001,-655.6427279900213,0,49595.149331189954,-4644.4875369810325,44950.66179485995,-6.510308594442904e-7
2020-09-01,64960.99255700968,103418.54136829,-45815.89710524001,787.0024389799999,-1e-8,58389.64670201999,6571.3458549896895,64960.99255638999,6.196933100000024e-7
2020-10-01,3166.9741203812882,30924.460459110025,-35111.11829402,1205.1470998799998,0,-2981.510735029977,6148.484855411265,3166.9741208700216,-4.887333489023149e-7
2020-11-01,132606.45946504828,20122.869036560038,118067.47937167001,638.4913317600001,-2.42445481,138826.41528518003,-6219.955820131756,132606.45946479004,2.5823828764259815e-7
2020-12-01,101787.68440918997,75808.00563949003,36462.965568340005,-1571.9243459400002,-131.67996369,110567.36689820004,-8779.682489010069,101787.68440930004,-1.1007068678736687e-7
2021-01-01,-87795.73970150948,-17928.250274579987,-74860.38537268998,410.8191084400005,-0.11445751,-92377.93099633997,4582.191294830496,-87795.73970082997,-6.795016815885901e-7
