ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_primary_result,dlsp_nominal_interest,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations
2019-01-01,37634.43401334947,-26043.90567243996,-46897.380755819955,20853.475083379995,69120.35149038001,-1261.00000001,0
2019-02-01,19361.215899209958,45012.92858044001,14930.793936970009,30082.134643470003,-26942.485472559994,-488,0
2019-03-01,2322.065826509148,62174.86874451001,18629.23513440001,43545.633610109995,-49380.46785591,-239.99999999999946,-1e-8
2019-04-01,14543.526721810456,28047.73042219001,-6637.075536010004,34684.80595820001,-15210.388971239998,759,-49.5727842
2019-05-01,41886.56032684026,47557.783159629995,13007.99035789,34549.79280174,1491.53974789,-789,0
2019-06-01,48253.60582196107,30102.274595539995,12706.221690939996,17396.0529046,34141.591949969996,-2239,0
2019-07-01,53884.0698115807,30262.63599192001,2762.9840662400147,27499.651925679995,21151.957174469997,-1154.8528095700005,-3196.05906491
2019-08-01,-52071.110182201955,63644.333551439995,13447.649061670005,50196.68448976999,-113192.25560046999,8882.95049102,0
2019-09-01,46083.75423580967,45920.142625269975,20540.692905429973,25379.44971984,-7508.70936281,932,-1e-8
2019-10-01,54111.45322643034,10885.30166977999,-9444.353781760008,20329.65545154,46627.606950810004,2807.9061029000004,0
2019-11-01,-7335.478797140066,53156.57205737999,15312.460972699999,37844.11108467999,-62820.04775744001,-1629.1812205699998,0
2019-12-01,87257.36531627178,38432.91852832999,13512.649427399992,24920.269100929996,53727.957942789995,-609.1812205699998,0
2020-01-01,-92744.8371727406,-19120.39587976999,-56275.82867813999,37155.43279837,-65293.66087002,-433.67930268,-1182.34068261
2020-02-01,-25881.664564851206,49355.25709097,20901.003684210005,28454.253406759995,-63526.9010973,-1119.41167146,0
2020-03-01,-125746.71036088932,79699.25154472004,23655.31767938004,56043.93386534,-190170.05035034003,308.9487306699957,0
2020-04-01,47904.86420662096,115819.64786166998,94302.55382767998,21517.09403399,-59728.402790030006,-1935.23129856,-0.17818188
2020-05-01,138138.56178278895,140400.71486215,131438.05680083,8962.658061319999,1101.0464567000004,-683.87484096,0
2020-06-01,192728.86484337924,210161.02235851,188681.51343198,21479.50892653,-12771.068340169999,-1805.68619845,-0.05221855
