dropped,block,sample,n_series,xi_mp,f_robust_mp,impact_mp,ar_bounded
trab_menos_de_1_mes,trabalho,pre_covid,110,10.539864385555779,9.259743153038661,7.878552387483618e-5,TRUE
trab_de_1_mes_a_menos_de_1_ano,trabalho,pre_covid,110,10.630631327368599,9.14071945901036,7.544034661190081e-5,TRUE
trab_de_1_ano_a_menos_de_2_anos,trabalho,pre_covid,110,9.84622620565523,8.049987559927532,7.096261968667318e-5,TRUE
trab_x2_anos_ou_mais,trabalho,pre_covid,110,9.25172377000512,7.415746833919587,6.387330533352714e-5,TRUE
price_ipca,precos,pre_covid,110,13.555683377251833,11.901798392060176,8.769243197674088e-5,TRUE
price_ipca_difusao,precos,pre_covid,110,11.418559507775234,9.498479777916726,7.627366091622521e-5,TRUE
price_core_ipca_ex0,precos,pre_covid,110,11.561791713540693,11.599780612496941,8.974151804229681e-5,TRUE
price_core_ipca_ex1,precos,pre_covid,110,10.795898077411895,9.767046623899525,8.047014772938804e-5,TRUE
price_core_ipca_dw,precos,pre_covid,110,10.64852496818435,10.160903383223403,8.268771405857136e-5,TRUE
price_igp_m,precos,pre_covid,110,11.772598983609791,12.149614841239003,9.194812783274558e-5,TRUE
price_ipc,precos,pre_covid,110,9.392493524753467,7.323115926053127,7.613116036250002e-5,TRUE
price_core_ipc,precos,pre_covid,110,9.285149083775972,7.554262436327403,6.972898636191697e-5,TRUE
price_incc,precos,pre_covid,110,10.551046417054645,9.033051388081024,7.668158035197207e-5,TRUE
price_inpc,precos,pre_covid,110,9.897812766406997,8.307393574389499,8.273153450938402e-5,TRUE
price_ipp,precos,pre_covid,110,9.04508419384783,7.197585529948549,6.479199176889417e-5,TRUE
commodity_agro,commodities,pre_covid,110,10.3292648283867,9.012703410032044,6.850248698100152e-5,TRUE
commodity_metal,commodities,pre_covid,110,11.541308987167918,9.962839076176438,7.945768068457959e-5,TRUE
commodity_energia,commodities,pre_covid,110,7.140037112049616,5.768700531927524,5.8046465536641733e-5,TRUE
asset_ibov,acoes,pre_covid,110,12.082255103707372,13.888599781280513,9.673120773487363e-5,TRUE
asset_idiv,acoes,pre_covid,110,12.111371840626727,13.727670015498948,9.866829343688502e-5,TRUE
asset_ifix,acoes,pre_covid,110,11.390432594945196,10.273929486051511,8.24084710541957e-5,TRUE
asset_ifnc,acoes,pre_covid,110,12.157694818705595,13.400051967941053,9.663398198857952e-5,TRUE
asset_imat,acoes,pre_covid,110,10.95225028600788,10.998930760878324,9.423099247403412e-5,TRUE
asset_imob,acoes,pre_covid,110,11.359901165444215,12.728175390908586,8.874567637351342e-5,TRUE
asset_smll,acoes,pre_covid,110,11.79137395224219,14.283213493207132,9.57948072518033e-5,TRUE
embi_perc,risco_externo,pre_covid,110,10.490595488913131,9.274052088832123,7.853027325846837e-5,TRUE
cds_5y,risco_externo,pre_covid,110,10.598691263234375,10.213898131090458,8.659345858878754e-5,TRUE
msci,risco_externo,pre_covid,110,11.251630194486484,10.088456735859122,8.210669185268875e-5,TRUE
sp500_vix,risco_externo,pre_covid,110,10.834839606352151,9.70177092685643,8.131426573169046e-5,TRUE
epu_brazil,epu,pre_covid,110,10.403615017587207,10.196607849146666,8.82559042110309e-5,TRUE
epu_canada,epu,pre_covid,110,10.647085170364976,9.167474459392983,7.64802247888556e-5,TRUE
epu_chile,epu,pre_covid,110,10.686900584274658,8.576004574613979,7.268032232064222e-5,TRUE
epu_china,epu,pre_covid,110,11.180430960076686,10.369002013801422,8.513746781556047e-5,TRUE
epu_germany,epu,pre_covid,110,10.397034172875141,10.354718242971881,9.057773597534172e-5,TRUE
epu_india,epu,pre_covid,110,10.96118359944029,9.810809815576565,8.171313686420902e-5,TRUE
epu_russia,epu,pre_covid,110,10.846291194416219,9.936037414187792,8.416498299744567e-5,TRUE
epu_us,epu,pre_covid,110,10.739365440231428,10.41298532115609,8.888000970116911e-5,TRUE
fiscal_dbgg,fiscal,pre_covid,110,9.896788301298388,9.016962240843164,7.957366074501165e-5,TRUE
fiscal_dlsp,fiscal,pre_covid,110,11.580986167251865,10.15977096814199,8.00172598872293e-5,TRUE
fiscal_primary_balance,fiscal,pre_covid,110,9.123522528573881,7.1326030480848885,6.701108664202892e-5,TRUE
expect_focus_ipca12m,expectativas,pre_covid,110,10.94195752740236,9.601405291082374,7.403928106670829e-5,TRUE
expect_focus_selic_ny,expectativas,pre_covid,110,6.724034223172105,5.444260720935632,5.5127168622951725e-5,TRUE
