sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_5y,37,-0.001672333300996871,-0.006510251049205594,0.0018487030109819295,-0.011979718107590501,0.006914618894390936,FALSE,FALSE
pre_covid,5,4,6,yield_5y,38,-0.001320199915955005,-0.006300745370485604,0.0020580379425523196,-0.012361346657411735,0.007445825330603893,FALSE,FALSE
pre_covid,5,4,6,yield_5y,39,-9.656105383875325e-4,-0.006195869697031586,0.0023474376675075657,-0.012672097502524656,0.00801336537683707,FALSE,FALSE
pre_covid,5,4,6,yield_5y,40,-6.102154650585695e-4,-0.0060904362741457585,0.002571622910675789,-0.012982902764870779,0.00822938269730618,FALSE,FALSE
pre_covid,5,4,6,yield_5y,41,-2.5417278697688415e-4,-0.005894446897788662,0.0029382288745266505,-0.012917997777008194,0.008648022296846976,FALSE,FALSE
pre_covid,5,4,6,yield_5y,42,1.0325620800952505e-4,-0.005606811080405168,0.0033408680063994425,-0.012810494073546529,0.00860215610587831,FALSE,FALSE
pre_covid,5,4,6,yield_5y,43,4.580994303256271e-4,-0.00540613883424354,0.0037889448174393027,-0.012616851826199212,0.0088128218751469,FALSE,FALSE
pre_covid,5,4,6,yield_5y,44,8.097953221905921e-4,-0.005003774801635431,0.0040132255101283125,-0.01291946791906506,0.009861072579623825,FALSE,FALSE
pre_covid,5,4,6,yield_5y,45,0.0011568660840360235,-0.0048375649538501845,0.004352612698715619,-0.012757541655742567,0.010685476915797304,FALSE,FALSE
pre_covid,5,4,6,yield_5y,46,0.001494334367112598,-0.004556250653613822,0.004709728357660618,-0.0130635580888183,0.011669568582402296,FALSE,FALSE
pre_covid,5,4,6,yield_5y,47,0.0018199955404257972,-0.00442261403504997,0.005056772405501435,-0.012359374832057604,0.012305760566801044,FALSE,FALSE
pre_covid,5,4,6,yield_5y,48,0.002130973368066529,-0.004050958346364605,0.005336519619663137,-0.011679011859286615,0.012666433954986567,FALSE,FALSE
pre_covid,5,4,6,asset_ibov,0,-14.207541993504103,-17.17676452450095,-6.821258775152624,-25.35714130861238,-3.6824394524597532,TRUE,TRUE
pre_covid,5,4,6,asset_ibov,1,-24.026688259474987,-29.913602759448974,-12.817007690290467,-42.07121625441377,-7.415759294778366,TRUE,TRUE
pre_covid,5,4,6,asset_ibov,2,-24.271711498535613,-33.52699770109792,-11.54291113431803,-47.863057471219754,-5.299784119412537,TRUE,TRUE
pre_covid,5,4,6,asset_ibov,3,-28.132083319281957,-41.12554815840311,-14.326739816733058,-58.789818857652925,-4.876823590488804,TRUE,TRUE
pre_covid,5,4,6,asset_ibov,4,-30.44476308949571,-46.64661567365569,-13.815085837714566,-71.36574841830836,-2.7403865710251427,TRUE,TRUE
pre_covid,5,4,6,asset_ibov,5,-27.245873062464064,-46.823488674327756,-9.52909834989983,-72.73270860151376,2.8707844701194705,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,6,-28.29240357372936,-51.03535327480533,-8.069759817082817,-77.935655723128,6.22452144428839,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,7,-30.40721349214476,-54.552947454859186,-7.238274834579014,-84.40881144974175,7.857133392008198,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,8,-31.793519296737728,-55.28357121900865,-5.7325402933695155,-88.11716062885972,11.738728021403576,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,9,-34.146915603383334,-57.94499315824429,-5.914167621389368,-93.13146470018253,15.046686291955675,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,10,-36.64081037143204,-58.18787655080395,-4.928281154203598,-100.00931986434308,17.75665929317215,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,11,-40.02695329903543,-59.20698787696922,-4.613105108188648,-105.89097923072907,19.211611498803066,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,12,-43.98408140452224,-62.63995935176572,-4.5569701287768485,-107.24011961413024,19.634842518822865,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,13,-47.41425649997254,-65.92605491495713,-3.5750322558784515,-113.95977346894571,22.859800917282406,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,14,-50.74843738391894,-67.70087968437855,-3.565050400660566,-115.71700417005779,24.060141991450113,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,15,-53.772419820700804,-69.47412249358553,-3.3568867177230284,-113.3139010226184,24.74263426082689,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,16,-56.220690668356745,-71.45929340278542,-3.765739030229601,-118.50002567634354,26.932234607522865,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,17,-58.40524571237273,-71.76688219507479,-3.529528199050275,-120.87058901163893,29.604280672478847,TRUE,FALSE
pre_covid,5,4,6,asset_ibov,18,-60.384667786971924,-74.68817152177408,-2.6103255770752556,-124.33174600202928,32.93026294498185,TRUE,FALSE
