sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
full,5,4,6,yield_2y,29,0.006341026686276492,-0.004492995456221751,0.013301279114472282,-0.014317542417158421,0.02246183238404652,FALSE,FALSE
full,5,4,6,yield_2y,30,0.00539309980113803,-0.005154744102504154,0.012121528137043692,-0.015220916032525724,0.021622120758364952,FALSE,FALSE
full,5,4,6,yield_2y,31,0.004439638852642695,-0.005862835567409468,0.010964398405756325,-0.01603035273683102,0.020773456282259635,FALSE,FALSE
full,5,4,6,yield_2y,32,0.0034919521822755427,-0.006818034287183146,0.01005104699031549,-0.01692282448567823,0.019501294403553044,FALSE,FALSE
full,5,4,6,yield_2y,33,0.002561996609095957,-0.007508864195698945,0.009170415969937609,-0.01780331594137702,0.01814589191939832,FALSE,FALSE
full,5,4,6,yield_2y,34,0.0016493306641412791,-0.008319284172085276,0.008195265584709671,-0.019435462543078805,0.01713469257048317,FALSE,FALSE
full,5,4,6,yield_2y,35,7.582519831532144e-4,-0.009020662372277624,0.0071435459921364375,-0.020788004495118143,0.01544862282140492,FALSE,FALSE
full,5,4,6,yield_2y,36,-1.0090351758443793e-4,-0.009885700724330268,0.006518738213054885,-0.02142436144699442,0.014732339138695176,FALSE,FALSE
full,5,4,6,yield_2y,37,-9.2360142126297e-4,-0.010473811014184216,0.005492070318051261,-0.021491494492917575,0.013905571632130057,FALSE,FALSE
full,5,4,6,yield_2y,38,-0.0017061507784287909,-0.01104683813612332,0.004674346925792948,-0.02150282786560482,0.01300127169857397,FALSE,FALSE
full,5,4,6,yield_2y,39,-0.002442991697892707,-0.011558633467599852,0.0038368343813265874,-0.022030043014809885,0.012637138587749678,FALSE,FALSE
full,5,4,6,yield_2y,40,-0.003131362423543918,-0.012048585419244848,0.003343119914978853,-0.02280263291904635,0.01127203726202165,FALSE,FALSE
full,5,4,6,yield_2y,41,-0.0037688731038860173,-0.012607581933734126,0.002824380237002294,-0.023594385681210663,0.009996850151307456,FALSE,FALSE
full,5,4,6,yield_2y,42,-0.004352078038747475,-0.013001144950362623,0.002467334616425679,-0.024331906324005902,0.009211022479190598,FALSE,FALSE
full,5,4,6,yield_2y,43,-0.004878985276872709,-0.01314819631528618,0.0018668724983839898,-0.024488877048706826,0.008460118994585904,FALSE,FALSE
full,5,4,6,yield_2y,44,-0.005348446012523048,-0.013511857879249498,0.0016489700072058818,-0.024379929047017166,0.007860779635056271,FALSE,FALSE
full,5,4,6,yield_2y,45,-0.005759562709575341,-0.013733531741159467,0.0013468527236342454,-0.024244336955099394,0.007006356299030635,FALSE,FALSE
full,5,4,6,yield_2y,46,-0.006112314261499681,-0.013965064295415091,0.0010481445504756692,-0.02354146465228729,0.006380204410205622,FALSE,FALSE
full,5,4,6,yield_2y,47,-0.006406906677416392,-0.014012508977075039,7.660810406577396e-4,-0.023735528681407107,0.005779100874717868,FALSE,FALSE
full,5,4,6,yield_2y,48,-0.006643771610194625,-0.013940327219440213,5.574700263257974e-4,-0.02384911877627453,0.005317870223145138,FALSE,FALSE
full,5,4,6,yield_5y,0,0.01409983081292384,0.010268612880731042,0.018478177616953938,0.00864102858948766,0.026665519771697895,TRUE,TRUE
full,5,4,6,yield_5y,1,0.015394374353652906,0.010577815463264365,0.019766313473618843,0.008507048147426302,0.0288614669552883,TRUE,TRUE
full,5,4,6,yield_5y,2,0.0120833280810317,0.007517656278744562,0.015578590254880975,0.005498231875352377,0.02101115980571618,TRUE,TRUE
full,5,4,6,yield_5y,3,0.01296518561828603,0.007871660158138265,0.01585498695093032,0.00545775037750647,0.02149629794622949,TRUE,TRUE
full,5,4,6,yield_5y,4,0.013289212544991059,0.006985099779297601,0.015510338820414204,0.004698045335651273,0.0214593441758676,TRUE,TRUE
full,5,4,6,yield_5y,5,0.013625426321186298,0.006913276612238997,0.015773392840175864,0.003917179551579423,0.02028505188698717,TRUE,TRUE
full,5,4,6,yield_5y,6,0.014649758206273067,0.0078072548884917815,0.01709139401435494,0.004486238957872765,0.02179224531503707,TRUE,TRUE
full,5,4,6,yield_5y,7,0.014543258717439864,0.007119053143296238,0.017193152764508123,0.0037325468052850576,0.02255312492899656,TRUE,TRUE
full,5,4,6,yield_5y,8,0.013321608344782883,0.00568822659785345,0.016606886208423006,0.0018945389568950333,0.021939010741441545,TRUE,TRUE
full,5,4,6,yield_5y,9,0.013046877775355471,0.00533372245237216,0.016960274361127063,0.0011447057224661782,0.022036989919070216,TRUE,TRUE
full,5,4,6,yield_5y,10,0.013041486278652117,0.005007497705698288,0.017202302388194375,0.0010957584881021952,0.02255657011864556,TRUE,TRUE
