ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_5y,6,0.01010895714874246,0.002934505724480326,0.01783176128921924,-0.00833271478022479,0.0338357141510678
GMR nao-gaussiano,yield_5y,7,0.009604401681281169,0.001211662918883481,0.018005832494375925,-0.01040074421020812,0.03586163544081052
GMR nao-gaussiano,yield_5y,8,0.009671270983449689,0.001185004840849956,0.01890948485158053,-0.012453424918106921,0.03779959607490914
GMR nao-gaussiano,yield_5y,9,0.009644858318753733,0.0012320091670395834,0.021927451011796883,-0.014427361017568663,0.04537610183686502
GMR nao-gaussiano,yield_5y,10,0.009426126271402045,3.593969398271779e-4,0.022360672244419247,-0.016713599323471204,0.04452326720789587
GMR nao-gaussiano,yield_5y,11,0.009226548838596147,-2.5333048467640216e-4,0.022685409733880786,-0.01794365282248221,0.04573649820783245
GMR nao-gaussiano,yield_5y,12,0.008712737051587378,-0.0013438250282232836,0.02259312632065156,-0.0197976373101592,0.048890485479188214
GMR nao-gaussiano,yield_5y,13,0.00817771263520763,-0.002030475377177011,0.022203666391487492,-0.024004683893727983,0.051351809675616054
GMR nao-gaussiano,yield_5y,14,0.007752611055750146,-0.002512670782780578,0.02245917800971102,-0.02527977363053934,0.05221377518156568
GMR nao-gaussiano,yield_5y,15,0.007367692837418498,-0.0028007437745677967,0.022523805759546406,-0.026951884339647326,0.05188969195925925
GMR nao-gaussiano,yield_5y,16,0.0069712134251114135,-0.003871883168428625,0.022074088299367196,-0.025847604613922034,0.05004510309087396
GMR nao-gaussiano,yield_5y,17,0.006478152890292924,-0.004832944179010473,0.02145605223612347,-0.02732966430205479,0.04969388918286642
GMR nao-gaussiano,yield_5y,18,0.0060356412334847944,-0.0053697850164075925,0.020788859205071435,-0.02664620845109253,0.049883676598869685
GMR nao-gaussiano,yield_5y,19,0.005624505926798442,-0.005724512164466815,0.021087345508222985,-0.0288783501474994,0.049024809048190746
GMR nao-gaussiano,yield_5y,20,0.005213835919273106,-0.006220056084499095,0.021032198826326315,-0.029651701299009674,0.04875010020509012
GMR nao-gaussiano,yield_5y,21,0.004848013039441994,-0.006762424093336577,0.019607325398037254,-0.030053465584654143,0.04689801054721956
GMR nao-gaussiano,yield_5y,22,0.004473716132469833,-0.00708297206245417,0.01880564958627682,-0.03162893146732633,0.043942441302509974
GMR nao-gaussiano,yield_5y,23,0.004099922583736764,-0.007761084543384594,0.01782120814162979,-0.03201380171739755,0.043598373695476304
GMR nao-gaussiano,yield_5y,24,0.0037492018877508856,-0.008225433177866587,0.017345104365347738,-0.03265404807313573,0.042242149849431886
GMR nao-gaussiano,yield_5y,25,0.003416895544027671,-0.007994809791123561,0.0168096036603779,-0.033123307937730294,0.04110500302823646
GMR nao-gaussiano,yield_5y,26,0.003109443111485321,-0.008407550505919643,0.016461046628492897,-0.03745030346134078,0.04013926733256798
GMR nao-gaussiano,yield_5y,27,0.002815151392482535,-0.009007099261820327,0.016117495587583595,-0.040364947081182934,0.03949515378154712
GMR nao-gaussiano,yield_5y,28,0.00253288793819346,-0.009150976890057777,0.016005830455044393,-0.03795135968649209,0.03978435088065267
GMR nao-gaussiano,yield_5y,29,0.002270633333733448,-0.009426231132598387,0.015571900901941285,-0.03603938184990566,0.039277132257999794
GMR nao-gaussiano,yield_5y,30,0.0020271046956824804,-0.00963982676526696,0.014620853396311199,-0.03635856687387067,0.03727991690988149
GMR nao-gaussiano,yield_5y,31,0.0018035241324407458,-0.009977112875466156,0.013539114683952013,-0.038498427876449026,0.0366883045230114
GMR nao-gaussiano,yield_5y,32,0.0015983430365124715,-0.010335772627775856,0.013110018546277103,-0.03785181828325793,0.03610199504903219
GMR nao-gaussiano,yield_5y,33,0.0014102349346084076,-0.010359422268474704,0.012455012660779011,-0.03708707892108897,0.03522134853622272
GMR nao-gaussiano,yield_5y,34,0.0012397132687466915,-0.010934948889994989,0.01197772910434387,-0.03741338158173771,0.03393291472392669
GMR nao-gaussiano,yield_5y,35,0.0010860635208495872,-0.010399056695592806,0.011359780185655427,-0.036425795640374126,0.032371896967472225
GMR nao-gaussiano,yield_5y,36,9.501212236196738e-4,-0.010476736195280613,0.010737436150778655,-0.03571737135552345,0.03145682522820999
GMR nao-gaussiano,yield_5y,37,8.306217714536417e-4,-0.010208502363481656,0.009979118841215244,-0.03488562822214708,0.030793522540437532
GMR nao-gaussiano,yield_5y,38,7.255388519329717e-4,-0.009787065095633705,0.009579398971434427,-0.03251866185568137,0.030572210216725102
GMR nao-gaussiano,yield_5y,39,6.345273723324703e-4,-0.009876574178366218,0.009052360411518412,-0.03187375163720822,0.029501809664793197
GMR nao-gaussiano,yield_5y,40,5.56634026989027e-4,-0.00995751314037338,0.008525094695329598,-0.031257561293576465,0.028250022786011592
GMR nao-gaussiano,yield_5y,41,4.909159713463586e-4,-0.010077508491281669,0.008238633541582285,-0.0318393152296705,0.02796518910114595
GMR nao-gaussiano,yield_5y,42,4.3638623614986364e-4,-0.009970685296442279,0.007798037078586773,-0.03263676013453751,0.02768595560628712
GMR nao-gaussiano,yield_5y,43,3.9171042966666843e-4,-0.009886253927654812,0.00711206576207772,-0.0294968885700953,0.028831958535101274
GMR nao-gaussiano,yield_5y,44,3.558172947643054e-4,-0.009234701335549652,0.006980660887165131,-0.0309481965638449,0.02813433715934515
