cell_id,cell,reference_cell,comparison,var,h,point,reference_point,difference_vs_reference
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,2,0.007040935355332527,0.006774077168744879,2.6685818658764814e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,2,0.08939677298812929,0.10683691598793219,-0.0174401429998029
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,2,17.114927299680055,21.14404108706679,-4.029113787386734
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,3,-8.188739538152467e-4,-0.2519099076664081,0.25109103371259284
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,3,0.056509460552425755,0.053724853512254665,0.00278460704017109
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,3,0.007395038263445101,0.007009236323779014,3.85801939666087e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,3,0.073702440389673,0.08995997207943392,-0.01625753168976092
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,3,15.670321378661104,19.172913524077032,-3.502592145415928
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,4,0.03945857128421164,-0.2037843481700925,0.24324291945430415
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,4,0.04966322435352474,0.049430004049196,2.3322030432874202e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,4,0.007659274110403121,0.007171577170474071,4.876969399290505e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,4,0.059271209191639654,0.07347567431793864,-0.014204465126298985
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,4,14.48888311831288,17.442663080998166,-2.953779962685285
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,5,0.06368835857793313,-0.17006562550607404,0.23375398408400716
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,5,0.04189783866159604,0.042946246572511844,-0.0010484079109158023
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,5,0.007852981993100916,0.007279832507892535,5.731494852083806e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,5,0.04691234526601473,0.05932230732330805,-0.01240996205729332
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,5,13.559871207255812,16.034523079818022,-2.4746518725622106
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,6,0.08113370466155315,-0.1438591761271041,0.22499288078865726
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,6,0.03461945131208061,0.03609718961589048,-0.0014777383038098724
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,6,0.00797911328746002,0.007333262905077553,6.458503823824676e-4
