panel,variable,h,point
baseline_111,yield_6m,26,-0.003200958344787604
baseline_111,yield_6m,27,-0.0036753700139564383
baseline_111,yield_6m,28,-0.004103983269709989
baseline_111,yield_6m,29,-0.004485841033941588
baseline_111,yield_6m,30,-0.0048205206770071405
baseline_111,yield_6m,31,-0.0051080279122749294
baseline_111,yield_6m,32,-0.005348810207689085
baseline_111,yield_6m,33,-0.0055437206340849575
baseline_111,yield_6m,34,-0.005693964714953516
baseline_111,yield_6m,35,-0.005801072655808698
baseline_111,yield_6m,36,-0.005866857048537237
baseline_111,yield_6m,37,-0.005893371963844844
baseline_111,yield_6m,38,-0.005882877103792462
baseline_111,yield_6m,39,-0.005837798749006409
baseline_111,yield_6m,40,-0.005760694445743277
baseline_111,yield_6m,41,-0.0056542197413057835
baseline_111,yield_6m,42,-0.005521095471009107
baseline_111,yield_6m,43,-0.0053640783080004676
baseline_111,yield_6m,44,-0.005185933326269035
baseline_111,yield_6m,45,-0.004989408337784516
baseline_111,yield_6m,46,-0.004777210943358084
baseline_111,yield_6m,47,-0.004551987730169766
baseline_111,yield_6m,48,-0.00431630555612455
baseline_111,yield_1y,0,0.006287527107151404
baseline_111,yield_1y,1,0.007708940647204405
baseline_111,yield_1y,2,0.00847854945686531
baseline_111,yield_1y,3,0.009794147130273486
baseline_111,yield_1y,4,0.010240692082840156
baseline_111,yield_1y,5,0.010217420217402556
baseline_111,yield_1y,6,0.010242682578001773
baseline_111,yield_1y,7,0.009937698746754653
baseline_111,yield_1y,8,0.009398314780951038
baseline_111,yield_1y,9,0.008777756302816617
baseline_111,yield_1y,10,0.008047355055586134
baseline_111,yield_1y,11,0.007242675835300524
baseline_111,yield_1y,12,0.006396934199640979
baseline_111,yield_1y,13,0.005522673687953554
baseline_111,yield_1y,14,0.0046372297308997145
baseline_111,yield_1y,15,0.003746866949877356
baseline_111,yield_1y,16,0.0028634597423024774
baseline_111,yield_1y,17,0.0019965504521861645
baseline_111,yield_1y,18,0.0011493176287848761
baseline_111,yield_1y,19,3.2910072545842405e-4
baseline_111,yield_1y,20,-4.583029789438444e-4
baseline_111,yield_1y,21,-0.0012100133700976752
baseline_111,yield_1y,22,-0.0019214599344972252
baseline_111,yield_1y,23,-0.0025888470840635396
baseline_111,yield_1y,24,-0.00320983964315307
baseline_111,yield_1y,25,-0.003781824249800532
baseline_111,yield_1y,26,-0.004302747005646831
baseline_111,yield_1y,27,-0.004771436459267007
baseline_111,yield_1y,28,-0.00518702008607921
baseline_111,yield_1y,29,-0.005549117921561803
baseline_111,yield_1y,30,-0.005857952614202244
baseline_111,yield_1y,31,-0.006114164850108581
baseline_111,yield_1y,32,-0.006318811557981727
baseline_111,yield_1y,33,-0.006473369710281169
baseline_111,yield_1y,34,-0.006579664022141451
baseline_111,yield_1y,35,-0.006639823268953873
baseline_111,yield_1y,36,-0.006656245729417758
baseline_111,yield_1y,37,-0.006631553470938426
baseline_111,yield_1y,38,-0.006568547784983122
baseline_111,yield_1y,39,-0.006470169047505954
baseline_111,yield_1y,40,-0.0063394596075141176
baseline_111,yield_1y,41,-0.006179526753578876
baseline_111,yield_1y,42,-0.005993508304627307
baseline_111,yield_1y,43,-0.005784542508862816
baseline_111,yield_1y,44,-0.005555739540990225
baseline_111,yield_1y,45,-0.00531015533897849
baseline_111,yield_1y,46,-0.005050768947823554
baseline_111,yield_1y,47,-0.004780462133457688
baseline_111,yield_1y,48,-0.004502001304328131
baseline_111,yield_2y,0,0.0072818768605230405
baseline_111,yield_2y,1,0.00880090748602107
baseline_111,yield_2y,2,0.00893956547244175
baseline_111,yield_2y,3,0.010512101426715745
baseline_111,yield_2y,4,0.010867167282974113
baseline_111,yield_2y,5,0.010467949166188687
baseline_111,yield_2y,6,0.010358008158253234
baseline_111,yield_2y,7,0.009914949081293103
baseline_111,yield_2y,8,0.009132971018330613
baseline_111,yield_2y,9,0.00834525720672251
baseline_111,yield_2y,10,0.007490703043753512
baseline_111,yield_2y,11,0.006550762650302041
baseline_111,yield_2y,12,0.005603472124477015
baseline_111,yield_2y,13,0.004658880860871214
baseline_111,yield_2y,14,0.0037176165160065656
baseline_111,yield_2y,15,0.0027911051577494965
baseline_111,yield_2y,16,0.0018917288333745934
baseline_111,yield_2y,17,0.0010234477457525192
baseline_111,yield_2y,18,1.875048255166811e-4
baseline_111,yield_2y,19,-6.092190280441497e-4
baseline_111,yield_2y,20,-0.0013632350028718663
baseline_111,yield_2y,21,-0.0020737885285631334
baseline_111,yield_2y,22,-0.0027371969187933677
baseline_111,yield_2y,23,-0.0033508297490203853
baseline_111,yield_2y,24,-0.003913815175503986
baseline_111,yield_2y,25,-0.004424414989484835
baseline_111,yield_2y,26,-0.004881355900482528
baseline_111,yield_2y,27,-0.005284428282493733
baseline_111,yield_2y,28,-0.0056335011079014065
baseline_111,yield_2y,29,-0.005928815097172242
baseline_111,yield_2y,30,-0.006171260120399757
baseline_111,yield_2y,31,-0.006362060536246509
baseline_111,yield_2y,32,-0.006502768960836879
baseline_111,yield_2y,33,-0.006595337567307818
baseline_111,yield_2y,34,-0.006642015211200024
baseline_111,yield_2y,35,-0.006645290298980663
baseline_111,yield_2y,36,-0.00660787712607807
baseline_111,yield_2y,37,-0.006532666953358165
baseline_111,yield_2y,38,-0.006422677688926667
