ref.date,dlsp_exchange_adjustment,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,sublines_sum,rounding_difference,dlsp_exchange_adjustment_adjusted
2020-01-01,-65293.66087002,654.9143043700001,-65948.57517439,-65293.66087002,0,-65293.66087002
2020-02-01,-63526.9010973,646.9318154299999,-64173.832912729995,-63526.9010973,0,-63526.9010973
2020-03-01,-190170.05035034003,635.4612114499996,-190805.51156179002,-190170.05035034003,0,-190170.05035034003
2020-04-01,-59728.402790030006,-256.1788353499999,-59472.223954680005,-59728.402790030006,0,-59728.402790030006
2020-05-01,1101.0464567000004,-461.90414928,1562.9506059800003,1101.0464567000004,0,1101.0464567000004
2020-06-01,-12771.068340169999,330.8891418,-13101.95748197,-12771.068340169999,0,-12771.068340169999
2020-07-01,71878.05037594002,-674.8985788699999,72552.94895481001,71878.05037594002,0,71878.05037594002
2020-08-01,-71628.10698122001,731.4868833199998,-72359.59386454002,-71628.10698122001,0,-71628.10698122001
2020-09-01,-45815.89710524001,435.10406932,-46251.001174560006,-45815.89710524001,0,-45815.89710524001
2020-10-01,-35111.11829402,323.09674015999997,-35434.21503418,-35111.11829402,0,-35111.11829402
2020-11-01,118067.47937167001,-1085.9691037099997,119153.44847538,118067.47937167001,0,118067.47937167001
2020-12-01,36462.965568340005,-377.2364842200001,36840.20205256,36462.965568340005,0,36462.965568340005
2021-01-01,-74860.38537268998,429.85698925999986,-75290.24236194999,-74860.38537268998,0,-74860.38537268998
2021-02-01,-14742.995830450001,95.02364285000004,-14838.0194733,-14742.995830450001,0,-14742.995830450001
2021-03-01,-44788.73508717,278.46138605,-45067.19647322,-44788.73508717,0,-44788.73508717
2021-04-01,77761.22325543001,-493.23150531999977,78254.45476075001,77761.22325543001,0,77761.22325543001
2021-05-01,45891.59990974,-288.01695291,46179.61686265,45891.59990974,0,45891.59990974
2021-06-01,61854.49855584,-396.01799729000004,62250.51655313,61854.49855584,0,61854.49855584
2021-07-01,-31765.148105750002,214.04984290000016,-31979.197948650002,-31765.148105750002,0,-31765.148105750002
