var,h,winner,runnerup
asset_ifnc,12,-16.74112339785966,32.01605858159238
asset_ifnc,13,-16.74877447713521,36.5453640122981
asset_ifnc,14,-16.504935502554748,41.46709698668079
asset_ifnc,15,-16.627995069509005,46.03575576743391
asset_ifnc,16,-16.89327566184118,49.93187722336602
asset_ifnc,17,-17.03752439051797,54.14000061313502
asset_ifnc,18,-17.03920574086658,58.02017918786366
asset_ifnc,19,-16.98899679012238,61.814802359345386
asset_ifnc,20,-16.86970196543075,65.54961594397317
asset_ifnc,21,-16.767783420281486,69.01189292695766
asset_ifnc,22,-16.6379119649545,72.33180738705818
asset_ifnc,23,-16.357260475736567,75.5353525621067
asset_ifnc,24,-16.022025656310934,78.6177019062156
asset_ifnc,25,-15.620763847059605,81.58394329547173
asset_ifnc,26,-15.137801553328584,84.42116761486243
asset_ifnc,27,-14.634067724455477,87.08642004094199
asset_ifnc,28,-14.063624973228277,89.57890361084469
asset_ifnc,29,-13.425191353340244,91.92976003289928
asset_ifnc,30,-12.761045298692647,94.06933760142354
asset_ifnc,31,-12.065597106221313,96.01149805491931
asset_ifnc,32,-11.347108760390288,97.75948687446405
asset_ifnc,33,-10.622049997804108,99.26987637661955
asset_ifnc,34,-9.885514787511692,100.55977315877773
asset_ifnc,35,-9.145773005444951,101.62487884660574
asset_ifnc,36,-8.42230738900284,102.44439186891618
asset_ifnc,37,-7.7167335224691564,103.02578707182928
asset_ifnc,38,-7.033890061953883,103.3681461491237
asset_ifnc,39,-6.384164072745216,103.46978248645759
asset_ifnc,40,-5.7669527618883984,103.3397103968493
asset_ifnc,41,-5.18696548637948,102.98510843837083
asset_ifnc,42,-4.650674335431307,102.41068184293276
asset_ifnc,43,-4.1571679434776465,101.6299526900643
asset_ifnc,44,-3.7081230416514797,100.65604327842425
asset_ifnc,45,-3.30509910061756,99.50076745092957
asset_ifnc,46,-2.946765474879363,98.18157667826199
asset_ifnc,47,-2.633375704738579,96.71407910721997
asset_ifnc,48,-2.3643522172563065,95.11351372970752
asset_imat,0,-5.592928820659258,-8.997084261221751
asset_imat,1,-4.674759778384534,-13.194069439420492
asset_imat,2,-1.5631593511951873,-7.098524196897007
asset_imat,3,0.4752401907900019,-4.054252512076346
asset_imat,4,2.408645420721346,-1.3929692208804583
asset_imat,5,3.6324279404842645,3.755361277946942
asset_imat,6,4.9141272547639305,5.917928466086719
asset_imat,7,6.324390221849563,8.125477778262942
asset_imat,8,8.745602657478715,10.278929135271053
asset_imat,9,10.445921217404083,12.1808737758231
asset_imat,10,11.495885027412639,13.012261251306473
asset_imat,11,12.926177988853837,13.64221576872437
asset_imat,12,14.221503124030502,14.05171846940107
asset_imat,13,15.366058225018111,13.438480179893364
asset_imat,14,16.356858193848385,12.612762076242923
asset_imat,15,17.004649204775106,11.143487283027016
asset_imat,16,17.35494551692795,8.90616248706493
asset_imat,17,17.66041980888883,6.478362291161013
asset_imat,18,17.95098651201973,3.679572733008722
asset_imat,19,18.15172595419852,0.621760924963893
asset_imat,20,18.32212902721623,-2.6087343692595595
asset_imat,21,18.401687797520914,-5.987648872163012
asset_imat,22,18.42186677328238,-9.443368818377595
asset_imat,23,18.454158320856724,-12.89094576172233
asset_imat,24,18.437805614824608,-16.321698632408772
asset_imat,25,18.38540361219985,-19.71340022495622
asset_imat,26,18.324114479301848,-23.044056285325347
asset_imat,27,18.23840686166316,-26.33670921525918
asset_imat,28,18.161747414275553,-29.558407184422446
asset_imat,29,18.109060063525572,-32.668292550709694
asset_imat,30,18.062732317392314,-35.688123392844915
asset_imat,31,18.030179211716195,-38.58967889688935
asset_imat,32,18.013306982446558,-41.35597290297634
asset_imat,33,18.000698137241127,-44.003547288819874
asset_imat,34,17.996474177379085,-46.525310149898466
asset_imat,35,17.997628950002703,-48.924458336720264
asset_imat,36,17.992978291394422,-51.219859541171374
asset_imat,37,17.98514821636293,-53.41432065935218
asset_imat,38,17.97478599119648,-55.51286211358947
asset_imat,39,17.95786732837913,-57.52398185889093
asset_imat,40,17.936500850205746,-59.44750175146086
asset_imat,41,17.90943525156799,-61.2848398056556
asset_imat,42,17.873094773651886,-63.04074511432574
asset_imat,43,17.827712233923513,-64.71467907574406
asset_imat,44,17.771957324764916,-66.307703321829507
asset_imat,45,17.704028346053654,-67.82281197958375
asset_imat,46,17.62427985024737,-69.26017074061126
