ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_2y,4,0.006104458660243464,-4.0051072258949705e-4,0.011108273584127778,-0.012607045453835014,0.028955585749704887
GMR nao-gaussiano,yield_2y,5,0.006016617444554011,-8.94621334388156e-4,0.010815567833152387,-0.010232577368402369,0.045271710381279195
GMR nao-gaussiano,yield_2y,6,0.007315581611085474,-0.001497646537730608,0.011121938768717332,-0.018236586457633163,0.029601446205056395
GMR nao-gaussiano,yield_2y,7,0.006245117022341214,-0.0032632576330115614,0.01084241938976497,-0.034026426507578166,0.026032639830214418
GMR nao-gaussiano,yield_2y,8,0.004929247715929916,-0.004605503297704247,0.009409836938100165,-0.03122345044345096,0.023856262485591653
GMR nao-gaussiano,yield_2y,9,0.005009232755733957,-0.00570595769235651,0.009123610100016695,-0.03952530501334598,0.023951226101918046
GMR nao-gaussiano,yield_2y,10,0.004333876994401188,-0.007795493728446658,0.009289377754344423,-0.04041990747659088,0.021762435759638946
GMR nao-gaussiano,yield_2y,11,0.003915220271744065,-0.009209938589792811,0.008183288747449604,-0.040682478768398485,0.023950247123480067
GMR nao-gaussiano,yield_2y,12,0.0043011950077265874,-0.010209456763866216,0.008226362534240951,-0.047656793493499376,0.024693650158036724
GMR nao-gaussiano,yield_2y,13,0.003457907811790561,-0.013360180747785722,0.008346265385761782,-0.050006141551187135,0.02399310169994414
GMR nao-gaussiano,yield_2y,14,0.002975396347610837,-0.01418463617376736,0.0076345039329970416,-0.050696784570086896,0.028687059706158965
GMR nao-gaussiano,yield_2y,15,0.002907834629805136,-0.01525252228626956,0.008764337248257988,-0.04880355140857788,0.033852075774119895
GMR nao-gaussiano,yield_2y,16,0.002718613659917445,-0.013814129504824722,0.00950162692109864,-0.048179845925768156,0.033101776229382096
GMR nao-gaussiano,yield_2y,17,0.002611203733346134,-0.013110578311644545,0.009749373307055682,-0.044288455916218696,0.04024341750188787
GMR nao-gaussiano,yield_2y,18,0.0025392025281473435,-0.011875571885588463,0.010087391137186348,-0.04167772575752284,0.04114000547649594
GMR nao-gaussiano,yield_2y,19,0.002397089025473985,-0.013565265158821317,0.009422278977853298,-0.041668410472752423,0.043729464571619234
GMR nao-gaussiano,yield_2y,20,0.0022710689608547866,-0.013408628803044956,0.00973000318745617,-0.04317733893324123,0.04349671541213402
GMR nao-gaussiano,yield_2y,21,0.002353711411291954,-0.01280743321042177,0.009476602782870219,-0.04552339466796857,0.03772965624419866
GMR nao-gaussiano,yield_2y,22,0.0023045849147918414,-0.0121026916600994,0.009478346097238938,-0.04676830086448689,0.03286789563717586
GMR nao-gaussiano,yield_2y,23,0.0022328364030412087,-0.012576846887846035,0.010045485348348685,-0.0450582240637319,0.02947426454642294
