sample,instrument,exercise,key,n_used,wald_mp
full,z_jk_raw,hac,5,147,7.931103426877795
full,z_jk_raw,hac,6,147,8.094380117307303
full,z_jk_raw_purif,baseline,NA,147,6.343058817023945
full,z_jk_raw_purif,loo,2013-07,146,6.357854516621823
full,z_jk_raw_purif,loo,2013-08,146,6.356340529670921
full,z_jk_raw_purif,loo,2013-09,146,6.2571100504195085
full,z_jk_raw_purif,loo,2013-10,146,6.3554979140744265
full,z_jk_raw_purif,loo,2013-11,146,6.316008207338144
full,z_jk_raw_purif,loo,2013-12,146,6.30998302828075
full,z_jk_raw_purif,loo,2014-01,146,6.135767775348424
full,z_jk_raw_purif,loo,2014-02,146,5.89765331358634
full,z_jk_raw_purif,loo,2014-03,146,6.3453863301630955
full,z_jk_raw_purif,loo,2014-04,146,6.1399052734052875
full,z_jk_raw_purif,loo,2014-05,146,6.347030321695534
full,z_jk_raw_purif,loo,2014-06,146,6.260559949116587
full,z_jk_raw_purif,loo,2014-07,146,5.893867465575549
full,z_jk_raw_purif,loo,2014-08,146,6.340226291300296
full,z_jk_raw_purif,loo,2014-09,146,6.350173429459356
full,z_jk_raw_purif,loo,2014-10,146,6.359340031428532
full,z_jk_raw_purif,loo,2014-11,146,6.374245134217431
full,z_jk_raw_purif,loo,2014-12,146,6.43959384599727
full,z_jk_raw_purif,loo,2015-01,146,6.270673266779684
full,z_jk_raw_purif,loo,2015-02,146,6.4401010704889865
full,z_jk_raw_purif,loo,2015-03,146,6.305465258342717
full,z_jk_raw_purif,loo,2015-04,146,6.174679143606551
full,z_jk_raw_purif,loo,2015-05,146,6.316822090013448
full,z_jk_raw_purif,loo,2015-06,146,6.338349670195174
full,z_jk_raw_purif,loo,2015-07,146,6.347699078037816
full,z_jk_raw_purif,loo,2015-08,146,6.384311040706837
full,z_jk_raw_purif,loo,2015-09,146,6.707090337277733
full,z_jk_raw_purif,loo,2015-10,146,6.22033318716981
full,z_jk_raw_purif,loo,2015-11,146,6.226981622985487
full,z_jk_raw_purif,loo,2015-12,146,6.18249554683537
full,z_jk_raw_purif,loo,2016-01,146,5.007774200259433
full,z_jk_raw_purif,loo,2016-02,146,6.382024854125696
full,z_jk_raw_purif,loo,2016-03,146,6.291124417839147
full,z_jk_raw_purif,loo,2016-04,146,6.312564960287299
full,z_jk_raw_purif,loo,2016-05,146,6.030834012853708
full,z_jk_raw_purif,loo,2016-06,146,6.6405324689670975
full,z_jk_raw_purif,loo,2016-07,146,6.392917597366653
full,z_jk_raw_purif,loo,2016-08,146,6.3282840710725115
full,z_jk_raw_purif,loo,2016-09,146,6.370970280671945
full,z_jk_raw_purif,loo,2016-10,146,6.338811880505518
full,z_jk_raw_purif,loo,2016-11,146,6.3538798233877305
full,z_jk_raw_purif,loo,2016-12,146,6.901141877842277
full,z_jk_raw_purif,loo,2017-01,146,5.460849560349387
full,z_jk_raw_purif,loo,2017-02,146,6.498730996158166
full,z_jk_raw_purif,loo,2017-03,146,6.369455751323155
full,z_jk_raw_purif,loo,2017-04,146,6.284833305571756
full,z_jk_raw_purif,loo,2017-05,146,6.346765659928362
full,z_jk_raw_purif,loo,2017-06,146,6.494019851841517
full,z_jk_raw_purif,loo,2017-07,146,5.964035942331043
full,z_jk_raw_purif,loo,2017-08,146,6.343010419573905
full,z_jk_raw_purif,loo,2017-09,146,6.417418158029349
full,z_jk_raw_purif,loo,2017-10,146,6.345287776763118
full,z_jk_raw_purif,loo,2017-11,146,6.332563688486042
full,z_jk_raw_purif,loo,2017-12,146,6.3622406191631224
full,z_jk_raw_purif,loo,2018-01,146,6.344245434396394
full,z_jk_raw_purif,loo,2018-02,146,6.371552008331727
full,z_jk_raw_purif,loo,2018-03,146,6.359802896341496
full,z_jk_raw_purif,loo,2018-04,146,6.231779095435361
full,z_jk_raw_purif,loo,2018-05,146,5.620383269053788
full,z_jk_raw_purif,loo,2018-06,146,6.586577419698806
full,z_jk_raw_purif,loo,2018-07,146,6.386760784347095
full,z_jk_raw_purif,loo,2018-08,146,6.228370523455526
full,z_jk_raw_purif,loo,2018-09,146,6.460815229991999
full,z_jk_raw_purif,loo,2018-10,146,6.981512240667964
full,z_jk_raw_purif,loo,2018-11,146,6.07504097353198
full,z_jk_raw_purif,loo,2018-12,146,6.342954564403026
full,z_jk_raw_purif,loo,2019-01,146,6.372590046793481
full,z_jk_raw_purif,loo,2019-02,146,6.316314045859363
full,z_jk_raw_purif,loo,2019-03,146,6.308816352344976
full,z_jk_raw_purif,loo,2019-04,146,6.335862403758307
full,z_jk_raw_purif,loo,2019-05,146,6.304596759844478
full,z_jk_raw_purif,loo,2019-06,146,6.285615079263335
full,z_jk_raw_purif,loo,2019-07,146,6.399170742083577
full,z_jk_raw_purif,loo,2019-08,146,6.574735152162182
full,z_jk_raw_purif,loo,2019-09,146,6.3058272489661
full,z_jk_raw_purif,loo,2019-10,146,6.538743376243637
full,z_jk_raw_purif,loo,2019-11,146,6.491171405643342
full,z_jk_raw_purif,loo,2019-12,146,6.50602162847898
full,z_jk_raw_purif,loo,2020-01,146,6.356815619973794
full,z_jk_raw_purif,loo,2020-02,146,6.314012763614981
full,z_jk_raw_purif,loo,2020-03,146,6.2739301648789985
full,z_jk_raw_purif,loo,2020-04,146,6.145661894316796
full,z_jk_raw_purif,loo,2020-05,146,5.725426896489702
full,z_jk_raw_purif,loo,2020-06,146,6.4381595807138146
full,z_jk_raw_purif,loo,2020-07,146,6.354370335621879
full,z_jk_raw_purif,loo,2020-08,146,6.331766021734968
full,z_jk_raw_purif,loo,2020-09,146,6.3321490848102115
full,z_jk_raw_purif,loo,2020-10,146,6.924954778761381
full,z_jk_raw_purif,loo,2020-11,146,6.34931325479627
full,z_jk_raw_purif,loo,2020-12,146,5.709393359549612
full,z_jk_raw_purif,loo,2021-01,146,6.340934428719773
full,z_jk_raw_purif,loo,2021-02,146,6.355239017274913
full,z_jk_raw_purif,loo,2021-03,146,5.200512361363708
full,z_jk_raw_purif,loo,2021-04,146,5.587399080185336
full,z_jk_raw_purif,loo,2021-05,146,6.348222544899141
full,z_jk_raw_purif,loo,2021-06,146,6.674183057084908
full,z_jk_raw_purif,loo,2021-07,146,6.936522724268471
full,z_jk_raw_purif,loo,2021-08,146,6.33973020643522
full,z_jk_raw_purif,loo,2021-09,146,6.71579526891697
full,z_jk_raw_purif,loo,2021-10,146,5.456695982034501
full,z_jk_raw_purif,loo,2021-11,146,6.262569204717735
full,z_jk_raw_purif,loo,2021-12,146,6.483490715884484
full,z_jk_raw_purif,loo,2022-01,146,6.345582031554876
full,z_jk_raw_purif,loo,2022-02,146,6.316335804496283
full,z_jk_raw_purif,loo,2022-03,146,6.576101718583741
full,z_jk_raw_purif,loo,2022-04,146,6.327589496050755
full,z_jk_raw_purif,loo,2022-05,146,6.182534628360773
full,z_jk_raw_purif,loo,2022-06,146,6.409870021247693
full,z_jk_raw_purif,loo,2022-07,146,6.3076437511707875
full,z_jk_raw_purif,loo,2022-08,146,6.3195108969745535
full,z_jk_raw_purif,loo,2022-09,146,5.820610610810485
full,z_jk_raw_purif,loo,2022-10,146,6.260914596913397
full,z_jk_raw_purif,loo,2022-11,146,6.354991224726462
full,z_jk_raw_purif,loo,2022-12,146,6.409388914311075
full,z_jk_raw_purif,loo,2023-01,146,6.3569545441888256
full,z_jk_raw_purif,loo,2023-02,146,6.301662975249413
full,z_jk_raw_purif,loo,2023-03,146,6.574404497270149
full,z_jk_raw_purif,loo,2023-04,146,6.317965288197882
full,z_jk_raw_purif,loo,2023-05,146,6.109206948395713
full,z_jk_raw_purif,loo,2023-06,146,6.674979271154437
full,z_jk_raw_purif,loo,2023-07,146,6.373036184394854
full,z_jk_raw_purif,loo,2023-08,146,6.376203066425277
full,z_jk_raw_purif,loo,2023-09,146,6.336636531317301
full,z_jk_raw_purif,loo,2023-10,146,6.364554264812354
full,z_jk_raw_purif,loo,2023-11,146,6.421953729818998
full,z_jk_raw_purif,loo,2023-12,146,6.325597545099418
full,z_jk_raw_purif,loo,2024-01,146,6.348486394709733
full,z_jk_raw_purif,loo,2024-02,146,6.3314592487047126
full,z_jk_raw_purif,loo,2024-03,146,6.338564798683718
full,z_jk_raw_purif,loo,2024-04,146,6.476718288232389
full,z_jk_raw_purif,loo,2024-05,146,6.33368502788044
full,z_jk_raw_purif,loo,2024-06,146,6.5713347606954615
full,z_jk_raw_purif,loo,2024-07,146,6.439120426887088
full,z_jk_raw_purif,loo,2024-08,146,6.367382442166689
full,z_jk_raw_purif,loo,2024-09,146,5.9036024085672665
full,z_jk_raw_purif,loo,2024-10,146,6.302636468581077
full,z_jk_raw_purif,loo,2024-11,146,6.093886710455641
full,z_jk_raw_purif,loo,2024-12,146,4.960997202174266
full,z_jk_raw_purif,loo,2025-01,146,6.024374635716909
full,z_jk_raw_purif,loo,2025-02,146,6.342695349718245
full,z_jk_raw_purif,loo,2025-03,146,6.618236427842593
full,z_jk_raw_purif,loo,2025-04,146,6.391315290632895
full,z_jk_raw_purif,loo,2025-05,146,6.253021808340063
full,z_jk_raw_purif,loo,2025-06,146,6.35634179990354
full,z_jk_raw_purif,loo,2025-07,146,6.445878975507758
full,z_jk_raw_purif,loo,2025-08,146,6.3919503691410675
full,z_jk_raw_purif,loo,2025-09,146,6.344446590918387
full,z_jk_raw_purif,hac,0,147,6.343058817023945
full,z_jk_raw_purif,hac,1,147,6.189427296376076
full,z_jk_raw_purif,hac,2,147,6.401522479759938
full,z_jk_raw_purif,hac,3,147,6.7860059285639025
full,z_jk_raw_purif,hac,4,147,7.223686480944822
full,z_jk_raw_purif,hac,5,147,7.634112055775438
