sample,target_bd,agg,instrument,nw_lags,n_obs,n_nonzero,wald_mp,wald_mp_nw0,f_robust_mp,f_robust_mp_nw0,impact_mp,ar_bounded
full,378,sum,z_jk_bs_purif,0,147,62,5.780049254718219,5.780049254718219,10.274556440217934,10.274556440217934,3.389916255313131e-5,TRUE
full,378,sum,z_jk_raw,0,147,57,6.106414115523852,6.106414115523852,11.449019381189055,11.449019381189055,3.26874250339098e-5,TRUE
full,378,sum,z_jk_raw_purif,0,147,57,6.3119279427216135,6.3119279427216135,12.516573400406292,12.516573400406292,3.4472578205043616e-5,TRUE
full,378,sum,z_jk_purif,0,147,61,4.267028338238807,4.267028338238807,5.537123744528055,5.537123744528055,2.7986204510280973e-5,TRUE
full,378,sum,z_bruto,0,147,92,4.78406168842446,4.78406168842446,5.036436632236709,5.036436632236709,2.2770178117634117e-5,TRUE
full,378,gk,z_jk_bs_purif,1,147,104,0.022956061873581145,0.028264165059203185,0.01549485986388453,0.019134527624793545,1.7863568304092112e-6,FALSE
full,378,gk,z_jk_raw,1,147,97,0.17063070616697168,0.21131617835779215,0.10790892843931886,0.13483116223622052,4.633664795629265e-6,FALSE
full,378,gk,z_jk_raw_purif,1,147,97,0.1511109101354088,0.18516501669389857,0.09608659315356086,0.11859125330021103,4.494670473697476e-6,FALSE
full,378,gk,z_jk_purif,1,147,103,0.06418349978734914,0.07580381330490003,0.048211829502254694,0.05636192191451882,-2.9214463351140743e-6,FALSE
full,378,gk,z_bruto,1,147,145,1.388965993439989e-4,1.707957009813376e-4,9.711460653836595e-5,1.1946323906547795e-4,1.0983104203270092e-7,FALSE
full,504,sum,z_jk_bs_purif,0,147,61,6.004951264410495,6.004951264410495,8.815005825424338,8.815005825424338,3.4014940656252635e-5,TRUE
full,504,sum,z_jk_raw,0,147,59,6.105265293095676,6.105265293095676,9.107176765026347,9.107176765026347,3.233845329031316e-5,TRUE
full,504,sum,z_jk_raw_purif,0,147,59,6.2105803503520445,6.2105803503520445,9.610354386850302,9.610354386850302,3.3788632065056716e-5,TRUE
full,504,sum,z_jk_purif,0,147,63,3.304845132651288,3.304845132651288,3.1302506465236135,3.1302506465236135,2.4642913428037176e-5,FALSE
full,504,sum,z_bruto,0,147,94,3.9078042969357987,3.9078042969357987,3.176337018679332,3.176337018679332,2.0684976840181037e-5,TRUE
full,504,gk,z_jk_bs_purif,1,147,104,0.00602673027372749,0.007154985999046138,0.004171668734583753,0.004956191879484784,8.992409097452675e-7,FALSE
full,504,gk,z_jk_raw,1,147,100,0.1678280838596657,0.20256004685384946,0.10945563761438819,0.1326600313240962,4.583533633810599e-6,FALSE
full,504,gk,z_jk_raw_purif,1,147,100,0.1523284044797281,0.18222335619867983,0.0996599901039709,0.11949643457341586,4.480708312405386e-6,FALSE
full,504,gk,z_jk_purif,1,147,107,0.1708547943710386,0.19855162583630134,0.13033643758918864,0.1500146779306638,-4.796446352070795e-6,FALSE
full,504,gk,z_bruto,1,147,147,0.02351349374430747,0.02799170511420138,0.01679374334848785,0.019918573170292064,-1.41624253551278e-6,FALSE
pre_covid,21,sum,z_jk_bs_purif,0,78,53,13.616325605963072,13.616325605963072,9.454067466575495,9.454067466575495,9.987204305071807e-5,TRUE
pre_covid,21,sum,z_jk_raw,0,78,53,13.20279672668488,13.20279672668488,9.709699807697238,9.709699807697238,9.39783050811855e-5,TRUE
pre_covid,21,sum,z_jk_raw_purif,0,78,53,13.247799232130056,13.247799232130056,9.662142269117885,9.662142269117885,9.36736984370761e-5,TRUE
pre_covid,21,sum,z_jk_purif,0,78,50,14.163229180307878,14.163229180307878,11.247310815159997,11.247310815159997,1.1556739548007386e-4,TRUE
pre_covid,21,sum,z_bruto,0,78,92,14.600841318755919,14.600841318755919,9.846219941691883,9.846219941691883,8.361268461404406e-5,TRUE
pre_covid,21,gk,z_jk_bs_purif,1,78,92,8.000831739610357,7.134677903382841,5.128856046212215,4.165209510453417,8.464413068939554e-5,TRUE
pre_covid,21,gk,z_jk_raw,1,78,92,8.397464460852028,7.299855222934163,5.481945127309538,4.370804047609836,8.501952465889454e-5,TRUE
