teste,proxy,conjunto,x,n,coef,se_hc1,t,p_asym,p_boot,r2,amostra,instrumento,meses_nao_nulos,xi_mp,wald_conjunta,f_factor,impacto_mp_pre,ar_limitada,bandas_validas,denom_vs_prod,cor_t,cor_tm1,cor_tp1,n_copom,n_valid,sd,pct_zero,r2_risco,variavel,h,ponto,lo68,hi68,lo90,hi90,sig68,sig90
qualidade,d_embi_bp,"EMBI+ (bp, Qua->Qui)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,592,7.026293110421297,8.277027027027026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_cds_bp_lag1,"CDS 5a (bp, Qui->Sex, janela do dia SEGUINTE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,598,5.7950309717383535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_embi_bp_lag1,"EMBI+ (bp, Qui->Sex, janela do dia SEGUINTE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,597,6.66617706430112,11.222780569514237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_lbrl,"BRL/USD (log x100, + = depreciacao)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,596,1.0258198570032473,0.16778523489932887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_slope_bp,Slope DI 504-63bd (bp),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,598,14.306227403624455,1.3377926421404682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_di10y_bp,DI ~10a (bp),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,598,18.170897959740913,3.678929765886288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mascara,NA,producao (jk_bs),NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mascara,NA,re-derivada no risco (jk_bs_norisk),NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15369869947774847,NA,NA,NA,NA,NA,NA,NA,NA,NA
mascara,NA,intersecao,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40401031280011296,NA,NA,NA,NA,NA,NA,NA,NA,NA
mascara,NA,dias Copom sem proxy de risco,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
