reuniao,quinta,delta_di,e_di_bs,r_ibov,e_ibov_bs,d_embi_bp,d_lbrl,d_slope_bp,e_brl_bs,e_embi_bs,jk_monetary_bs,jk3_class,jk3_embi,share_month,share_sample,nota_evento
2021-01-20,2021-01-21,5.000000000000004,2.406401937504502,-1.1071930237443794,-0.9163713501662772,0,-1.2435312930615172,21.499999999999986,-1.4091106533785398,-0.4366924398798997,TRUE,politica,politica,1,0.004278721325411239,NA
2024-11-06,2024-11-07,2.999999999999947,2.280599522945073,-0.5070492808453508,-0.4770990585787907,-6.000000000000005,-1.1389056193621183,-6.700000000000039,-1.2041274285436414,-3.9665024493770633,TRUE,politica,politica,1,0.0040550373823531405,NA
2024-01-31,2024-02-01,-2.0000000000000573,-2.0726419093812884,0.5688112863094119,0.8784760070522095,-4.0000000000000036,0.03231178210540975,-3.9000000000000146,-0.16480060593594004,-3.515445541038348,TRUE,soberano,soberano,1,0.0036852767608753626,NA
2025-09-17,2025-09-18,2.0000000000000573,1.7430949038010293,-0.06468033547619711,-0.013152773102542975,-2.0000000000000018,-0.10929016842990968,5.000000000000004,-0.17635153547672477,-0.9524338114970182,TRUE,politica,politica,1,0.003099323193216621,NA
2018-12-12,2018-12-13,-3.000000000000086,-1.6850123662886334,0.9840536509443609,1.0150460479365007,-2.0000000000000018,-1.2505496630510038,-13.500000000000046,-1.1132146672885292,-2.1424595817670404,TRUE,soberano,soberano,1,0.002996049094232971,NA
2017-04-12,2017-04-13,1.4999999999999736,1.6484414217184846,-1.6815535671470982,-1.5463596443299914,1.000000000000023,0.6032644795989084,2.100000000000146,0.5057500106901238,-0.07550587105886407,TRUE,soberano,politica,1,0.0029310238472100244,NA
2020-09-16,2020-09-17,-2.0000000000000226,-1.6180761798247458,0.4226292348311844,0.4910111261374894,4.999999999999982,0.03437262996430768,-10.600000000000032,0.011478289089902961,5.783697724300756,TRUE,politica,politica,1,0.0028770326971793085,NA
2019-03-20,2019-03-21,2.0000000000000573,1.4931952027117237,-1.347555330904271,-1.3813958351077993,-1.000000000000023,-0.3570528497981673,-1.0000000000000342,-0.34190631481777506,-0.6769322933756067,TRUE,politica,politica,1,0.0026549871230032024,NA
2016-03-02,2016-03-03,-1.5000000000001124,-1.2867073065872363,4.996126778908483,4.766800526670859,-24.00000000000002,-0.8372489657910265,-7.600000000000106,-0.8782568520515536,-23.57040785538448,TRUE,soberano,soberano,1,0.002287839743832057,NA
2020-02-05,2020-02-06,1.500000000000043,1.152233134454416,-0.7251189812107484,-0.3479009675009842,-1.000000000000023,-0.4736412677694757,9.500000000000064,-0.710219876375353,-2.3425235072135755,TRUE,politica,politica,1,0.002048736916056577,NA
2022-10-26,2022-10-27,0,-0.9294992339153003,1.650813605593271,1.701255922817412,12.00000000000001,-0.8337216639002554,-4.5000000000000595,-0.7078995090780426,12.142904422478741,TRUE,soberano,politica,1,0.0016527032047817924,NA
2013-01-16,2013-01-17,1.0000000000000286,-0.6639581132420214,0.6560845837960017,0.578287291132387,-3.0000000000000027,NA,9.000000000000119,NA,-2.7243741178008394,TRUE,nao classificado,soberano,1,0.0011805557891357591,NA
2018-10-31,2018-11-01,0,-0.5594409037203341,1.1322746997795008,1.2039252303700558,-5.000000000000027,0.7039506855622379,-1.4999999999999902,0.7295409356374659,-6.452220650534032,TRUE,politica,soberano,1,9.947181672974575e-4,NA
2018-08-01,2018-08-02,0.49999999999994493,-0.2181083901877847,0.4215980817010134,0.3727252542076354,2.0000000000000018,0.03735608297736892,4.499999999999926,-0.15755144836689566,1.9315827733613267,TRUE,soberano,politica,1,3.87809287302755e-4,NA
2024-03-20,2024-03-21,1.0000000000000286,0.12508870096847813,-0.7511285555001024,-0.5298170596077731,-5.000000000000004,-1.2765090880511254,10.999999999999904,-1.4851939070406395,-6.20382437548024,TRUE,politica,politica,1,2.224149191621965e-4,NA
2013-03-06,2013-03-07,10.000000000000009,10.537971600810149,1.552721799862944,1.5739332840880522,-1.0000000000000009,0.41696640279259567,11.899999999999956,0.26143940198075044,-1.2284622411375747,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2013-10-09,2013-10-10,16.999999999999932,16.531830743827424,0.8506996487845697,0.9978752638375703,-2.9999999999999805,-1.1598797941234085,8.199999999999875,-1.1838429973317233,-4.5309978896232135,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2014-04-02,2014-04-03,-3.000000000000086,-3.0280342750132094,-0.5680203453424681,-0.6399296701930679,1.000000000000023,0.506436467749638,-8.000000000000096,0.3843105582331368,0.731202381592267,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2014-05-28,2014-05-29,-1.9999999999999185,-2.126659518745819,-0.7635686874234437,-0.7964072677064067,-7.000000000000028,-0.17973526192934797,0,-0.20993918959465194,-6.904068263120592,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2014-07-16,2014-07-17,-6.000000000000033,-7.073639518719595,-0.1434153956378026,-0.18370753255246605,5.000000000000027,1.5504842269214891,-7.000000000000062,1.440915951499428,5.372111253530392,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2014-10-29,2014-10-30,41.000000000000064,39.73303037612188,2.490810548706257,2.4297384771024366,-4.0000000000000036,-0.016276093800604574,-8.999999999999975,-0.2044541753973784,-3.954874474934225,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2014-12-03,2014-12-04,-12.999999999999956,-13.850746245497014,-1.7227082904542002,-1.7970313494753831,3.000000000000025,-0.6179135703104355,-6.499999999999839,-0.8099627296607469,3.7998556983056173,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2015-01-21,2015-01-22,5.999999999999894,7.139864956429709,0.44298706124994425,0.30363557081027776,-2.9999999999999805,-0.5337867694420906,8.99999999999998,-0.7990416166210003,-1.1176548650670108,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2015-04-29,2015-04-30,14.000000000000124,10.095180172187309,1.6209268424042023,1.6029128228617218,10.000000000000009,1.958550634736067,12.000000000000066,1.9556404248571662,8.385738353392641,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2015-07-29,2015-07-30,-13.999999999999845,-16.074316976234694,-0.6944928652355742,-0.9409067289398804,0,1.4011322748760602,-40.000000000000036,1.2537930301688318,0.2878405335891923,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2016-07-20,2016-07-21,8.999999999999842,8.863377530119012,0.1120654930163667,0.008035535993845438,7.000000000000028,0.4876306239250061,9.000000000000119,0.3793051570489045,6.346132718595362,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2016-10-19,2016-10-20,15.499999999999957,14.759233729905361,0.5218183642972107,0.5304545800131392,-3.000000000000025,-0.8564396058943657,-2.4999999999997247,-0.8488706548042595,-4.08560857566977,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2017-02-22,2017-02-23,-6.499999999999978,-6.945795791641228,-1.6584610747681694,-1.6005681086282508,-4.0000000000000036,-1.0266163009638785,-16.500000000000114,-1.1587851020137503,-4.991613661158482,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2017-12-06,2017-12-07,-0.5000000000000837,-1.446301433005271,-1.0715147086564514,-0.9696852118368356,3.000000000000025,-0.18534098876021865,7.499999999999862,-0.3067319552797153,2.0957567404007174,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2018-02-07,2018-02-08,-2.999999999999947,-4.274066204665495,-1.5024087333610936,-1.0585651869922432,12.99999999999999,1.1225180849349314,-1.9000000000001016,0.9889641965819406,9.200975897828659,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2018-03-21,2018-03-22,-14.499999999999998,-15.735829474809607,-0.24591093327082092,-0.00456634802590151,4.999999999999982,-1.0940034506483176,-12.999999999999812,-1.1284348907631814,2.9662461330608973,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2018-06-20,2018-06-21,1.0000000000000286,-0.8843851269395486,-2.8814009517230232,-3.1497145103431476,-6.999999999999984,-0.10618111816271814,7.500000000000018,-0.16474758182624766,-6.458705594599332,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2019-05-08,2019-05-09,-1.9999999999999185,-4.33242176998393,-0.8285147437652185,-0.793538093682497,2.9999999999999805,0.48528242073091477,-6.599999999999939,0.32506842318697515,1.3444053393674766,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2019-09-18,2019-09-19,-10.000000000000009,-10.694893527635918,-0.18458280150870365,-0.03899968768382119,0.9999999999999787,1.433457930529225,-8.999999999999986,1.3514984945625452,0.29923945269435803,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2020-03-18,2020-03-19,15.499999999999957,16.984059758216105,2.1251772708865246,2.576682979838131,25.99999999999998,1.8641092587564634,44.50000000000003,1.5641194530103222,19.392652563458668,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2020-05-06,2020-05-07,-24.999999999999986,-25.800792769802143,-1.2025803042243766,-1.3561850920032195,3.000000000000025,1.966799147721554,9.999999999999975,1.795009432796338,2.078661490524461,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2020-12-09,2020-12-10,1.5000000000000082,1.3432392735327683,1.8651940876630135,1.9106897316592957,1.000000000000023,0.9718853152462348,5.699999999999994,1.0778120609416493,2.2667106254460965,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2021-05-05,2021-05-06,1.999999999999988,0.3975594792761214,0.29744676137379855,0.11526133081883132,-4.0000000000000036,-1.4919989078087337,4.499999999999993,-1.4745763689442628,-2.601523091867192,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2022-02-02,2022-02-03,-19.499999999999932,-22.563473727193568,-0.17748538472996955,-0.5149188752041588,-2.0000000000000018,-0.06840824347780217,-13.500000000000039,0.15349334333131218,-1.9429250387002328,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2022-12-07,2022-12-08,-2.500000000000002,-1.1056569647963321,-1.6822976918444255,-1.6426461544242903,-9.00000000000003,-0.5748283547557076,5.499999999999949,-0.5869160403588969,-7.236359482824118,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2023-02-01,2023-02-02,-0.9999999999998899,-0.1524224587328066,-1.7397257589195192,-1.7487838001707385,-8.000000000000007,-0.36935060805842745,28.199999999999893,-0.3877326236531115,-5.369679591350889,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2023-08-02,2023-08-03,-20.500000000000103,-21.176544741032835,-0.22609761463350253,-0.028461365881131555,-1.000000000000023,2.179630371165442,5.400000000000116,2.166251086159771,-1.6589087474312003,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2023-09-20,2023-09-21,0,-0.8959816649858653,-2.1720032708074655,-2.202948270872571,2.0000000000000018,1.1433099512686784,4.500000000000082,1.1867314429299438,1.3453377777631046,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2023-12-13,2023-12-14,0.49999999999994493,1.8552135941812484,1.057998398378679,1.3840686454895796,-3.9999999999999813,-0.93293416098581,23.40000000000022,-1.019213002344027,-3.4256022337509844,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2025-05-07,2025-05-08,6.500000000000117,5.526046410795971,2.102503807803835,1.977505735468869,-8.000000000000007,-1.4553693915813515,-6.099999999999994,-1.2958956410112965,-7.350941993817836,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2025-07-30,2025-07-31,1.4999999999998348,-0.10017376828753034,-0.6880033746893943,-0.7888613325578704,0,0.4188280286189894,12.999999999999968,0.270324221091791,0.840177217614908,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2025-11-05,2025-11-06,2.0000000000000573,1.7560252408847288,0.0288227230715421,0.2855405201255759,6.000000000000005,-0.6936590802047116,3.300000000000236,-0.7459820428137361,5.896693165812242,FALSE,filtrado (JK),filtrado (JK),0,0,NA
2025-12-10,2025-12-11,0.49999999999994493,0.6203278328536006,0.07172032010540619,0.3234050834274239,1.0000000000000009,0.7026720691198474,-5.300000000000016,0.6845332744208943,0.8362156700251148,FALSE,filtrado (JK),filtrado (JK),0,0,NA
